"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","2","2"
"enum_confirm_grp[1]/enum_details","1","5"
"enum_confirm_grp[1]/enum_confirm","1","5"
"community_id","6","6"
"comm_confirm_grp[1]/comm_details","1","12"
"comm_confirm_grp[1]/comm_confirm","1","12"
"u5_iden_grp[1]/u5_id","58","14"
"u5_iden_grp[1]/u5_fullname","58","14"
"u5_iden_grp[1]/u5_age","58","14"
"u5_iden_grp[1]/u5_ct_id","58","14"
"u5_iden_grp[1]/u5_ct_fullname","58","14"
"uf9","3","72"
"consent_grp[1]/consent","3","75"
"consented_grp[1]/ub0","1","77"
"consented_grp[1]/ub1_age_sel","3","79"
"consented_grp[1]/ub1_dob_dmy","17","81"
"consented_grp[1]/ub5","9","98"
"consented_grp[1]/ub9","3","107"
"consented_grp[1]/br1","2","110"
"consented_grp[1]/br2","2","112"
"consented_grp[1]/br3","6","114"
"consented_grp[1]/ec1","4","115"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","5","124"
"consented_grp[1]/ec2_grp[1]/ec2_label","5","124"
"consented_grp[1]/ec2_grp[1]/ec2a","5","124"
"consented_grp[1]/ec2_grp[1]/ec2b","5","124"
"consented_grp[1]/ec2_grp[1]/ec2c","5","124"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","12","130"
"consented_grp[1]/ec3_grp[1]/ec3a","12","130"
"consented_grp[1]/ec3_grp[1]/ec3b","12","130"
"consented_grp[1]/ec7","5","142"
"consented_grp[1]/ec8","3","147"
"consented_grp[1]/ec9","6","150"
"consented_grp[1]/ec10","6","156"
"consented_grp[1]/ec11","3","162"
"consented_grp[1]/ec12","2","166"
"consented_grp[1]/ec13","3","168"
"consented_grp[1]/ec14","7","171"
"consented_grp[1]/ec15","3","178"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","24","181"
"consented_grp[1]/ucd2_grp[1]/ucd2a","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2b","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2c","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2d","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2e","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2f","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2g","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2h","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2i","24","181"
"consented_grp[1]/ucd2_grp[1]/ucb2j","24","181"
"consented_grp[1]/ucd3","1","205"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","6","207"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","6","207"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","6","207"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","6","207"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","6","207"
"consented_grp[1]/ucf_grp[1]/ucf5","2","213"
"consented_grp[1]/ucf_grp[1]/ucf7b","4","215"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","219"
"consented_grp[1]/ucf_grp[1]/ucf13","1","220"
"consented_grp[1]/ucf_grp[1]/ucf14","1","221"
"consented_grp[1]/ucf_grp[1]/ucf15","1","222"
"consented_grp[1]/ucf_grp[1]/ucf16","1","224"
"consented_grp[1]/ucf_grp[1]/ucf17","1","225"
"consented_grp[1]/ucf_grp[1]/ucf18","1","226"
"consented_grp[1]/ucf_grp[1]/ucf19","3","227"
"consented_grp[1]/bd_grp[1]/bd2","8","230"
"consented_grp[1]/bd_grp[1]/bd3","3","238"
"consented_grp[1]/bd_grp[1]/bd4","14","241"
"consented_grp[1]/bd_grp[1]/bd5","2","255"
"consented_grp[1]/bd_grp[1]/bd6","4","257"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","12","260"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","12","260"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","12","260"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","12","260"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","12","260"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","12","260"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","272"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","272"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","2","274"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","2","274"
"consented_grp[1]/bd_grp[1]/bd8","2","276"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","278"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","3","279"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","282"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","2","283"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","2","286"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","3","288"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","3","291"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","8","294"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","9","302"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g2","6","310"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","1","318"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","2","319"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","3","321"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","6","324"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","2","330"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","3","332"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","4","335"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","2","339"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","1","340"
"consented_grp[1]/im2","11","342"
"consented_grp[1]/im5","8","353"
"consented_grp[1]/im6_note","1","361"
"consented_grp[1]/im6_rpt[1]/im6","3","362"
"consented_grp[1]/im6_rpt[1]/im6a","17","366"
"consented_grp[1]/im6_rpt[2]/im6","1","383"
"consented_grp[1]/im6_rpt[2]/im6a","7","384"
"consented_grp[1]/im6_rpt[3]/im6","2","392"
"consented_grp[1]/im6_rpt[3]/im6a","14","393"
"consented_grp[1]/im6_rpt[4]/im6","2","408"
"consented_grp[1]/im6_rpt[4]/im6a","10","409"
"consented_grp[1]/im6_rpt[5]/im6","2","420"
"consented_grp[1]/im6_rpt[5]/im6a","9","421"
"consented_grp[1]/im6_rpt[6]/im6","2","430"
"consented_grp[1]/im6_rpt[6]/im6a","12","432"
"consented_grp[1]/im6_rpt[7]/im6","5","444"
"consented_grp[1]/im6_rpt[7]/im6a","10","448"
"consented_grp[1]/im6_rpt[8]/im6","1","458"
"consented_grp[1]/im6_rpt[8]/im6a","5","460"
"consented_grp[1]/im6_rpt[9]/im6","1","465"
"consented_grp[1]/im6_rpt[9]/im6a","7","467"
"consented_grp[1]/im6_rpt[10]/im6","2","474"
"consented_grp[1]/im6_rpt[10]/im6a","9","476"
"consented_grp[1]/im6_rpt[11]/im6","2","485"
"consented_grp[1]/im6_rpt[11]/im6a","11","487"
"consented_grp[1]/im6_rpt[12]/im6","2","498"
"consented_grp[1]/im6_rpt[12]/im6a","5","500"
"consented_grp[1]/im6_rpt[13]/im6","2","506"
"consented_grp[1]/im6_rpt[13]/im6a","11","507"
"consented_grp[1]/im6_rpt[14]/im6","13","518"
"consented_grp[1]/im6_rpt[15]/im6","6","531"
"consented_grp[1]/im6_rpt[15]/im6a","20","538"
"consented_grp[1]/ca1","5","558"
"consented_grp[1]/ca14","1","563"
"consented_grp[1]/ca16","1","564"
"consented_grp[1]/ca17","1","566"
"consented_grp[1]/ca31","13","567"
"consented_grp[1]/gps_backup","393","579"
"comments","4","973"
