"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","4"
"enum_id","11","6"
"enum_confirm_grp[1]/enum_details","4","17"
"enum_confirm_grp[1]/enum_confirm","4","17"
"community_id","128","18"
"comm_confirm_grp[1]/comm_details","2","149"
"comm_confirm_grp[1]/comm_confirm","2","149"
"hhid_grp[1]/hhid_instruction","10","151"
"hhid_grp[1]/hhid_struct_num","10","151"
"hhid_grp[1]/hhid_hh_num","10","151"
"hhid_confirm_grp[1]/hhid_details","4","160"
"hhid_confirm_grp[1]/hhid_confirm","4","160"
"consent_grp[1]/consent_instr","157","162"
"consent_grp[1]/consent","157","162"
"consented_grp[1]/hh_note","2","321"
"consented_grp[1]/hhm_cnt","58","324"
"consented_grp[1]/rooster_note","13","382"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","75","395"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","75","395"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","75","395"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","470"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","472"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","474"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","12","477"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","489"
"consented_grp[1]/hhm_rpt[1]/ed4","20","491"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","3","511"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","3","511"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","35","514"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","35","514"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","35","514"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","5","549"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","553"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","556"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","22","559"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","581"
"consented_grp[1]/hhm_rpt[2]/ed4","5","584"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","2","589"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","2","591"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","593"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","3","595"
"consented_grp[1]/hhm_rpt[2]/ed9","3","598"
"consented_grp[1]/hhm_rpt[2]/ed15","2","601"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","603"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","603"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","47","608"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","47","608"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","47","608"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","8","653"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","9","656"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","671"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","45","674"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","5","718"
"consented_grp[1]/hhm_rpt[3]/ed4","9","724"
"consented_grp[1]/hhm_rpt[3]/ed9","2","733"
"consented_grp[1]/hhm_rpt[3]/ed15","4","735"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","3","739"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","3","739"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","18","742"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","18","742"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","18","742"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","2","760"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","762"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","764"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","18","766"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","2","784"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","4","786"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","4","786"
"consented_grp[1]/hhm_ch_intro","3","791"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","3","794"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","4","797"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","801"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","3","803"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","4","806"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","2","810"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","8","812"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","2","821"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","2","823"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","4","824"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","2","829"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","2","830"
"consented_grp[1]/u5_rpt[1]/u5_note","74","832"
"consented_grp[1]/hc_grp[1]/hc1a","13","906"
"consented_grp[1]/hc_grp[1]/hc1b","6","919"
"consented_grp[1]/hc_grp[1]/hc2","6","925"
"consented_grp[1]/hc_grp[1]/hc3","15","931"
"consented_grp[1]/hc_grp[1]/hc4","25","946"
"consented_grp[1]/hc_grp[1]/hc5","38","955"
"consented_grp[1]/hc_grp[1]/hc6","5","1009"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","58","1014"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","58","1014"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","58","1014"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","58","1014"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","58","1014"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","58","1014"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","58","1014"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","58","1014"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","58","1014"
"consented_grp[1]/hc_grp[1]/hc8","43","1072"
"consented_grp[1]/hc_grp[1]/hc9_grp[1]/hc9_note","42","1092"
"consented_grp[1]/hc_grp[1]/hc9_grp[1]/hc9_labels","42","1092"
"consented_grp[1]/hc_grp[1]/hc9_grp[1]/hc9a","42","1092"
"consented_grp[1]/hc_grp[1]/hc9_grp[1]/hc9b","42","1092"
"consented_grp[1]/hc_grp[1]/hc9_grp[1]/hc9c","42","1092"
"consented_grp[1]/hc_grp[1]/hc9_grp[1]/hc9d","42","1092"
"consented_grp[1]/hc_grp[1]/hc9_grp[1]/hc9e","42","1092"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","21","1157"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","21","1157"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","21","1157"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","21","1157"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","21","1157"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","21","1157"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","21","1157"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","21","1157"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","21","1157"
"consented_grp[1]/hc_grp[1]/hc11","3","1178"
"consented_grp[1]/hc_grp[1]/hc12","12","1182"
"consented_grp[1]/hc_grp[1]/hc13","7","1193"
"consented_grp[1]/hc_grp[1]/hc14","21","1200"
"consented_grp[1]/hc_grp[1]/hc14_osp","27","1221"
"consented_grp[1]/hc_grp[1]/hc15","18","1248"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","14","1265"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","14","1265"
"consented_grp[1]/hc_grp[1]/hc17","14","1280"
"consented_grp[1]/hc_grp[1]/hc19","3","1294"
"consented_grp[1]/st_intonote","15","1296"
"consented_grp[1]/st_rpt[1]/st1a","35","1312"
"consented_grp[1]/st_rpt[1]/st1b","20","1347"
"consented_grp[1]/st_rpt[1]/st1c_grp[1]/st1c_note","10","1364"
"consented_grp[1]/st_rpt[1]/st1c_grp[1]/st1cb","10","1364"
"consented_grp[1]/st_rpt[1]/st1c_grp[1]/st1ca","10","1364"
"consented_grp[1]/st_rpt[2]/st1a","3","1377"
"consented_grp[1]/st_rpt[2]/st1b","1","1380"
"consented_grp[1]/st_rpt[3]/st1a","5","1381"
"consented_grp[1]/st_rpt[3]/st1b","13","1384"
"consented_grp[1]/st_rpt[3]/st1c_grp[1]/st1c_note","2","1394"
"consented_grp[1]/st_rpt[3]/st1c_grp[1]/st1cb","2","1394"
"consented_grp[1]/st_rpt[3]/st1c_grp[1]/st1ca","2","1394"
"consented_grp[1]/st_rpt[4]/st1a","3","1401"
"consented_grp[1]/st_rpt[4]/st1b","2","1404"
"consented_grp[1]/st_rpt[5]/st1a","2","1406"
"consented_grp[1]/st_rpt[5]/st1_add_yn","10","1408"
"consented_grp[1]/eu1","7","1410"
"consented_grp[1]/eu2","8","1425"
"consented_grp[1]/eu4_grp[1]/eu4","4","1433"
"consented_grp[1]/eu5_grp[1]/eu5","12","1437"
"consented_grp[1]/eu6","26","1449"
"consented_grp[1]/eu9","21","1468"
"consented_grp[1]/tn1","10","1497"
"consented_grp[1]/tn2","7","1507"
"consented_grp[1]/tn_rpt[1]/generated_note_name_438","1","1514"
"consented_grp[1]/tn_rpt[1]/tn3","11","1516"
"consented_grp[1]/tn_rpt[1]/tn4","24","1518"
"consented_grp[1]/tn_rpt[1]/tn5","2","1551"
"consented_grp[1]/tn_rpt[1]/tn10","23","1553"
"consented_grp[1]/tn_rpt[1]/tn12","6","1576"
"consented_grp[1]/tn_rpt[1]/tn13","4","1581"
"consented_grp[1]/tn_rpt[1]/tn15","30","1586"
"consented_grp[1]/irs1","7","1617"
"consented_grp[1]/ws1","22","1624"
"consented_grp[1]/ws3","15","1646"
"consented_grp[1]/ws7","17","1661"
"consented_grp[1]/ws8","28","1678"
"consented_grp[1]/ws9","49","1706"
"consented_grp[1]/ws11","95","1755"
"consented_grp[1]/ws11_osp","42","1841"
"consented_grp[1]/ws12","12","1867"
"consented_grp[1]/ws14","9","1875"
