"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","29","3"
"enum_confirm_grp[1]/enum_details","2","32"
"enum_confirm_grp[1]/enum_confirm","2","32"
"community_id","11","34"
"comm_confirm_grp[1]/comm_details","2","45"
"comm_confirm_grp[1]/comm_confirm","2","45"
"u5_iden_grp[1]/u5_id","287","46"
"u5_iden_grp[1]/u5_fullname","287","46"
"u5_iden_grp[1]/u5_age","287","46"
"u5_iden_grp[1]/u5_ct_id","287","46"
"u5_iden_grp[1]/u5_ct_fullname","287","46"
"uf9","2","333"
"consent_grp[1]/uf10a","5","336"
"consent_grp[1]/consent","5","336"
"consented_grp[1]/ub0","1","341"
"consented_grp[1]/ub1_age_sel","2","342"
"consented_grp[1]/ub1_dob_dmy","108","344"
"consented_grp[1]/ub5","15","452"
"consented_grp[1]/ub6","4","461"
"consented_grp[1]/ub9","7","463"
"consented_grp[1]/br1","6","479"
"consented_grp[1]/br2","1","485"
"consented_grp[1]/br3","4","486"
"consented_grp[1]/ec1","6","491"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","10","497"
"consented_grp[1]/ec2_grp[1]/ec2_label","10","497"
"consented_grp[1]/ec2_grp[1]/ec2a","10","497"
"consented_grp[1]/ec2_grp[1]/ec2b","10","497"
"consented_grp[1]/ec2_grp[1]/ec2c","10","497"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","18","506"
"consented_grp[1]/ec3_grp[1]/ec3a","18","506"
"consented_grp[1]/ec3_grp[1]/ec3b","18","506"
"consented_grp[1]/ec5_grp[1]/ec5","47","519"
"consented_grp[1]/ec5_grp[1]/ec5_label","47","519"
"consented_grp[1]/ec5_grp[1]/ec5a","47","519"
"consented_grp[1]/ec5_grp[1]/ec5b","47","519"
"consented_grp[1]/ec5_grp[1]/ec5c","47","519"
"consented_grp[1]/ec5_grp[1]/ec5d","47","519"
"consented_grp[1]/ec5_grp[1]/ec5e","47","519"
"consented_grp[1]/ec5_grp[1]/ec5f","47","519"
"consented_grp[1]/ec6_grp[1]/ec6_note","6","572"
"consented_grp[1]/ec6_grp[1]/ec6","6","572"
"consented_grp[1]/ec7","2","578"
"consented_grp[1]/ec8","2","579"
"consented_grp[1]/ec9","6","581"
"consented_grp[1]/ec10","4","585"
"consented_grp[1]/ec11","2","591"
"consented_grp[1]/ec12","3","593"
"consented_grp[1]/ec13","3","595"
"consented_grp[1]/ec14","2","600"
"consented_grp[1]/ec15","2","601"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","26","604"
"consented_grp[1]/ucd2_grp[1]/ucd2a","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2b","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2c","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2d","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2e","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2f","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2g","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2h","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2i","26","604"
"consented_grp[1]/ucd2_grp[1]/ucb2j","26","604"
"consented_grp[1]/ucd3","6","630"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","6","636"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","6","636"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","6","636"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","6","636"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","6","636"
"consented_grp[1]/ucf_grp[1]/ucf5","2","642"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","644"
"consented_grp[1]/ucf_grp[1]/ucf9b","4","646"
"consented_grp[1]/ucf_grp[1]/ucf13","5","647"
"consented_grp[1]/ucf_grp[1]/ucf14","4","654"
"consented_grp[1]/ucf_grp[1]/ucf15","3","658"
"consented_grp[1]/ucf_grp[1]/ucf16","2","661"
"consented_grp[1]/ucf_grp[1]/ucf17","5","663"
"consented_grp[1]/ucf_grp[1]/ucf18","3","668"
"consented_grp[1]/ucf_grp[1]/ucf19","5","671"
"consented_grp[1]/im2","20","676"
"consented_grp[1]/im3","10","696"
"consented_grp[1]/ca1","3","705"
"consented_grp[1]/ca14","2","709"
"consented_grp[1]/ca16","2","710"
"consented_grp[1]/ca17","3","713"
"consented_grp[1]/gps_backup","4","716"
"comments","3570","720"
