"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","7","2"
"enum_confirm_grp[1]/enum_details","2","9"
"enum_confirm_grp[1]/enum_confirm","2","9"
"community_id","10","11"
"comm_confirm_grp[1]/comm_details","1","21"
"comm_confirm_grp[1]/comm_confirm","1","21"
"u5_iden_grp[1]/u5_id","77","22"
"u5_iden_grp[1]/u5_fullname","77","22"
"u5_iden_grp[1]/u5_age","77","22"
"u5_iden_grp[1]/u5_ct_id","77","22"
"u5_iden_grp[1]/u5_ct_fullname","77","22"
"uf9","1","99"
"consent_grp[1]/consent","3","101"
"consented_grp[1]/ub0","1","104"
"consented_grp[1]/ub1_age_sel","3","105"
"consented_grp[1]/ub1_dob_dmy","34","108"
"consented_grp[1]/ub5","3","142"
"consented_grp[1]/ub8b","3","145"
"consented_grp[1]/ub9","32","148"
"consented_grp[1]/br1","5","180"
"consented_grp[1]/br2","6","186"
"consented_grp[1]/br3","8","192"
"consented_grp[1]/ec1","9","200"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","12","209"
"consented_grp[1]/ec2_grp[1]/ec2_label","12","209"
"consented_grp[1]/ec2_grp[1]/ec2a","12","209"
"consented_grp[1]/ec2_grp[1]/ec2b","12","209"
"consented_grp[1]/ec2_grp[1]/ec2c","12","209"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","41","221"
"consented_grp[1]/ec3_grp[1]/ec3a","41","221"
"consented_grp[1]/ec3_grp[1]/ec3b","41","221"
"consented_grp[1]/ec5_grp[1]/ec5","69","262"
"consented_grp[1]/ec5_grp[1]/ec5_label","69","262"
"consented_grp[1]/ec5_grp[1]/ec5a","69","262"
"consented_grp[1]/ec5_grp[1]/ec5b","69","262"
"consented_grp[1]/ec5_grp[1]/ec5c","69","262"
"consented_grp[1]/ec5_grp[1]/ec5d","69","262"
"consented_grp[1]/ec5_grp[1]/ec5e","69","262"
"consented_grp[1]/ec5_grp[1]/ec5f","69","262"
"consented_grp[1]/ec6_grp[1]/ec6_note","17","330"
"consented_grp[1]/ec6_grp[1]/ec6","17","330"
"consented_grp[1]/ec7","27","348"
"consented_grp[1]/ec8","6","375"
"consented_grp[1]/ec9","7","381"
"consented_grp[1]/ec10","7","388"
"consented_grp[1]/ec11","3","395"
"consented_grp[1]/ec12","10","397"
"consented_grp[1]/ec13","3","407"
"consented_grp[1]/ec14","8","410"
"consented_grp[1]/ec15","13","418"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","189","431"
"consented_grp[1]/ucd2_grp[1]/ucd2a","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2b","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2c","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2d","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2e","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2f","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2g","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2h","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2i","189","431"
"consented_grp[1]/ucd2_grp[1]/ucb2j","189","431"
"consented_grp[1]/ucd3","13","620"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","10","633"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","10","633"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","10","633"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","10","633"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","10","633"
"consented_grp[1]/ucf_grp[1]/ucf5","2","644"
"consented_grp[1]/ucf_grp[1]/ucf7b","6","645"
"consented_grp[1]/ucf_grp[1]/ucf9b","11","652"
"consented_grp[1]/ucf_grp[1]/ucf13","9","662"
"consented_grp[1]/ucf_grp[1]/ucf14","13","671"
"consented_grp[1]/ucf_grp[1]/ucf15","6","684"
"consented_grp[1]/ucf_grp[1]/ucf16","6","690"
"consented_grp[1]/ucf_grp[1]/ucf17","10","697"
"consented_grp[1]/ucf_grp[1]/ucf18","7","707"
"consented_grp[1]/ucf_grp[1]/ucf19","44","714"
"consented_grp[1]/im2","8","758"
"consented_grp[1]/im3","10","766"
"consented_grp[1]/ca1","11","776"
"consented_grp[1]/ca14","2","787"
"consented_grp[1]/ca16","1","789"
"consented_grp[1]/ca17","7","790"
"consented_grp[1]/gps_backup","5","797"
"comments","3","803"
