"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","24","2"
"enum_confirm_grp[1]/enum_details","1","26"
"enum_confirm_grp[1]/enum_confirm","1","26"
"community_id","7","27"
"comm_confirm_grp[1]/comm_details","1","34"
"comm_confirm_grp[1]/comm_confirm","1","34"
"iw_iden_grp[1]/iw_id","71","35"
"iw_iden_grp[1]/iw_fullname","71","35"
"iw_iden_grp[1]/iw_age","71","35"
"wm8","2","106"
"wm9_grp[1]/wm9b","1","108"
"wm9_grp[1]/consent","1","108"
"consented_grp[1]/wb3_age_sel","1","109"
"consented_grp[1]/wb3_dob_dmy","33","110"
"consented_grp[1]/age_correct_info","2","131"
"consented_grp[1]/wb5","2","145"
"consented_grp[1]/wb5_grp[1]/wb6","2","147"
"consented_grp[1]/wb5_grp[1]/wb6a","2","149"
"consented_grp[1]/wb5_grp[1]/wb6b","1","151"
"consented_grp[1]/wb5_grp[1]/wb7","2","152"
"consented_grp[1]/wb5_grp[1]/wb10a","2","155"
"consented_grp[1]/wb5_grp[1]/wb10b","1","157"
"consented_grp[1]/wb5_grp[1]/wb12a","1","158"
"consented_grp[1]/wb5_grp[1]/wb12b","1","159"
"consented_grp[1]/wb15","18","160"
"consented_grp[1]/wb16_grp[1]/wb16a","10","178"
"consented_grp[1]/wb16_grp[1]/wb16_note","10","178"
"consented_grp[1]/wb16_grp[1]/wb16b","10","178"
"consented_grp[1]/wb17a","2","188"
"consented_grp[1]/wb17b","1","190"
"consented_grp[1]/wb18","7","192"
"consented_grp[1]/mt1","15","199"
"consented_grp[1]/mt2","14","214"
"consented_grp[1]/mt3","22","224"
"consented_grp[1]/mt4","12","239"
"consented_grp[1]/mt9","7","245"
"consented_grp[1]/mt10","15","247"
"consented_grp[1]/mt11","2","285"
"consented_grp[1]/mt12","8","287"
"consented_grp[1]/cm1","2","295"
"consented_grp[1]/cm2","2","296"
"consented_grp[1]/cm2_grp[1]/cm3","5","298"
"consented_grp[1]/cm2_grp[1]/cm4","5","298"
"consented_grp[1]/cm5","3","302"
"consented_grp[1]/cm8","1","307"
"consented_grp[1]/cm12","1","308"
"consented_grp[1]/bh0","1","309"
"consented_grp[1]/bh_rpt[1]/bh1","21","310"
"consented_grp[1]/bh_rpt[1]/bh2","2","332"
"consented_grp[1]/bh_rpt[1]/bh3","1","334"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","1","335"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","20","336"
"consented_grp[1]/bh_rpt[1]/bh5","3","356"
"consented_grp[1]/bh_rpt[1]/bh6","4","359"
"consented_grp[1]/bh_rpt[1]/bh7","1","362"
"consented_grp[1]/bh_rpt[1]/bh8","5","364"
"consented_grp[1]/bh_rpt[1]/bh10","1","368"
"consented_grp[1]/bh_rpt[2]/bh1","10","370"
"consented_grp[1]/bh_rpt[2]/bh2","1","380"
"consented_grp[1]/bh_rpt[2]/bh3","2","381"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","1","383"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","24","384"
"consented_grp[1]/bh_rpt[2]/bh5","35","408"
"consented_grp[1]/bh_rpt[2]/bh6","3","443"
"consented_grp[1]/bh_rpt[2]/bh7","2","446"
"consented_grp[1]/bh_rpt[2]/bh8","3","448"
"consented_grp[1]/bh_rpt[2]/bh10","3","451"
"consented_grp[1]/bh_rpt[3]/bh1","17","453"
"consented_grp[1]/bh_rpt[3]/bh2","3","459"
"consented_grp[1]/bh_rpt[3]/bh3","3","460"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","462"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","31","463"
"consented_grp[1]/bh_rpt[3]/bh5","3","488"
"consented_grp[1]/bh_rpt[3]/bh6","3","489"
"consented_grp[1]/bh_rpt[3]/bh7","3","491"
"consented_grp[1]/bh_rpt[3]/bh8","6","492"
"consented_grp[1]/bh_rpt[3]/bh10","18","496"
"consented_grp[1]/bh_rpt[4]/bh1","4","497"
"consented_grp[1]/db2","16","546"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","4","548"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","3","550"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","14","552"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","14","552"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","18","585"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","4","602"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","4","602"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","4","602"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","4","602"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","4","602"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","2","606"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","2","608"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","8","610"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","13","618"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","2","630"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","27","632"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","2","658"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","17","660"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","6","677"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","14","683"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","5","697"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","9","703"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","19","712"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","2","731"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","1","733"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","16","734"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","7","750"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","7","756"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","7","756"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","8","763"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","2","771"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","78","773"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","78","773"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","14","852"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","2","866"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","10","868"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","10","868"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","3","878"
