"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","7"
"enum_id","11","8"
"enum_confirm_grp[1]/enum_details","1","19"
"enum_confirm_grp[1]/enum_confirm","1","19"
"community_id","18","20"
"comm_confirm_grp[1]/comm_details","1","38"
"comm_confirm_grp[1]/comm_confirm","1","38"
"hhid_grp[1]/hhid_instruction","10","39"
"hhid_grp[1]/hhid_struct_num","10","39"
"hhid_grp[1]/hhid_hh_num","10","39"
"hhid_confirm_grp[1]/hhid_details","1","49"
"hhid_confirm_grp[1]/hhid_confirm","1","49"
"consent_grp[1]/consent_instr","34","50"
"consent_grp[1]/consent","34","50"
"consented_grp[1]/hh_note","2","84"
"consented_grp[1]/hhm_cnt","14","86"
"consented_grp[1]/rooster_note","2","100"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","53","102"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","53","102"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","53","102"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","155"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","156"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","8","158"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","3","160"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","3","170"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","3","173"
"consented_grp[1]/hhm_rpt[1]/ed4","4","176"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","180"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","180"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","182"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","182"
