"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","10","2"
"enum_confirm_grp[1]/enum_details","2","12"
"enum_confirm_grp[1]/enum_confirm","2","12"
"community_id","19","14"
"comm_confirm_grp[1]/comm_details","3","33"
"comm_confirm_grp[1]/comm_confirm","3","33"
"u5_iden_grp[1]/u5_id","47","34"
"u5_iden_grp[1]/u5_fullname","47","34"
"u5_iden_grp[1]/u5_age","47","34"
"u5_iden_grp[1]/u5_ct_id","47","34"
"u5_iden_grp[1]/u5_ct_fullname","47","34"
"uf9","2","91"
"consent_grp[1]/consent","2","92"
"consented_grp[1]/ub0","1","95"
"consented_grp[1]/ub1_age_sel","4","96"
"consented_grp[1]/ub1_dob_dmy","22","99"
"consented_grp[1]/ub5","2","121"
"consented_grp[1]/ub9","2","124"
"consented_grp[1]/br1","4","126"
"consented_grp[1]/br2","8","130"
"consented_grp[1]/br3","2","138"
"consented_grp[1]/ec1","2","140"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","34","142"
"consented_grp[1]/ec2_grp[1]/ec2_label","34","142"
"consented_grp[1]/ec2_grp[1]/ec2a","34","142"
"consented_grp[1]/ec2_grp[1]/ec2b","34","142"
"consented_grp[1]/ec2_grp[1]/ec2c","34","142"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","7","176"
"consented_grp[1]/ec3_grp[1]/ec3a","7","176"
"consented_grp[1]/ec3_grp[1]/ec3b","7","176"
"consented_grp[1]/ec7","2","183"
"consented_grp[1]/ec8","3","185"
"consented_grp[1]/ec9","9","188"
"consented_grp[1]/ec10","23","194"
"consented_grp[1]/ec11","3","219"
"consented_grp[1]/ec12","1","222"
"consented_grp[1]/ec13","3","223"
"consented_grp[1]/ec14","10","226"
"consented_grp[1]/ec15","3","235"
"consented_grp[1]/bd_grp[1]/bd2","6","239"
"consented_grp[1]/bd_grp[1]/bd3","2","244"
"consented_grp[1]/bd_grp[1]/bd4","9","246"
"consented_grp[1]/bd_grp[1]/bd5","12","255"
"consented_grp[1]/bd_grp[1]/bd6","26","267"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","16","293"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","16","293"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","16","293"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","16","293"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","16","293"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","16","293"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","34","306"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","34","306"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","33","308"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","33","308"
"consented_grp[1]/bd_grp[1]/bd7e1","6","363"
"consented_grp[1]/bd_grp[1]/bd8","3","382"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","385"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","4","386"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","390"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","4","392"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","5","396"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","2","400"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","1","402"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","1","403"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","1","405"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","1","406"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","2","408"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","2","410"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","6","411"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k2","1","415"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","1","418"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","2","420"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","1","421"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","3","423"
