"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","36","9"
"comm_confirm_grp[1]/comm_details","3","45"
"comm_confirm_grp[1]/comm_confirm","3","45"
"u5_iden_grp[1]/u5_id","164","48"
"u5_iden_grp[1]/u5_fullname","164","48"
"u5_iden_grp[1]/u5_age","164","48"
"u5_iden_grp[1]/u5_ct_id","164","48"
"u5_iden_grp[1]/u5_ct_fullname","164","48"
"gm1_a","2","211"
"gmobs1","3","214"
"gmobs2","3","217"
"an8","174","220"
"an9","4","385"
"an11_grp[1]/an11_b","85","399"
"an11_grp[1]/an11","85","399"
"an12","14","484"
"an13","2","498"
"an15","1","500"
