"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","2","9"
"enum_confirm_grp[1]/enum_confirm","2","9"
"community_id","7","10"
"comm_confirm_grp[1]/comm_details","3","16"
"comm_confirm_grp[1]/comm_confirm","3","16"
"iw_iden_grp[1]/iw_id","98","17"
"iw_iden_grp[1]/iw_fullname","98","17"
"iw_iden_grp[1]/iw_age","98","17"
"wm8","18","105"
"wm9_grp[1]/wm9b","6","119"
"wm9_grp[1]/consent","6","119"
"consented_grp[1]/wb3_age_sel","7","122"
"consented_grp[1]/wb3_dob_dmy","34","126"
"consented_grp[1]/age_correct_info","10","152"
"consented_grp[1]/wb5","15","175"
"consented_grp[1]/wb5_grp[1]/wb6","7","188"
"consented_grp[1]/wb5_grp[1]/wb6a","3","194"
"consented_grp[1]/wb5_grp[1]/wb6b","3","196"
"consented_grp[1]/wb5_grp[1]/wb7","11","198"
"consented_grp[1]/wb5_grp[1]/wb10a","4","208"
"consented_grp[1]/wb5_grp[1]/wb10b","7","210"
"consented_grp[1]/wb5_grp[1]/wb12a","7","216"
"consented_grp[1]/wb5_grp[1]/wb12b","5","220"
"consented_grp[1]/wb14_grp[1]/wb14_note","29","223"
"consented_grp[1]/wb14_grp[1]/wb14","29","223"
"consented_grp[1]/wb15","51","248"
"consented_grp[1]/wb16_grp[1]/wb16a","52","296"
"consented_grp[1]/wb16_grp[1]/wb16_note","52","296"
"consented_grp[1]/wb16_grp[1]/wb16b","52","296"
"consented_grp[1]/wb17a","13","345"
"consented_grp[1]/wb17b","13","355"
"consented_grp[1]/wb18","24","366"
"consented_grp[1]/mt1","22","388"
"consented_grp[1]/mt2","23","407"
"consented_grp[1]/mt3","16","428"
"consented_grp[1]/mt4","21","441"
"consented_grp[1]/mt9","17","461"
"consented_grp[1]/mt11","7","475"
"consented_grp[1]/mt12","37","480"
"consented_grp[1]/cm1","39","513"
"consented_grp[1]/cm2","16","546"
"consented_grp[1]/cm2_grp[1]/cm3","66","558"
"consented_grp[1]/cm2_grp[1]/cm4","66","558"
"consented_grp[1]/cm5","18","573"
"consented_grp[1]/cm5_grp[1]/cm6","31","585"
"consented_grp[1]/cm5_grp[1]/cm7","31","585"
"consented_grp[1]/cm8","26","598"
"consented_grp[1]/cm12","51","619"
"consented_grp[1]/bh0","13","737"
"consented_grp[1]/bh_rpt[1]/bh1","87","749"
"consented_grp[1]/bh_rpt[1]/bh2","6","830"
"consented_grp[1]/bh_rpt[1]/bh3","6","833"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","7","836"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","19","839"
"consented_grp[1]/bh_rpt[1]/bh5","15","853"
"consented_grp[1]/bh_rpt[1]/bh6","51","869"
"consented_grp[1]/bh_rpt[1]/bh7","14","924"
"consented_grp[1]/bh_rpt[1]/bh10","6","937"
"consented_grp[1]/bh_rpt[2]/bh1","14","942"
"consented_grp[1]/bh_rpt[2]/bh2","6","950"
"consented_grp[1]/bh_rpt[2]/bh3","5","952"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","6","955"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","16","959"
"consented_grp[1]/bh_rpt[2]/bh5","5","970"
"consented_grp[1]/bh_rpt[2]/bh6","17","983"
"consented_grp[1]/bh_rpt[2]/bh7","6","998"
"consented_grp[1]/bh_rpt[2]/bh10","5","1003"
"consented_grp[1]/bh_rpt[3]/bh1","39","1006"
"consented_grp[1]/bh_rpt[3]/bh2","17","1028"
"consented_grp[1]/bh_rpt[3]/bh3","9","1040"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","6","1063"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","33","1066"
"consented_grp[1]/bh_rpt[3]/bh5","6","1089"
"consented_grp[1]/bh_rpt[3]/bh6","24","1094"
