"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","1"
"enum_id","10","2"
"enum_confirm_grp[1]/enum_details","2","11"
"enum_confirm_grp[1]/enum_confirm","2","11"
"community_id","7","12"
"comm_confirm_grp[1]/comm_details","2","17"
"comm_confirm_grp[1]/comm_confirm","2","17"
"hhid_grp[1]/hhid_instruction","23","18"
"hhid_grp[1]/hhid_struct_num","23","18"
"hhid_grp[1]/hhid_hh_num","23","18"
"hhid_confirm_grp[1]/hhid_details","5","25"
"hhid_confirm_grp[1]/hhid_confirm","5","25"
"consent_grp[1]/consent_instr","246","27"
"consent_grp[1]/consent","246","27"
"consented_grp[1]/hh_note","28","268"
"consented_grp[1]/hhm_cnt","8","294"
"consented_grp[1]/rooster_note","8","296"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","43","299"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","43","299"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","43","299"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","334"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","5","338"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","4","340"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","30","342"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","4","369"
"consented_grp[1]/hhm_rpt[1]/ed4","6","371"
"consented_grp[1]/hhm_rpt[1]/ed9","4","375"
"consented_grp[1]/hhm_rpt[1]/ed15","4","377"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","31","378"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","31","378"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","45","387"
