"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","36","9"
"enum_id","31","45"
"enum_confirm_grp[1]/enum_details","12","76"
"enum_confirm_grp[1]/enum_confirm","12","76"
"community_id","19","87"
"comm_confirm_grp[1]/comm_details","2","107"
"comm_confirm_grp[1]/comm_confirm","2","107"
"hhid_grp[1]/hhid_instruction","14","108"
"hhid_grp[1]/hhid_struct_num","14","108"
"hhid_grp[1]/hhid_hh_num","14","108"
"hhid_confirm_grp[1]/hhid_details","2","122"
"hhid_confirm_grp[1]/hhid_confirm","2","122"
"consent_grp[1]/consent_instr","218","124"
"consent_grp[1]/consent","218","124"
"consented_grp[1]/hh_note","517","341"
"consented_grp[1]/hhm_cnt","3","858"
"consented_grp[1]/rooster_note","3","861"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","63","865"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","63","865"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","63","865"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","928"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","930"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","4","935"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","6","939"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","48","945"
"consented_grp[1]/hhm_rpt[1]/ed4","11","993"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","4","1004"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","4","1004"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","40","1008"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","40","1008"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","40","1008"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","3","1048"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","26","1051"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","1078"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","34","1081"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","4","1115"
"consented_grp[1]/hhm_rpt[2]/ed4","13","1120"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","3","1133"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","3","1133"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","1135"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","19","1135"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","19","1135"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","21","1155"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","6","1176"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","6","1182"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","22","1188"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","4","1210"
"consented_grp[1]/hhm_rpt[3]/ed4","11","1214"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","4","1225"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","6","1228"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","1234"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","3","1236"
"consented_grp[1]/hhm_rpt[3]/ed9","2","1240"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","14","1242"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","3","1256"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","6","1259"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","2","1266"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","10","1268"
"consented_grp[1]/hhm_rpt[3]/ed15","6","1278"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","2","1284"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","3","1286"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","4","1288"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","4","1288"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","1292"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","1292"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","1292"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","6","1306"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","3","1312"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","6","1315"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","13","1322"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","7","1335"
"consented_grp[1]/hhm_rpt[4]/ed4","18","1342"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","2","1360"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","2","1362"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","2","1364"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","4","1366"
"consented_grp[1]/hhm_rpt[4]/ed9","5","1370"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","2","1376"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","3","1378"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","3","1381"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed13","2","1383"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","6","1386"
"consented_grp[1]/hhm_rpt[4]/ed15","5","1392"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","2","1397"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","2","1399"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","3","1401"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","3","1401"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","1404"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","1404"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","1404"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","17","1421"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","4","1437"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","9","1442"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","33","1451"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","5","1484"
"consented_grp[1]/hhm_rpt[5]/ed4","6","1488"
"consented_grp[1]/hhm_rpt[5]/ed9","5","1494"
"consented_grp[1]/hhm_rpt[5]/ed15","3","1500"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","4","1503"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","4","1503"
"consented_grp[1]/hhm_ch_intro","9","1507"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","6","1516"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","5","1522"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","6","1527"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","5","1533"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","3","1538"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl19","33","1540"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","11","1574"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","3","1585"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","3","1588"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","3","1592"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","2","1595"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl19","10","1597"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","10","1607"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","2","1617"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","4","1618"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl16","3","1622"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17a","4","1625"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17b","5","1628"
"consented_grp[1]/u5_rpt[1]/u5_note","129","1634"
"consented_grp[1]/hc_grp[1]/hc1a","28","1762"
"consented_grp[1]/hc_grp[1]/hc1b","5","1791"
"consented_grp[1]/hc_grp[1]/hc2","3","1795"
"consented_grp[1]/hc_grp[1]/hc3","52","1799"
"consented_grp[1]/hc_grp[1]/hc4","11","1850"
"consented_grp[1]/hc_grp[1]/hc5","11","1861"
"consented_grp[1]/hc_grp[1]/hc6","96","1872"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","45","1967"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","45","1967"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","45","1967"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","45","1967"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","45","1967"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","45","1967"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","45","1967"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","45","1967"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","45","1967"
"consented_grp[1]/hc_grp[1]/hc8","10","2012"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","23","2021"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","23","2021"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","23","2021"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","23","2021"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","23","2021"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","23","2021"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","23","2021"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","23","2021"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","23","2021"
"consented_grp[1]/hc_grp[1]/hc11","13","2044"
"consented_grp[1]/hc_grp[1]/hc12","10","2057"
"consented_grp[1]/hc_grp[1]/hc13","36","2068"
"consented_grp[1]/hc_grp[1]/hc14","9","2104"
"consented_grp[1]/hc_grp[1]/hc15","13","2113"
"consented_grp[1]/hc_grp[1]/hc17","16","2126"
"consented_grp[1]/hc_grp[1]/hc19","7","2142"
"consented_grp[1]/st_intonote","99","2149"
"consented_grp[1]/st_rpt[1]/st1a","15","2184"
"consented_grp[1]/st_rpt[2]/st1a","22","2186"
"consented_grp[1]/st_rpt[3]/st1a","5","2285"
