"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","28"
"enum_id","20","30"
"enum_confirm_grp[1]/enum_details","5","40"
"enum_confirm_grp[1]/enum_confirm","5","40"
"community_id","12","42"
"comm_confirm_grp[1]/comm_details","5","69"
"comm_confirm_grp[1]/comm_confirm","5","69"
"iw_iden_grp[1]/iw_id","237","70"
"iw_iden_grp[1]/iw_fullname","237","70"
"iw_iden_grp[1]/iw_age","237","70"
"wm8","50","298"
"wm9_grp[1]/wm9a","75","302"
"wm9_grp[1]/consent","75","302"
"consented_grp[1]/wb3_age_sel","26","366"
"consented_grp[1]/wb3_dob_dmy","24","382"
"consented_grp[1]/wb5","10","398"
"consented_grp[1]/wb14_grp[1]/wb14_note","33","402"
"consented_grp[1]/wb14_grp[1]/wb14","33","402"
"consented_grp[1]/wb15","240","408"
"consented_grp[1]/wb16_grp[1]/wb16a","69","515"
"consented_grp[1]/wb16_grp[1]/wb16_note","69","515"
"consented_grp[1]/wb16_grp[1]/wb16b","69","515"
"consented_grp[1]/wb17a","15","553"
"consented_grp[1]/wb17b","12","579"
"consented_grp[1]/wb18","10","586"
"consented_grp[1]/mt1","11","590"
"consented_grp[1]/mt2","11","597"
"consented_grp[1]/mt3","7","602"
"consented_grp[1]/mt4","9","605"
"consented_grp[1]/mt9","13","608"
"consented_grp[1]/mt11","11","612"
"consented_grp[1]/mt12","49","614"
"consented_grp[1]/cm1","33","631"
"consented_grp[1]/cm2","22","638"
"consented_grp[1]/cm2_grp[1]/cm3","65","643"
"consented_grp[1]/cm2_grp[1]/cm4","65","643"
"consented_grp[1]/cm5","45","654"
"consented_grp[1]/cm5_grp[1]/cm6","127","661"
"consented_grp[1]/cm5_grp[1]/cm7","127","661"
"consented_grp[1]/cm8","22","711"
"consented_grp[1]/cm12","26","720"
"consented_grp[1]/bh0","3","1034"
"consented_grp[1]/bh_rpt[1]/bh1","11","1037"
"consented_grp[1]/bh_rpt[1]/bh2","3","1046"
"consented_grp[1]/bh_rpt[1]/bh3","3","1049"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","8","1051"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","22","1058"
"consented_grp[1]/bh_rpt[1]/bh5","4","1079"
"consented_grp[1]/bh_rpt[1]/bh6","7","1082"
"consented_grp[1]/bh_rpt[1]/bh7","5","1087"
"consented_grp[1]/bh_rpt[1]/bh10","7","1091"
"consented_grp[1]/bh_rpt[2]/bh1","10","1098"
"consented_grp[1]/bh_rpt[2]/bh2","5","1107"
"consented_grp[1]/bh_rpt[2]/bh3","5","1111"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","8","1114"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","44","1118"
"consented_grp[1]/bh_rpt[2]/bh5","8","1147"
"consented_grp[1]/bh_rpt[2]/bh6","14","1150"
"consented_grp[1]/bh_rpt[2]/bh7","4","1185"
"consented_grp[1]/bh_rpt[2]/bh10","7","1188"
"consented_grp[1]/bh_rpt[3]/bh1","30","1195"
"consented_grp[1]/bh_rpt[3]/bh2","3","1224"
"consented_grp[1]/bh_rpt[3]/bh3","5","1226"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","16","1230"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","37","1243"
"consented_grp[1]/bh_rpt[3]/bh5","8","1271"
"consented_grp[1]/bh_rpt[3]/bh6","19","1276"
"consented_grp[1]/bh_rpt[3]/bh7","8","1288"
"consented_grp[1]/bh_rpt[3]/bh8","49","1291"
"consented_grp[1]/bh_rpt[3]/bh10","25","1335"
"consented_grp[1]/bh_rpt[4]/bh1","31","1355"
"consented_grp[1]/bh_rpt[4]/bh2","7","1381"
"consented_grp[1]/bh_rpt[4]/bh3","7","1383"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","8","1385"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","46","1390"
"consented_grp[1]/bh_rpt[4]/bh5","4","1471"
"consented_grp[1]/bh_rpt[4]/bh6","8","1474"
"consented_grp[1]/bh_rpt[4]/bh7","7","1479"
"consented_grp[1]/bh_rpt[4]/bh8","26","1482"
"consented_grp[1]/bh_rpt[4]/bh10","8","1507"
"consented_grp[1]/db2","14","1511"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","11","1522"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","22","1531"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","22","1536"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","22","1536"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","108","1552"
