"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","18"
"enum_id","7","19"
"enum_confirm_grp[1]/enum_details","1","26"
"enum_confirm_grp[1]/enum_confirm","1","26"
"community_id","5","27"
"comm_confirm_grp[1]/comm_details","1","33"
"comm_confirm_grp[1]/comm_confirm","1","33"
"hhid_grp[1]/hhid_instruction","7","34"
"hhid_grp[1]/hhid_struct_num","7","34"
"hhid_grp[1]/hhid_hh_num","7","34"
"hhid_confirm_grp[1]/hhid_details","1","41"
"hhid_confirm_grp[1]/hhid_confirm","1","41"
"consent_grp[1]/consent_instr","241","43"
"consent_grp[1]/consent","241","43"
"consented_grp[1]/hh_note","48","284"
"consented_grp[1]/hhm_cnt","3","332"
"consented_grp[1]/rooster_note","3","335"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","51","338"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","51","338"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","51","338"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","4","388"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","392"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","8","394"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","34","402"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","5","437"
"consented_grp[1]/hhm_rpt[1]/ed4","6","442"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","30","448"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","30","448"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","18","478"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","18","478"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","18","478"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","495"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","500"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","502"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","16","504"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","4","520"
"consented_grp[1]/hhm_rpt[2]/ed4","4","524"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","4","527"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","8","532"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","3","536"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","7","543"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","26","550"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","26","550"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","67","576"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","67","576"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","67","576"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","29","643"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","3","672"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","675"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","14","678"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","692"
"consented_grp[1]/hhm_rpt[3]/ed4","3","695"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","2","698"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","700"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","3","702"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","2","705"
"consented_grp[1]/hhm_rpt[3]/ed9","5","706"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","2","711"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","7","714"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","2","721"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","1","722"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","10","724"
"consented_grp[1]/hhm_rpt[3]/ed15","4","734"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","2","738"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","2","740"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","22","742"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","22","742"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","35","763"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","35","763"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","35","763"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","11","798"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","6","804"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","3","814"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","16","817"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","2","832"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","21","834"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","21","834"
"consented_grp[1]/hhm_ch_intro","5","855"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","3","860"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","864"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","3","865"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","4","868"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","5","873"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","2","878"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","3","880"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","4","883"
"consented_grp[1]/u5_rpt[1]/u5_note","36","887"
"consented_grp[1]/hc_grp[1]/hc1a","19","923"
"consented_grp[1]/hc_grp[1]/hc1b","10","933"
"consented_grp[1]/hc_grp[1]/hc2","2","951"
"consented_grp[1]/hc_grp[1]/hc3","11","953"
"consented_grp[1]/hc_grp[1]/hc4","9","964"
"consented_grp[1]/hc_grp[1]/hc5","9","973"
"consented_grp[1]/hc_grp[1]/hc6","5","982"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","30","987"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","30","987"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","30","987"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","30","987"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","30","987"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","30","987"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","30","987"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","30","987"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","30","987"
"consented_grp[1]/hc_grp[1]/hc8","3","1017"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","16","1020"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","16","1020"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","16","1020"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","16","1020"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","16","1020"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","16","1020"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","16","1020"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","16","1020"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","16","1020"
"consented_grp[1]/hc_grp[1]/hc11","5","1036"
"consented_grp[1]/hc_grp[1]/hc12","3","1041"
"consented_grp[1]/hc_grp[1]/hc13","3","1044"
"consented_grp[1]/hc_grp[1]/hc14","10","1047"
"consented_grp[1]/hc_grp[1]/hc15","6","1057"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","16","1064"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","16","1064"
"consented_grp[1]/hc_grp[1]/hc17","10","1079"
