"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","35"
"enum_id","4","36"
"enum_confirm_grp[1]/enum_details","1","40"
"enum_confirm_grp[1]/enum_confirm","1","40"
"community_id","9","41"
"comm_confirm_grp[1]/comm_details","1","51"
"comm_confirm_grp[1]/comm_confirm","1","51"
"iw_iden_grp[1]/iw_id","41","52"
"iw_iden_grp[1]/iw_fullname","41","52"
"iw_iden_grp[1]/iw_age","41","52"
"wm8","2","93"
"wm9_grp[1]/wm9b","2","95"
"wm9_grp[1]/consent","2","95"
"consented_grp[1]/wb3_age_sel","2","97"
"consented_grp[1]/wb3_dob_dmy","22","99"
"consented_grp[1]/wb5","5","122"
"consented_grp[1]/wb5_grp[1]/wb6","5","127"
"consented_grp[1]/wb5_grp[1]/wb6a","11","132"
"consented_grp[1]/wb5_grp[1]/wb6b","105","137"
"consented_grp[1]/wb5_grp[1]/wb7","3","249"
"consented_grp[1]/wb5_grp[1]/wb9","2","252"
"consented_grp[1]/wb5_grp[1]/wb10a","2","254"
"consented_grp[1]/wb5_grp[1]/wb10b","1","256"
"consented_grp[1]/wb5_grp[1]/wb11","2","257"
"consented_grp[1]/wb5_grp[1]/wb12a","1","259"
"consented_grp[1]/wb5_grp[1]/wb12b","1","261"
"consented_grp[1]/wb15","15","262"
"consented_grp[1]/wb16_grp[1]/wb16a","38","276"
"consented_grp[1]/wb16_grp[1]/wb16_note","38","276"
"consented_grp[1]/wb16_grp[1]/wb16b","38","276"
"consented_grp[1]/wb17a","8","314"
"consented_grp[1]/wb17b","2","322"
"consented_grp[1]/wb17c","11","324"
"consented_grp[1]/wb18","32","334"
"consented_grp[1]/wb19","62","360"
"consented_grp[1]/mt1","19","426"
"consented_grp[1]/mt2","3","443"
"consented_grp[1]/mt3","3","445"
"consented_grp[1]/mt4","5","447"
"consented_grp[1]/mt9","3","449"
"consented_grp[1]/mt11","25","452"
"consented_grp[1]/mt12","6","469"
"consented_grp[1]/cm1","68","472"
"consented_grp[1]/cm2","6","539"
"consented_grp[1]/cm2_grp[1]/cm3","7","542"
"consented_grp[1]/cm2_grp[1]/cm4","7","542"
"consented_grp[1]/cm5","10","547"
"consented_grp[1]/cm8","4","549"
"consented_grp[1]/cm12","4","552"
"consented_grp[1]/bh0","1","555"
"consented_grp[1]/bh_rpt[1]/bh1","18","556"
"consented_grp[1]/bh_rpt[1]/bh2","3","573"
"consented_grp[1]/bh_rpt[1]/bh3","3","575"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","577"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","12","579"
"consented_grp[1]/bh_rpt[1]/bh5","6","586"
"consented_grp[1]/bh_rpt[1]/bh6","19","591"
"consented_grp[1]/bh_rpt[1]/bh7","3","656"
"consented_grp[1]/bh_rpt[1]/bh8","6","659"
"consented_grp[1]/bh_rpt[1]/bh10","2","666"
"consented_grp[1]/db2","31","668"
"consented_grp[1]/db4_a","14","699"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","10","713"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","26","723"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","13","748"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","13","748"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","42","762"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","11","803"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","11","803"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","11","803"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","11","803"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","11","803"
