"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","16","3"
"enum_confirm_grp[1]/enum_details","1","18"
"enum_confirm_grp[1]/enum_confirm","1","18"
"community_id","18","19"
"comm_confirm_grp[1]/comm_details","2","37"
"comm_confirm_grp[1]/comm_confirm","2","37"
"u5_iden_grp[1]/u5_id","177","39"
"u5_iden_grp[1]/u5_fullname","177","39"
"u5_iden_grp[1]/u5_age","177","39"
"u5_iden_grp[1]/u5_ct_id","177","39"
"u5_iden_grp[1]/u5_ct_fullname","177","39"
"gm1_a","2","216"
"gmobs1","9","218"
"gmobs2","14","224"
"an8","24","241"
"an9","9","264"
"an11_grp[1]/an11_a","18","273"
"an11_grp[1]/an11","18","273"
"an12","2","291"
"an13","9","293"
"an15","1","303"
