"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","2"
"enum_confirm_grp[1]/enum_details","3","8"
"enum_confirm_grp[1]/enum_confirm","3","8"
"community_id","12","11"
"comm_confirm_grp[1]/comm_details","1","23"
"comm_confirm_grp[1]/comm_confirm","1","23"
"iw_iden_grp[1]/iw_id","49","24"
"iw_iden_grp[1]/iw_fullname","49","24"
"iw_iden_grp[1]/iw_age","49","24"
"wm8","3","73"
"wm9_grp[1]/wm9a","79","76"
"wm9_grp[1]/consent","79","76"
"consented_grp[1]/wb3_age_sel","4","83"
"consented_grp[1]/wb3_dob_dmy","11","85"
"consented_grp[1]/wb5","5","95"
"consented_grp[1]/wb5_grp[1]/wb6","6","97"
"consented_grp[1]/wb5_grp[1]/wb6a","3","103"
"consented_grp[1]/wb5_grp[1]/wb6b","3","104"
"consented_grp[1]/wb5_grp[1]/wb7","2","187"
"consented_grp[1]/wb5_grp[1]/wb10a","3","189"
"consented_grp[1]/wb5_grp[1]/wb10b","2","192"
"consented_grp[1]/wb5_grp[1]/wb12a","1","194"
"consented_grp[1]/wb5_grp[1]/wb12b","1","195"
"consented_grp[1]/wb14_grp[1]/wb14_note","90","196"
"consented_grp[1]/wb14_grp[1]/wb14","90","196"
"consented_grp[1]/wb15","33","286"
"consented_grp[1]/wb16_grp[1]/wb16a","15","319"
"consented_grp[1]/wb16_grp[1]/wb16_note","15","319"
"consented_grp[1]/wb16_grp[1]/wb16b","15","319"
"consented_grp[1]/wb17a","6","328"
"consented_grp[1]/wb17b","5","341"
"consented_grp[1]/wb18","2","345"
"consented_grp[1]/mt1","8","347"
"consented_grp[1]/mt2","7","355"
"consented_grp[1]/mt3","5","362"
"consented_grp[1]/mt4","5","367"
"consented_grp[1]/mt9","4","372"
"consented_grp[1]/mt10","2","374"
"consented_grp[1]/mt11","3","378"
"consented_grp[1]/mt12","3","380"
"consented_grp[1]/cm1","138","383"
"consented_grp[1]/cm2","7","522"
"consented_grp[1]/cm2_grp[1]/cm3","51","526"
"consented_grp[1]/cm2_grp[1]/cm4","51","526"
"consented_grp[1]/cm5","7","580"
"consented_grp[1]/cm8","2","586"
"consented_grp[1]/cm12","2","589"
"consented_grp[1]/bh0","1","590"
"consented_grp[1]/bh_rpt[1]/bh1","142","591"
"consented_grp[1]/bh_rpt[1]/bh2","1","733"
"consented_grp[1]/bh_rpt[1]/bh3","1","734"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","1","736"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","11","737"
