"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","9","3"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","6","13"
"comm_confirm_grp[1]/comm_details","1","19"
"comm_confirm_grp[1]/comm_confirm","1","19"
"hhid_grp[1]/hhid_instruction","7","20"
"hhid_grp[1]/hhid_struct_num","7","20"
"hhid_grp[1]/hhid_hh_num","7","20"
"hhid_confirm_grp[1]/hhid_details","1","27"
"hhid_confirm_grp[1]/hhid_confirm","1","27"
"consent_grp[1]/consent_instr","295","28"
"consent_grp[1]/consent","295","28"
"consented_grp[1]/hh_note","6","323"
"consented_grp[1]/hhm_cnt","10","329"
"consented_grp[1]/rooster_note","2","339"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","120","342"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","120","342"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","120","342"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","48","459"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","509"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","512"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","3","514"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","18","517"
"consented_grp[1]/hhm_rpt[1]/ed4","14","535"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","4","549"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","3","553"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","556"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","3","558"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","561"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","561"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","38","563"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","38","563"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","38","563"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","601"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","603"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","605"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","17","609"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","626"
"consented_grp[1]/hhm_rpt[2]/ed4","5","629"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","634"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","634"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","45","636"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","45","636"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","45","636"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","12","680"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","692"
