"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","10"
"enum_id","9","12"
"enum_confirm_grp[1]/enum_details","2","20"
"enum_confirm_grp[1]/enum_confirm","2","20"
"community_id","18","22"
"comm_confirm_grp[1]/comm_details","2","40"
"comm_confirm_grp[1]/comm_confirm","2","40"
"hhid_grp[1]/hhid_instruction","9","42"
"hhid_grp[1]/hhid_struct_num","9","42"
"hhid_grp[1]/hhid_hh_num","9","42"
"hhid_confirm_grp[1]/hhid_details","4","50"
"hhid_confirm_grp[1]/hhid_confirm","4","50"
"consent_grp[1]/consent_instr","279","54"
"consent_grp[1]/consent","279","54"
"consented_grp[1]/hh_note","30","334"
"consented_grp[1]/hhm_cnt","368","364"
"consented_grp[1]/rooster_note","4","732"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","28","735"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","28","735"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","28","735"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","4","763"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","767"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","81","770"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","11","851"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","23","861"
"consented_grp[1]/hhm_rpt[1]/ed4","13","884"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","21","897"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","4","918"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","6","921"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","5","927"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","7","933"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","7","933"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","940"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","940"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","940"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","18","966"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","5","984"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","14","990"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","162","1004"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","77","1166"
"consented_grp[1]/hhm_rpt[2]/ed4","8","1243"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","17","1251"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","16","1269"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","1285"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","7","1287"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","5","1295"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","5","1295"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","48","1300"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","48","1300"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","48","1300"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","7","1347"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","1354"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","9","1356"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","17","1365"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","4","1383"
"consented_grp[1]/hhm_rpt[3]/ed4","32","1387"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","2","1418"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","5","1420"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","1425"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","6","1427"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","8","1434"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","8","1434"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","1441"
