"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","15","3"
"enum_confirm_grp[1]/enum_details","1","18"
"enum_confirm_grp[1]/enum_confirm","1","18"
"community_id","11","19"
"comm_confirm_grp[1]/comm_details","1","30"
"comm_confirm_grp[1]/comm_confirm","1","30"
"iw_iden_grp[1]/iw_id","98","31"
"iw_iden_grp[1]/iw_fullname","98","31"
"iw_iden_grp[1]/iw_age","98","31"
"wm8","4","129"
"wm9_grp[1]/wm9a","3","133"
"wm9_grp[1]/consent","3","133"
"consented_grp[1]/wb3_age_sel","2","136"
"consented_grp[1]/wb3_dob_dmy","35","138"
"consented_grp[1]/wb5","4","173"
"consented_grp[1]/wb5_grp[1]/wb6","85","177"
"consented_grp[1]/wb5_grp[1]/wb6a","5","262"
"consented_grp[1]/wb5_grp[1]/wb6b","2","267"
"consented_grp[1]/wb5_grp[1]/wb7","8","269"
"consented_grp[1]/wb5_grp[1]/wb9","11","277"
"consented_grp[1]/wb5_grp[1]/wb10a","19","282"
"consented_grp[1]/wb5_grp[1]/wb10b","3","306"
"consented_grp[1]/wb5_grp[1]/wb11","9","310"
"consented_grp[1]/wb5_grp[1]/wb12","2","319"
"consented_grp[1]/wb5_grp[1]/wb12a","2","321"
"consented_grp[1]/wb5_grp[1]/wb12b","3","323"
"consented_grp[1]/wb15","77","324"
"consented_grp[1]/wb16_grp[1]/wb16a","25","399"
"consented_grp[1]/wb16_grp[1]/wb16_note","25","399"
"consented_grp[1]/wb16_grp[1]/wb16b","25","399"
"consented_grp[1]/wb17a","23","428"
"consented_grp[1]/wb17b","3","451"
"consented_grp[1]/wb18","3","454"
"consented_grp[1]/mt1","7","457"
"consented_grp[1]/mt2","10","464"
"consented_grp[1]/mt3","23","473"
"consented_grp[1]/mt4","13","497"
"consented_grp[1]/mt5","4","509"
"consented_grp[1]/mt9","2","514"
"consented_grp[1]/mt11","4","517"
"consented_grp[1]/mt12","17","520"
"consented_grp[1]/cm1","2","538"
"consented_grp[1]/cm2","5","540"
"consented_grp[1]/cm2_grp[1]/cm3","7","541"
"consented_grp[1]/cm2_grp[1]/cm4","7","541"
"consented_grp[1]/cm5","11","545"
