"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","11","11"
"comm_confirm_grp[1]/comm_details","5","22"
"comm_confirm_grp[1]/comm_confirm","5","22"
"hhid_grp[1]/hhid_instruction","13","28"
"hhid_grp[1]/hhid_struct_num","13","28"
"hhid_grp[1]/hhid_hh_num","13","28"
"hhid_confirm_grp[1]/hhid_details","6","41"
"hhid_confirm_grp[1]/hhid_confirm","6","41"
"consent_grp[1]/consent_instr","168","42"
"consent_grp[1]/consent","168","42"
"consented_grp[1]/hh_note","2","175"
"consented_grp[1]/hhm_cnt","12","176"
"consented_grp[1]/rooster_note","3","189"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","75","191"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","75","191"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","75","191"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","266"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","268"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","271"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","3","273"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","41","276"
"consented_grp[1]/hhm_rpt[1]/ed4","6","318"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","18","323"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","2","341"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","343"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","2","345"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","347"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","347"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","27","350"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","27","350"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","27","350"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","377"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","379"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","381"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","6","383"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","389"
"consented_grp[1]/hhm_rpt[2]/ed4","2","391"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","3","393"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","3","393"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","63","396"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","63","396"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","63","396"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","9","459"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","468"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","18","470"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_my","39","485"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","7","501"
"consented_grp[1]/hhm_rpt[3]/ed4","10","503"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","7","509"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","7","510"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","6","512"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","7","514"
"consented_grp[1]/hhm_rpt[3]/ed9","9","517"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","6","520"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","9","522"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","10","526"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","7","530"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","75","532"
"consented_grp[1]/hhm_rpt[3]/ed15","8","638"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","5","641"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","6","642"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","42","644"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","42","644"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","35","667"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","35","667"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","35","667"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","3","702"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","3","705"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","4","708"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_y","10","711"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","2","722"
"consented_grp[1]/hhm_rpt[4]/ed4","3","724"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","2","727"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","2","729"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","2","730"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","2","732"
"consented_grp[1]/hhm_rpt[4]/ed9","2","735"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","2","737"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","3","738"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","2","741"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed13","2","743"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","4","745"
"consented_grp[1]/hhm_rpt[4]/ed15","2","748"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","1","750"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","2","752"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","10","754"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","10","754"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","30","764"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","30","764"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","30","764"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","9","784"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","4","791"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","4","793"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","17","795"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","5","809"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","17","811"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","17","811"
"consented_grp[1]/hhm_ch_intro","4","824"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","4","826"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","10","829"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","4","838"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","5","840"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","7","843"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl19","14","848"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","8","858"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","19","864"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","4","882"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","5","884"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","10","888"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl19","4","897"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl12","15","899"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13a","3","962"
"consented_grp[1]/hhm_ch_rpt[3]/h12_grp[1]/hl13b","1","965"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl16","2","966"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17a","3","968"
"consented_grp[1]/hhm_ch_rpt[3]/h16_grp[1]/hl17b","2","971"
"consented_grp[1]/u5_rpt[1]/u5_note","88","973"
"consented_grp[1]/hc_grp[1]/hc1a","2","1061"
"consented_grp[1]/hc_grp[1]/hc1b","2","1063"
"consented_grp[1]/hc_grp[1]/hc2","4","1066"
"consented_grp[1]/hc_grp[1]/hc3","7","1070"
"consented_grp[1]/hc_grp[1]/hc4","14","1077"
"consented_grp[1]/hc_grp[1]/hc5","2","1091"
"consented_grp[1]/hc_grp[1]/hc6","4","1093"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","35","1097"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","35","1097"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","35","1097"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","35","1097"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","35","1097"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","35","1097"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","35","1097"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","35","1097"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","35","1097"
"consented_grp[1]/hc_grp[1]/hc8","3","1132"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","21","1135"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","21","1135"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","21","1135"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","21","1135"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","21","1135"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","21","1135"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","21","1135"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","21","1135"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","21","1135"
"consented_grp[1]/hc_grp[1]/hc11","3","1156"
"consented_grp[1]/hc_grp[1]/hc12","4","1158"
"consented_grp[1]/hc_grp[1]/hc13","6","1160"
"consented_grp[1]/hc_grp[1]/hc14","11","1169"
"consented_grp[1]/hc_grp[1]/hc15","14","1180"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","8","1194"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","8","1194"
"consented_grp[1]/hc_grp[1]/hc17","18","1202"
"consented_grp[1]/hc_grp[1]/hc18","3","1220"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/note","6","1222"
"consented_grp[1]/hc_grp[1]/hc18_grp[1]/hc18f","6","1222"
"consented_grp[1]/hc_grp[1]/hc19","4","1229"
"consented_grp[1]/st_intonote","14","1233"
"consented_grp[1]/st_rpt[1]/st1a","2","1246"
"consented_grp[1]/st_rpt[2]/st1a","19","1248"
