"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","32"
"enum_id","6","35"
"enum_confirm_grp[1]/enum_details","1","41"
"enum_confirm_grp[1]/enum_confirm","1","41"
"community_id","13","42"
"comm_confirm_grp[1]/comm_details","1","55"
"comm_confirm_grp[1]/comm_confirm","1","55"
"u5_iden_grp[1]/u5_id","59","56"
"u5_iden_grp[1]/u5_fullname","59","56"
"u5_iden_grp[1]/u5_age","59","56"
"u5_iden_grp[1]/u5_ct_id","59","56"
"u5_iden_grp[1]/u5_ct_fullname","59","56"
"uf9","2","115"
"consent_grp[1]/consent","3","117"
"consented_grp[1]/ub0","2","120"
"consented_grp[1]/ub1_age_sel","5","122"
"consented_grp[1]/ub1_dob_dmy","29","127"
"consented_grp[1]/ub5","2","155"
"consented_grp[1]/ub9","11","158"
"consented_grp[1]/br1","10","169"
"consented_grp[1]/ec1","3","179"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","28","182"
"consented_grp[1]/ec2_grp[1]/ec2_label","28","182"
"consented_grp[1]/ec2_grp[1]/ec2a","28","182"
"consented_grp[1]/ec2_grp[1]/ec2b","28","182"
"consented_grp[1]/ec2_grp[1]/ec2c","28","182"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","43","210"
"consented_grp[1]/ec3_grp[1]/ec3a","43","210"
"consented_grp[1]/ec3_grp[1]/ec3b","43","210"
"consented_grp[1]/ec7","7","254"
"consented_grp[1]/ec8","2","261"
"consented_grp[1]/ec9","5","263"
"consented_grp[1]/ec10","13","268"
"consented_grp[1]/ec11","4","281"
"consented_grp[1]/ec12","7","285"
"consented_grp[1]/ec13","5","292"
"consented_grp[1]/ec14","5","297"
"consented_grp[1]/ec15","10","302"
"consented_grp[1]/bd_grp[1]/bd2","6","312"
"consented_grp[1]/bd_grp[1]/bd3","3","317"
"consented_grp[1]/bd_grp[1]/bd4","16","320"
"consented_grp[1]/bd_grp[1]/bd5","6","337"
"consented_grp[1]/bd_grp[1]/bd6","6","342"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","23","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","23","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","23","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","23","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","23","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","23","348"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","6","371"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","6","371"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","15","377"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","15","377"
"consented_grp[1]/bd_grp[1]/bd8","6","392"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","4","398"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","8","399"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","410"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","10","411"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","5","421"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","3","425"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","4","429"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","7","432"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","4","440"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","8","444"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","2","451"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","19","454"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","4","472"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","8","477"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","7","484"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","6","491"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","3","497"
"consented_grp[1]/im2","4","499"
"consented_grp[1]/im5","2","503"
"consented_grp[1]/im6_note","1","505"
"consented_grp[1]/im6_rpt[1]/im6","45","506"
"consented_grp[1]/im6_rpt[1]/im6a","8","551"
"consented_grp[1]/im6_rpt[2]/im6","2","559"
"consented_grp[1]/im6_rpt[2]/im6a","5","560"
"consented_grp[1]/im6_rpt[3]/im6","2","566"
"consented_grp[1]/im6_rpt[4]/im6","1","567"
"consented_grp[1]/im6_rpt[5]/im6","1","569"
"consented_grp[1]/im6_rpt[6]/im6","1","570"
"consented_grp[1]/im6_rpt[7]/im6","1","571"
"consented_grp[1]/im6_rpt[8]/im6","1","572"
"consented_grp[1]/im6_rpt[9]/im6","1","573"
"consented_grp[1]/im6_rpt[10]/im6","1","574"
"consented_grp[1]/im6_rpt[11]/im6","1","575"
"consented_grp[1]/im6_rpt[12]/im6","1","576"
"consented_grp[1]/im6_rpt[13]/im6","1","578"
"consented_grp[1]/im6_rpt[14]/im6","1","579"
"consented_grp[1]/im6_rpt[15]/im6","1","580"
"consented_grp[1]/ca1","21","581"
"consented_grp[1]/ca14","14","602"
"consented_grp[1]/ca16","5","616"
"consented_grp[1]/ca17","5","621"
"consented_grp[1]/ca31","60","626"
"comments","18","685"
