"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","9","8"
"enum_id","8","17"
"enum_confirm_grp[1]/enum_details","1","26"
"enum_confirm_grp[1]/enum_confirm","1","26"
"community_id","11","27"
"comm_confirm_grp[1]/comm_details","1","37"
"comm_confirm_grp[1]/comm_confirm","1","37"
"u5_iden_grp[1]/u5_id","51","39"
"u5_iden_grp[1]/u5_fullname","51","39"
"u5_iden_grp[1]/u5_age","51","39"
"u5_iden_grp[1]/u5_ct_id","51","39"
"u5_iden_grp[1]/u5_ct_fullname","51","39"
"uf9","2","89"
"consent_grp[1]/consent","5","91"
"consented_grp[1]/ub0","12","96"
"consented_grp[1]/ub1_age_sel","3","107"
"consented_grp[1]/ub1_dob_dmy","12","110"
"consented_grp[1]/ub5","5","122"
"consented_grp[1]/ub9","24","127"
"consented_grp[1]/br1","4","152"
"consented_grp[1]/ec1","5","156"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","32","160"
"consented_grp[1]/ec2_grp[1]/ec2_label","32","160"
"consented_grp[1]/ec2_grp[1]/ec2a","32","160"
"consented_grp[1]/ec2_grp[1]/ec2b","32","160"
"consented_grp[1]/ec2_grp[1]/ec2c","32","160"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","33","192"
"consented_grp[1]/ec3_grp[1]/ec3a","33","192"
"consented_grp[1]/ec3_grp[1]/ec3b","33","192"
"consented_grp[1]/ec7","6","226"
"consented_grp[1]/ec8","4","232"
"consented_grp[1]/ec9","6","236"
"consented_grp[1]/ec10","7","242"
"consented_grp[1]/ec11","9","248"
"consented_grp[1]/ec12","5","258"
"consented_grp[1]/ec13","8","263"
"consented_grp[1]/ec14","9","271"
"consented_grp[1]/ec15","23","280"
"consented_grp[1]/bd_grp[1]/bd2","6","303"
"consented_grp[1]/bd_grp[1]/bd3","3","309"
"consented_grp[1]/bd_grp[1]/bd4","18","312"
"consented_grp[1]/bd_grp[1]/bd5","5","329"
"consented_grp[1]/bd_grp[1]/bd6","13","335"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","60","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","60","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","60","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","60","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","60","348"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","60","348"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","3","408"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","3","408"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","6","411"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","6","411"
"consented_grp[1]/bd_grp[1]/bd8","12","417"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","430"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","4","431"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","435"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","13","436"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","8","448"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","23","457"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","8","479"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","12","487"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","7","500"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","19","507"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","9","525"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","15","534"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","4","549"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","5","554"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","11","559"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","8","571"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","9","578"
"consented_grp[1]/im2","19","588"
"consented_grp[1]/im5","3","607"
"consented_grp[1]/im6_note","4","608"
"consented_grp[1]/im6_rpt[1]/im6","4","610"
"consented_grp[1]/im6_rpt[1]/im6a","14","613"
"consented_grp[1]/im6_rpt[2]/im6","3","626"
"consented_grp[1]/im6_rpt[2]/im6a","7","628"
"consented_grp[1]/im6_rpt[3]/im6","2","635"
"consented_grp[1]/im6_rpt[3]/im6a","10","636"
"consented_grp[1]/im6_rpt[4]/im6","3","646"
"consented_grp[1]/im6_rpt[4]/im6a","5","648"
"consented_grp[1]/im6_rpt[5]/im6","2","653"
"consented_grp[1]/im6_rpt[5]/im6a","5","654"
"consented_grp[1]/im6_rpt[6]/im6","8","658"
"consented_grp[1]/im6_rpt[6]/im6a","5","662"
"consented_grp[1]/im6_rpt[7]/im6","3","666"
"consented_grp[1]/im6_rpt[7]/im6a","13","668"
"consented_grp[1]/im6_rpt[8]/im6","2","679"
"consented_grp[1]/im6_rpt[8]/im6a","11","680"
"consented_grp[1]/im6_rpt[9]/im6","3","688"
"consented_grp[1]/im6_rpt[9]/im6a","11","693"
"consented_grp[1]/im6_rpt[10]/im6","2","703"
"consented_grp[1]/im6_rpt[10]/im6a","8","704"
"consented_grp[1]/im6_rpt[11]/im6","3","711"
"consented_grp[1]/im6_rpt[11]/im6a","9","713"
"consented_grp[1]/im6_rpt[12]/im6","3","720"
"consented_grp[1]/im6_rpt[12]/im6a","8","722"
"consented_grp[1]/im6_rpt[13]/im6","4","727"
"consented_grp[1]/im6_rpt[13]/im6a","18","732"
"consented_grp[1]/im6_rpt[14]/im6","47","736"
"consented_grp[1]/im6_rpt[15]/im6","7","791"
"consented_grp[1]/im6_rpt[14]/im6a","3","796"
"consented_grp[1]/ca1","47","836"
"consented_grp[1]/ca14","9","883"
"consented_grp[1]/ca16","13","892"
"consented_grp[1]/ca17","20","905"
"consented_grp[1]/ca31","87","925"
"comments","5","1011"
