"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","10","8"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"u5_iden_grp[1]/u5_id","54","19"
"u5_iden_grp[1]/u5_fullname","54","19"
"u5_iden_grp[1]/u5_age","54","19"
"u5_iden_grp[1]/u5_ct_id","54","19"
"u5_iden_grp[1]/u5_ct_fullname","54","19"
"uf9","1","73"
"consent_grp[1]/consent","2","74"
"consented_grp[1]/ub0","1","76"
"consented_grp[1]/ub1_age_sel","4","77"
"consented_grp[1]/ub1_dob_dmy","8","81"
"consented_grp[1]/ub5","2","89"
"consented_grp[1]/ub6","1","91"
"consented_grp[1]/ub9","2","92"
"consented_grp[1]/br1","1","93"
"consented_grp[1]/ec1","2","94"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","8","96"
"consented_grp[1]/ec2_grp[1]/ec2_label","8","96"
"consented_grp[1]/ec2_grp[1]/ec2a","8","96"
"consented_grp[1]/ec2_grp[1]/ec2b","8","96"
"consented_grp[1]/ec2_grp[1]/ec2c","8","96"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","5","104"
"consented_grp[1]/ec3_grp[1]/ec3a","5","104"
"consented_grp[1]/ec3_grp[1]/ec3b","5","104"
"consented_grp[1]/ec5_grp[1]/ec5","26","109"
"consented_grp[1]/ec5_grp[1]/ec5_label","26","109"
"consented_grp[1]/ec5_grp[1]/ec5a","26","109"
"consented_grp[1]/ec5_grp[1]/ec5b","26","109"
"consented_grp[1]/ec5_grp[1]/ec5c","26","109"
"consented_grp[1]/ec5_grp[1]/ec5d","26","109"
"consented_grp[1]/ec5_grp[1]/ec5e","26","109"
"consented_grp[1]/ec5_grp[1]/ec5f","26","109"
"consented_grp[1]/ec6_grp[1]/ec6_note","4","135"
"consented_grp[1]/ec6_grp[1]/ec6","4","135"
"consented_grp[1]/ec7","1","139"
"consented_grp[1]/ec8","1","140"
"consented_grp[1]/ec9","2","141"
"consented_grp[1]/ec10","2","143"
"consented_grp[1]/ec11","2","145"
"consented_grp[1]/ec12","1","147"
"consented_grp[1]/ec13","2","148"
"consented_grp[1]/ec14","3","150"
"consented_grp[1]/ec15","5","153"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","32","158"
"consented_grp[1]/ucd2_grp[1]/ucd2a","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2b","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2c","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2d","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2e","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2f","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2g","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2h","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2i","32","158"
"consented_grp[1]/ucd2_grp[1]/ucb2j","32","158"
"consented_grp[1]/ucd3","2","190"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","6","192"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","6","192"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","6","192"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","6","192"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","6","192"
"consented_grp[1]/ucf_grp[1]/ucf5","2","198"
"consented_grp[1]/ucf_grp[1]/ucf7b","1","200"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","201"
"consented_grp[1]/ucf_grp[1]/ucf13","1","202"
"consented_grp[1]/ucf_grp[1]/ucf14","1","203"
"consented_grp[1]/ucf_grp[1]/ucf15","1","204"
"consented_grp[1]/ucf_grp[1]/ucf16","1","205"
"consented_grp[1]/ucf_grp[1]/ucf17","1","206"
"consented_grp[1]/ucf_grp[1]/ucf18","1","207"
"consented_grp[1]/ucf_grp[1]/ucf19","3","208"
"consented_grp[1]/im2","2","211"
"consented_grp[1]/im5","7","213"
"consented_grp[1]/im6_note","7","214"
"consented_grp[1]/im6_rpt[1]/im6","3","224"
"consented_grp[1]/im6_rpt[1]/im6a","17","227"
"consented_grp[1]/im6_rpt[2]/im6","2","234"
"consented_grp[1]/im6_rpt[2]/im6a","9","235"
"consented_grp[1]/im6_rpt[3]/im6","2","242"
"consented_grp[1]/im6_rpt[3]/im6a","16","243"
"consented_grp[1]/im6_rpt[4]/im6","1","254"
"consented_grp[1]/im6_rpt[4]/im6a","7","255"
"consented_grp[1]/im6_rpt[5]/im6","1","260"
"consented_grp[1]/im6_rpt[5]/im6a","8","262"
"consented_grp[1]/im6_rpt[6]/im6","2","269"
"consented_grp[1]/im6_rpt[6]/im6a","6","270"
"consented_grp[1]/im6_rpt[7]/im6","3","276"
"consented_grp[1]/im6_rpt[7]/im6a","11","278"
"consented_grp[1]/im6_rpt[8]/im6","2","287"
"consented_grp[1]/im6_rpt[8]/im6a","12","288"
"consented_grp[1]/im6_rpt[9]/im6","2","299"
"consented_grp[1]/im6_rpt[9]/im6a","8","300"
"consented_grp[1]/im6_rpt[10]/im6","2","306"
"consented_grp[1]/im6_rpt[10]/im6a","11","308"
"consented_grp[1]/im6_rpt[11]/im6","3","318"
"consented_grp[1]/im6_rpt[11]/im6a","12","320"
"consented_grp[1]/im6_rpt[12]/im6","2","327"
"consented_grp[1]/im6_rpt[12]/im6a","9","329"
"consented_grp[1]/im6_rpt[13]/im6","2","336"
"consented_grp[1]/im6_rpt[13]/im6a","27","337"
"consented_grp[1]/im6_rpt[14]/im6","5","344"
"consented_grp[1]/im6_rpt[14]/im6a","33","345"
"consented_grp[1]/im6_rpt[15]/im6","4","369"
"consented_grp[1]/im6_rpt[15]/im6a","15","371"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","24","380"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","24","380"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","24","380"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","24","380"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","24","380"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","24","380"
"consented_grp[1]/im8_im27_grp[1]/im9","25","387"
"consented_grp[1]/ca1","2","388"
"consented_grp[1]/ca14","1","389"
"consented_grp[1]/ca16","1","390"
"consented_grp[1]/ca17","3640","391"
"consented_grp[1]/gps_backup","2","392"
