"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","9"
"enum_id","12","11"
"enum_confirm_grp[1]/enum_details","1","22"
"enum_confirm_grp[1]/enum_confirm","1","22"
"community_id","8","23"
"comm_confirm_grp[1]/comm_details","1","32"
"comm_confirm_grp[1]/comm_confirm","1","32"
"hhid","15","33"
"hh_confirm_grp[1]/hh_details","2","48"
"hh_confirm_grp[1]/hh_confirm","2","48"
"Permission[1]/wm9a","50","50"
"Permission[1]/iw_consent","50","50"
"consented_grp[1]/wb3_age_sel","14","100"
"consented_grp[1]/wb4_age_est","36","111"
"consented_grp[1]/wb5","7","122"
"consented_grp[1]/wb15","107","128"
"consented_grp[1]/mt2","19","231"
"consented_grp[1]/mt3","11","249"
"consented_grp[1]/mt4","11","260"
"consented_grp[1]/mt9","13","270"
"consented_grp[1]/mt11","19","283"
"consented_grp[1]/mt12","15","302"
"consented_grp[1]/cm1","6","315"
"consented_grp[1]/cm2","38","321"
"consented_grp[1]/cm2_grp[1]/cm3","40","357"
"consented_grp[1]/cm2_grp[1]/cm4","40","357"
"consented_grp[1]/cm5","3","394"
"consented_grp[1]/cm5_grp[1]/cm6","25","397"
"consented_grp[1]/cm5_grp[1]/cm7","25","397"
"consented_grp[1]/cm8","14","420"
"consented_grp[1]/cm12","12","427"
"consented_grp[1]/bh0","2","437"
"consented_grp[1]/bh_rpt[1]/bh1","26","438"
"consented_grp[1]/bh_rpt[1]/bh2","3","463"
"consented_grp[1]/bh_rpt[1]/bh3","6","465"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","6","467"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","19","473"
"consented_grp[1]/bh_rpt[1]/bh5","9","490"
"consented_grp[1]/bh_rpt[1]/bh6","43","498"
"consented_grp[1]/bh_rpt[1]/bh7","7","535"
"consented_grp[1]/bh_rpt[1]/bh10","2","540"
"consented_grp[1]/bh_rpt[2]/bh1","23","542"
"consented_grp[1]/bh_rpt[2]/bh2","3","563"
"consented_grp[1]/bh_rpt[2]/bh3","4","566"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","568"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","25","572"
"consented_grp[1]/bh_rpt[2]/bh5","4","596"
"consented_grp[1]/bh_rpt[2]/bh6","7","599"
"consented_grp[1]/bh_rpt[2]/bh7","3","605"
"consented_grp[1]/bh_rpt[2]/bh10","14","607"
"consented_grp[1]/bh_rpt[3]/bh1","26","615"
"consented_grp[1]/bh_rpt[3]/bh2","3","639"
"consented_grp[1]/bh_rpt[3]/bh3","3","641"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","4","643"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","36","646"
"consented_grp[1]/bh_rpt[3]/bh5","8","677"
"consented_grp[1]/bh_rpt[3]/bh6","10","680"
"consented_grp[1]/bh_rpt[3]/bh7","5","682"
"consented_grp[1]/bh_rpt[3]/bh10","12","684"
"consented_grp[1]/bh_rpt[4]/bh1","21","694"
"consented_grp[1]/bh_rpt[4]/bh2","5","708"
"consented_grp[1]/bh_rpt[4]/bh3","5","710"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","3","712"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","15","713"
"consented_grp[1]/bh_rpt[4]/bh5","16","724"
"consented_grp[1]/bh_rpt[4]/bh6","13","737"
"consented_grp[1]/bh_rpt[4]/bh7","14","744"
"consented_grp[1]/bh_rpt[4]/bh8","142","756"
"consented_grp[1]/bh_rpt[4]/bh10","15","884"
"consented_grp[1]/bh_rpt[5]/bh1","26","891"
"consented_grp[1]/bh_rpt[5]/bh2","3","915"
"consented_grp[1]/bh_rpt[5]/bh3","5","916"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","3","920"
"consented_grp[1]/bh_rpt[5]/bh4_dob_my","15","922"
"consented_grp[1]/bh_rpt[5]/bh5","4","936"
"consented_grp[1]/bh_rpt[5]/bh6","5","939"
"consented_grp[1]/bh_rpt[5]/bh7","3","943"
"consented_grp[1]/bh_rpt[5]/bh8","17","945"
"consented_grp[1]/bh_rpt[5]/bh10","2","960"
"consented_grp[1]/bh_rpt[6]/bh1","20","962"
"consented_grp[1]/bh_rpt[6]/bh2","2","980"
"consented_grp[1]/bh_rpt[6]/bh3","3","981"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","11","983"
"consented_grp[1]/bh_rpt[6]/bh4_dob_my","14","993"
"consented_grp[1]/bh_rpt[6]/bh5","4","1006"
"consented_grp[1]/bh_rpt[6]/bh6","4","1009"
"consented_grp[1]/bh_rpt[6]/bh7","4","1011"
"consented_grp[1]/bh_rpt[6]/bh10","3","1014"
"consented_grp[1]/bh_rpt[7]/bh1","19","1016"
"consented_grp[1]/bh_rpt[7]/bh2","5","1033"
"consented_grp[1]/bh_rpt[7]/bh3","7","1035"
"consented_grp[1]/bh_rpt[7]/bh4_age_sel","5","1040"
"consented_grp[1]/bh_rpt[7]/bh4_dob_my","4","1042"
"consented_grp[1]/bh_rpt[7]/bh4_dob_dmy","38","1050"
"consented_grp[1]/bh_rpt[7]/bh5","8","1062"
"consented_grp[1]/bh_rpt[7]/bh6","4","1065"
"consented_grp[1]/bh_rpt[7]/bh7","7","1067"
"consented_grp[1]/bh_rpt[7]/bh8","20","1069"
"consented_grp[1]/bh_rpt[7]/bh10","4","1084"
