"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","6","9"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","42","16"
"u5_iden_grp[1]/u5_fullname","42","16"
"u5_iden_grp[1]/u5_age","42","16"
"u5_iden_grp[1]/u5_ct_id","42","16"
"u5_iden_grp[1]/u5_ct_fullname","42","16"
"gm1_a","10","57"
"gm1_b","3","68"
"gm2_rpt[1]/gm2_grp[1]/gm3","6","71"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","77"
"gm2_rpt[1]/gm2_grp[1]/gm5","8","79"
"gm2_rpt[1]/gm2_grp[1]/gm6","3","87"
"gm2_rpt[1]/gm2_grp[1]/gm7","2","90"
"gmobs1","2","92"
"gmobs2","2","94"
"an8","25","95"
"an9","3","120"
"an11_grp[1]/an11_a","6","124"
"an11_grp[1]/an11","6","124"
"an12","2","130"
"an13","4","132"
"an15","3","133"
