"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","14","5"
"enum_confirm_grp[1]/enum_details","2","19"
"enum_confirm_grp[1]/enum_confirm","2","19"
"community_id","11","20"
"comm_confirm_grp[1]/comm_details","1","32"
"comm_confirm_grp[1]/comm_confirm","1","32"
"hhid","9","33"
"hh_confirm_grp[1]/hh_details","1","42"
"hh_confirm_grp[1]/hh_confirm","1","42"
"Permission[1]/wm9a","100","43"
"Permission[1]/iw_consent","100","43"
"consented_grp[1]/wb3_age_sel","10","142"
"consented_grp[1]/wb4_age_est","3","152"
"consented_grp[1]/age_correct_info","67","155"
"consented_grp[1]/wb5","2","221"
"consented_grp[1]/wb15","13","224"
"consented_grp[1]/mt2","4","236"
"consented_grp[1]/mt3","5","241"
"consented_grp[1]/mt4","2","246"
"consented_grp[1]/mt9","2","248"
"consented_grp[1]/mt11","3","250"
"consented_grp[1]/mt12","10","253"
"consented_grp[1]/cm1","2","263"
"consented_grp[1]/cm2","10","265"
"consented_grp[1]/cm2_grp[1]/cm3","4","275"
"consented_grp[1]/cm2_grp[1]/cm4","4","275"
"consented_grp[1]/cm5","2","278"
"consented_grp[1]/cm8","2","280"
"consented_grp[1]/cm12","2","282"
"consented_grp[1]/bh0","1","284"
"consented_grp[1]/bh_rpt[1]/bh1","14","285"
"consented_grp[1]/bh_rpt[1]/bh2","1","299"
"consented_grp[1]/bh_rpt[1]/bh3","1","301"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","3","302"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","8","306"
"consented_grp[1]/bh_rpt[1]/bh5","2","313"
"consented_grp[1]/bh_rpt[1]/bh6","8","316"
"consented_grp[1]/bh_rpt[1]/bh7","2","323"
"consented_grp[1]/bh_rpt[1]/bh8","51","325"
"consented_grp[1]/bh_rpt[1]/bh10","2","376"
"consented_grp[1]/db2","6","378"
"consented_grp[1]/mn_rpt[1]/mn2","4","384"
"consented_grp[1]/mn_rpt[1]/mn4_grp[1]/mn4_a","22","389"
"consented_grp[1]/mn_rpt[1]/mn4_grp[1]/mn4_b","22","389"
"consented_grp[1]/mn_rpt[1]/mn8","5","411"
"consented_grp[1]/mn_rpt[1]/mn16","5","415"
"consented_grp[1]/mn_rpt[1]/mn19","12","419"
"consented_grp[1]/mn_rpt[1]/mn20","5","433"
"consented_grp[1]/mn_rpt[1]/mn21","2","438"
"consented_grp[1]/mn_rpt[1]/mn23","13","440"
"consented_grp[1]/mn_rpt[1]/mn33","2","453"
"consented_grp[1]/mn_rpt[1]/mn34_grp[1]/mn34_a","6","456"
"consented_grp[1]/mn_rpt[1]/mn34_grp[1]/mn34_b","6","456"
"consented_grp[1]/mn_rpt[1]/mn36","3","462"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","1","465"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","14","466"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","14","466"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","5","481"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","5","481"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","12","486"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","12","486"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","12","486"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","12","486"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","12","486"
"consented_grp[1]/cp1_grp[1]/cp1_note","50","498"
"consented_grp[1]/cp1_grp[1]/cp1","50","498"
"consented_grp[1]/cp2_grp[1]/cp2_note","4","548"
"consented_grp[1]/cp2_grp[1]/cp2","4","548"
"consented_grp[1]/ma1","6","552"
"consented_grp[1]/ma5","10","557"
"consented_grp[1]/compensation","64","569"
"consented_grp[1]/iw_resp_gift","10","633"
"consented_grp[1]/iw_resp_gift_amt","3","643"
"consented_grp[1]/gps_backup","3","646"
