"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","11","10"
"comm_confirm_grp[1]/comm_details","3","22"
"comm_confirm_grp[1]/comm_confirm","3","22"
"iw_iden_grp[1]/iw_id","46","24"
"iw_iden_grp[1]/iw_fullname","46","24"
"iw_iden_grp[1]/iw_age","46","24"
"wm8","4","66"
"wm9_grp[1]/wm9b","4","68"
"wm9_grp[1]/consent","4","68"
"consented_grp[1]/wb3_age_sel","5","70"
"consented_grp[1]/wb4_age_est","5","73"
"consented_grp[1]/wb5","3","89"
"consented_grp[1]/wb14_grp[1]/wb14_note","5","92"
"consented_grp[1]/wb14_grp[1]/wb14","5","92"
"consented_grp[1]/wb15","40","96"
"consented_grp[1]/wb16_grp[1]/wb16a","28","136"
"consented_grp[1]/wb16_grp[1]/wb16_note","28","136"
"consented_grp[1]/wb16_grp[1]/wb16b","28","136"
"consented_grp[1]/wb17a","3","164"
"consented_grp[1]/wb17b","4","167"
"consented_grp[1]/wb17c","21","172"
"consented_grp[1]/wb18","3","193"
"consented_grp[1]/mt1","3","195"
"consented_grp[1]/mt2","6","199"
"consented_grp[1]/mt3","2","205"
"consented_grp[1]/mt4","3","207"
"consented_grp[1]/mt9","4","210"
"consented_grp[1]/mt11","4","214"
"consented_grp[1]/mt12","18","218"
"consented_grp[1]/cm1","302","236"
"consented_grp[1]/cm2","4","537"
"consented_grp[1]/cm2_grp[1]/cm3","11","542"
"consented_grp[1]/cm2_grp[1]/cm4","11","542"
"consented_grp[1]/cm5","5","553"
"consented_grp[1]/cm5_grp[1]/cm6","9","557"
"consented_grp[1]/cm5_grp[1]/cm7","9","557"
"consented_grp[1]/cm8","4","566"
"consented_grp[1]/cm8_grp[1]/cm9","11","570"
"consented_grp[1]/cm8_grp[1]/cm10","11","570"
"consented_grp[1]/cm12","5","581"
"consented_grp[1]/bh0","2","586"
"consented_grp[1]/bh_rpt[1]/bh1","9","587"
"consented_grp[1]/bh_rpt[1]/bh2","2","596"
"consented_grp[1]/bh_rpt[1]/bh3","4","599"
