"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","3"
"enum_id","4","4"
"enum_confirm_grp[1]/enum_details","2","6"
"enum_confirm_grp[1]/enum_confirm","2","6"
"community_id","19","7"
"comm_confirm_grp[1]/comm_details","2","24"
"comm_confirm_grp[1]/comm_confirm","2","24"
"u5_iden_grp[1]/u5_id","57","25"
"u5_iden_grp[1]/u5_fullname","57","25"
"u5_iden_grp[1]/u5_age","57","25"
"u5_iden_grp[1]/u5_ct_id","57","25"
"u5_iden_grp[1]/u5_ct_fullname","57","25"
"uf9","3","75"
"consent_grp[1]/consent","3","77"
"consented_grp[1]/ub0","2","78"
"consented_grp[1]/ub1_age_sel","2","79"
"consented_grp[1]/ub1_dob_dmy","22","81"
"consented_grp[1]/ub5","3","94"
"consented_grp[1]/ub9","2","96"
"consented_grp[1]/br1","38","97"
"consented_grp[1]/br2","6","134"
"consented_grp[1]/ec1","4","138"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","34","141"
"consented_grp[1]/ec2_grp[1]/ec2_label","34","141"
"consented_grp[1]/ec2_grp[1]/ec2a","34","141"
"consented_grp[1]/ec2_grp[1]/ec2b","34","141"
"consented_grp[1]/ec2_grp[1]/ec2c","34","141"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","6","174"
"consented_grp[1]/ec3_grp[1]/ec3a","6","174"
"consented_grp[1]/ec3_grp[1]/ec3b","6","174"
"consented_grp[1]/ec7","3","179"
"consented_grp[1]/ec8","2","181"
"consented_grp[1]/ec9","3","182"
"consented_grp[1]/ec10","3","184"
"consented_grp[1]/ec11","4","186"
"consented_grp[1]/ec12","3","189"
"consented_grp[1]/ec13","3","190"
"consented_grp[1]/ec14","11","192"
"consented_grp[1]/ec15","5","202"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","26","205"
"consented_grp[1]/ucd2_grp[1]/ucd2a","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2b","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2c","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2d","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2e","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2f","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2g","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2h","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2i","26","205"
"consented_grp[1]/ucd2_grp[1]/ucb2j","26","205"
"consented_grp[1]/ucd3","3","231"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","15","233"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","15","233"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","15","233"
