"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","9","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","8","10"
"comm_confirm_grp[1]/comm_details","1","19"
"comm_confirm_grp[1]/comm_confirm","1","19"
"hhid_grp[1]/hhid_instruction","6","20"
"hhid_grp[1]/hhid_struct_num","6","20"
"hhid_grp[1]/hhid_hh_num","6","20"
"hhid_confirm_grp[1]/hhid_details","1","26"
"hhid_confirm_grp[1]/hhid_confirm","1","26"
"consent_grp[1]/consent_instr","455","27"
"consent_grp[1]/consent","455","27"
"consented_grp[1]/hh_note","9","482"
"consented_grp[1]/hhm_cnt","31","484"
"consented_grp[1]/rooster_note","60","515"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","33","575"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","33","575"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","33","575"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","3","609"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","8","611"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","9","619"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","24","628"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","4","644"
"consented_grp[1]/hhm_rpt[1]/ed4","8","648"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","2","656"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","1","657"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","659"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","2","661"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","4","662"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","4","662"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","32","666"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","32","666"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","32","666"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","5","698"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","703"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","29","705"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","35","733"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","4","769"
"consented_grp[1]/hhm_rpt[2]/ed4","3","772"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","10","776"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","10","776"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","272","784"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","272","784"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","272","784"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","9","1058"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","1067"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","1068"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","15","1070"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","6","1085"
"consented_grp[1]/hhm_rpt[3]/ed4","3","1090"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","3","1094"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","1097"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","1","1098"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","6","1100"
"consented_grp[1]/hhm_rpt[3]/ed9","2","1106"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","2","1108"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","10","1110"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","7","1120"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","2","1127"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","7","1128"
"consented_grp[1]/hhm_rpt[3]/ed15","4","1135"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","1","1139"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","2","1140"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","12","1142"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","12","1142"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","1154"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","1154"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","20","1154"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","8","1174"
