"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","3"
"enum_id","10","4"
"enum_confirm_grp[1]/enum_details","2","12"
"enum_confirm_grp[1]/enum_confirm","2","12"
"community_id","6","13"
"comm_confirm_grp[1]/comm_details","3","17"
"comm_confirm_grp[1]/comm_confirm","3","17"
"u5_iden_grp[1]/u5_id","41","18"
"u5_iden_grp[1]/u5_fullname","41","18"
"u5_iden_grp[1]/u5_age","41","18"
"u5_iden_grp[1]/u5_ct_id","41","18"
"u5_iden_grp[1]/u5_ct_fullname","41","18"
"uf9","2","53"
"consent_grp[1]/consent","3","54"
"consented_grp[1]/ub0","2","56"
"consented_grp[1]/ub1_age_sel","2","57"
"consented_grp[1]/ub1_dob_dmy","13","59"
"consented_grp[1]/ub5","3","71"
"consented_grp[1]/ub9","2","73"
"consented_grp[1]/br1","23","74"
"consented_grp[1]/ec1","4","96"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","23","98"
"consented_grp[1]/ec2_grp[1]/ec2_label","23","98"
"consented_grp[1]/ec2_grp[1]/ec2a","23","98"
"consented_grp[1]/ec2_grp[1]/ec2b","23","98"
"consented_grp[1]/ec2_grp[1]/ec2c","23","98"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","27","121"
"consented_grp[1]/ec3_grp[1]/ec3a","27","121"
"consented_grp[1]/ec3_grp[1]/ec3b","27","121"
"consented_grp[1]/ec7","2","147"
"consented_grp[1]/ec8","3","148"
"consented_grp[1]/ec9","8","150"
"consented_grp[1]/ec10","12","156"
"consented_grp[1]/ec11","3","167"
"consented_grp[1]/ec12","8","169"
"consented_grp[1]/ec13","5","176"
"consented_grp[1]/ec14","10","180"
"consented_grp[1]/ec15","3","188"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","42","191"
"consented_grp[1]/ucd2_grp[1]/ucd2a","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2b","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2c","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2d","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2e","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2f","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2g","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2h","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2i","42","191"
"consented_grp[1]/ucd2_grp[1]/ucb2j","42","191"
"consented_grp[1]/ucd3","11","233"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","17","243"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","17","243"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","17","243"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","17","243"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","17","243"
"consented_grp[1]/ucf_grp[1]/ucf5","2","259"
"consented_grp[1]/ucf_grp[1]/ucf7b","2","260"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","262"
"consented_grp[1]/ucf_grp[1]/ucf13","16","263"
"consented_grp[1]/ucf_grp[1]/ucf14","3","279"
"consented_grp[1]/ucf_grp[1]/ucf15","10","281"
"consented_grp[1]/ucf_grp[1]/ucf16","11","291"
"consented_grp[1]/ucf_grp[1]/ucf17","9","300"
"consented_grp[1]/ucf_grp[1]/ucf18","3","308"
"consented_grp[1]/ucf_grp[1]/ucf19","14","310"
"consented_grp[1]/bd_grp[1]/bd2","3","324"
"consented_grp[1]/bd_grp[1]/bd3","6","326"
"consented_grp[1]/bd_grp[1]/bd4","17","331"
"consented_grp[1]/bd_grp[1]/bd5","4","347"
"consented_grp[1]/bd_grp[1]/bd6","7","351"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","19","357"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","19","357"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","19","357"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","19","357"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","19","357"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","19","357"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","3","375"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","3","375"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","3","377"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","3","377"
"consented_grp[1]/bd_grp[1]/bd8","2","379"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","3","380"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","4","381"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","2","383"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","3","384"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","6","386"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","2","390"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","7","392"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","9","397"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e2","2","406"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","6","407"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f2","4","412"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","10","414"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g2","2","423"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","10","425"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","3","434"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","3","437"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","3","440"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","3","443"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","1","447"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","5","448"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m2","1","451"
