"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","6","2"
"enum_confirm_grp[1]/enum_details","3","8"
"enum_confirm_grp[1]/enum_confirm","3","8"
"community_id","34","9"
"comm_confirm_grp[1]/comm_details","3","43"
"comm_confirm_grp[1]/comm_confirm","3","43"
"u5_iden_grp[1]/u5_id","143","44"
"u5_iden_grp[1]/u5_fullname","143","44"
"u5_iden_grp[1]/u5_age","143","44"
"u5_iden_grp[1]/u5_ct_id","143","44"
"u5_iden_grp[1]/u5_ct_fullname","143","44"
"gm1_a","6","155"
"gm1_b","5","158"
"gm2_rpt[1]/gm2_grp[1]/gm3","5","160"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","162"
"gm2_rpt[1]/gm2_grp[1]/gm5","9","163"
"gm2_rpt[1]/gm2_grp[1]/gm6","18","169"
"gm2_rpt[1]/gm2_grp[1]/gm7","5","185"
"gmobs1","2","189"
"gmobs2","2","190"
"an8","166","191"
"an9","3","340"
"an11_grp[1]/an11_a","27","341"
"an11_grp[1]/an11","27","341"
"an12","4","361"
"an13","5","363"
"an15","6","367"
