"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","5"
"enum_id","9","7"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","8","17"
"comm_confirm_grp[1]/comm_details","1","25"
"comm_confirm_grp[1]/comm_confirm","1","25"
"u5_iden_grp[1]/u5_id","85","26"
"u5_iden_grp[1]/u5_fullname","85","26"
"u5_iden_grp[1]/u5_age","85","26"
"u5_iden_grp[1]/u5_ct_id","85","26"
"u5_iden_grp[1]/u5_ct_fullname","85","26"
"uf9","3","111"
"consent_grp[1]/consent","8","114"
"consented_grp[1]/ub0","10","123"
"consented_grp[1]/ub1_age_sel","5","133"
"consented_grp[1]/ub1_dob_dmy","15","138"
"consented_grp[1]/ub5","3","153"
"consented_grp[1]/ub9","3","156"
"consented_grp[1]/br1","5","159"
"consented_grp[1]/br2","3","164"
"consented_grp[1]/br3","13","167"
"consented_grp[1]/ec1","11","180"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","42","190"
"consented_grp[1]/ec2_grp[1]/ec2_label","42","190"
"consented_grp[1]/ec2_grp[1]/ec2a","42","190"
"consented_grp[1]/ec2_grp[1]/ec2b","42","190"
"consented_grp[1]/ec2_grp[1]/ec2c","42","190"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","22","232"
"consented_grp[1]/ec3_grp[1]/ec3a","22","232"
"consented_grp[1]/ec3_grp[1]/ec3b","22","232"
"consented_grp[1]/ec7","3","254"
"consented_grp[1]/ec8","2","257"
"consented_grp[1]/ec9","14","259"
"consented_grp[1]/ec10","46","273"
"consented_grp[1]/ec11","10","319"
"consented_grp[1]/ec12","6","329"
"consented_grp[1]/ec13","20","336"
"consented_grp[1]/ec14","6","356"
"consented_grp[1]/ec15","18","362"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","178","380"
"consented_grp[1]/ucd2_grp[1]/ucd2a","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2b","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2c","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2d","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2e","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2f","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2g","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2h","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2i","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2j","178","380"
"consented_grp[1]/ucd2_grp[1]/ucb2k","178","380"
"consented_grp[1]/ucd3","17","558"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","33","575"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","33","575"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","33","575"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","33","575"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","33","575"
"consented_grp[1]/ucf_grp[1]/ucf5","35","609"
"consented_grp[1]/ucf_grp[1]/ucf7a","12","643"
"consented_grp[1]/ucf_grp[1]/ucf9b","16","655"
"consented_grp[1]/ucf_grp[1]/ucf13","4","671"
"consented_grp[1]/ucf_grp[1]/ucf14","8","674"
"consented_grp[1]/ucf_grp[1]/ucf15","11","682"
"consented_grp[1]/ucf_grp[1]/ucf16","16","693"
"consented_grp[1]/ucf_grp[1]/ucf17","78","710"
"consented_grp[1]/ucf_grp[1]/ucf18","18","788"
"consented_grp[1]/ucf_grp[1]/ucf19","66","806"
"consented_grp[1]/bd_grp[1]/bd2","3","872"
"consented_grp[1]/bd_grp[1]/bd3","3","874"
"consented_grp[1]/bd_grp[1]/bd4","10","878"
"consented_grp[1]/bd_grp[1]/bd5","7","886"
"consented_grp[1]/bd_grp[1]/bd6","12","894"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","29","906"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","29","906"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","29","906"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","29","906"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","29","906"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","29","906"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","7","935"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","7","935"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","34","942"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","34","942"
"consented_grp[1]/bd_grp[1]/bd8","107","976"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","8","1083"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","8","1091"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","1098"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","3","1100"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","8","1102"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","6","1110"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","3","1116"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","7","1118"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","9","1126"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","6","1134"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","9","1140"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","6","1150"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","4","1156"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","2","1159"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","3","1162"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","3","1164"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","4","1168"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m2","2","1172"
