"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","7","5"
"enum_confirm_grp[1]/enum_details","2","12"
"enum_confirm_grp[1]/enum_confirm","2","12"
"community_id","7","14"
"comm_confirm_grp[1]/comm_details","2","20"
"comm_confirm_grp[1]/comm_confirm","2","20"
"u5_iden_grp[1]/u5_id","122","22"
"u5_iden_grp[1]/u5_fullname","122","22"
"u5_iden_grp[1]/u5_age","122","22"
"u5_iden_grp[1]/u5_ct_id","122","22"
"u5_iden_grp[1]/u5_ct_fullname","122","22"
"gm1_a","2","143"
"gmobs1","3","145"
"gmobs2","3","149"
"an8","69","152"
"an9","3","221"
"an11_grp[1]/an11_a","13","224"
"an11_grp[1]/an11","13","224"
"an12","2","236"
"an13","6","239"
"an15","1","245"
