"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","8","8"
"comm_confirm_grp[1]/comm_details","3","16"
"comm_confirm_grp[1]/comm_confirm","3","16"
"iw_iden_grp[1]/iw_id","67","19"
"iw_iden_grp[1]/iw_fullname","67","19"
"iw_iden_grp[1]/iw_age","67","19"
"wm8","2","86"
"wm9_grp[1]/wm9b","2","88"
"wm9_grp[1]/consent","2","88"
"consented_grp[1]/wb3_age_sel","4","91"
"consented_grp[1]/wb3_dob_dmy","27","95"
"consented_grp[1]/wb5","3","122"
"consented_grp[1]/wb5_grp[1]/wb6","3","125"
"consented_grp[1]/wb5_grp[1]/wb6a","4","128"
"consented_grp[1]/wb5_grp[1]/wb6b","2","132"
"consented_grp[1]/wb5_grp[1]/wb7","4","134"
"consented_grp[1]/wb5_grp[1]/wb10a","8","138"
"consented_grp[1]/wb5_grp[1]/wb10b","6","145"
"consented_grp[1]/wb5_grp[1]/wb12a","13","147"
"consented_grp[1]/wb5_grp[1]/wb12b","1","164"
"consented_grp[1]/wb15","29","165"
"consented_grp[1]/wb16_grp[1]/wb16a","27","195"
"consented_grp[1]/wb16_grp[1]/wb16_note","27","195"
"consented_grp[1]/wb16_grp[1]/wb16b","27","195"
"consented_grp[1]/wb17a","5","222"
"consented_grp[1]/wb17b","16","227"
"consented_grp[1]/wb18","5","243"
"consented_grp[1]/mt1","10","249"
"consented_grp[1]/mt2","7","259"
"consented_grp[1]/mt3","3","266"
"consented_grp[1]/mt4","4","268"
"consented_grp[1]/mt9","3","273"
"consented_grp[1]/mt11","5","275"
"consented_grp[1]/mt12","18","281"
"consented_grp[1]/cm1","254","299"
"consented_grp[1]/cm2","14","335"
"consented_grp[1]/cm2_grp[1]/cm3","10","566"
"consented_grp[1]/cm2_grp[1]/cm4","10","566"
"consented_grp[1]/cm5","6","576"
"consented_grp[1]/cm5_grp[1]/cm6","12","583"
"consented_grp[1]/cm5_grp[1]/cm7","12","583"
"consented_grp[1]/cm8","7","594"
"consented_grp[1]/cm12","5","601"
"consented_grp[1]/bh0","1","606"
"consented_grp[1]/bh_rpt[1]/bh1","41","607"
"consented_grp[1]/bh_rpt[1]/bh2","11","648"
"consented_grp[1]/bh_rpt[1]/bh3","4","659"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","7","663"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","15","669"
"consented_grp[1]/bh_rpt[1]/bh5","7","680"
"consented_grp[1]/bh_rpt[1]/bh6","9","684"
"consented_grp[1]/bh_rpt[1]/bh7","6","690"
"consented_grp[1]/bh_rpt[1]/bh10","6","694"
"consented_grp[1]/bh_rpt[2]/bh1","20","697"
"consented_grp[1]/bh_rpt[2]/bh2","6","710"
"consented_grp[1]/bh_rpt[2]/bh3","5","712"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","6","714"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","15","715"
"consented_grp[1]/bh_rpt[2]/bh5","6","751"
"consented_grp[1]/bh_rpt[2]/bh6","8","755"
"consented_grp[1]/bh_rpt[2]/bh7","5","778"
"consented_grp[1]/bh_rpt[2]/bh10","2","783"
"consented_grp[1]/bh_rpt[3]/bh1","15","785"
"consented_grp[1]/bh_rpt[3]/bh2","2","800"
"consented_grp[1]/bh_rpt[3]/bh3","2","802"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","804"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","20","806"
"consented_grp[1]/bh_rpt[3]/bh5","4","826"
"consented_grp[1]/bh_rpt[3]/bh6","3","831"
"consented_grp[1]/bh_rpt[3]/bh7","3","833"
"consented_grp[1]/bh_rpt[3]/bh8","10","836"
"consented_grp[1]/bh_rpt[3]/bh10","11","846"
"consented_grp[1]/db2","11","852"
"consented_grp[1]/db4_b","16","867"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","15","883"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","30","898"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","12","928"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","12","928"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","35","940"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","12","975"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","12","975"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","12","975"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","12","975"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","12","975"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","13","987"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","9","999"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","4","1008"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn11","10","1012"
