"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","17","2"
"enum_confirm_grp[1]/enum_details","1","19"
"enum_confirm_grp[1]/enum_confirm","1","19"
"community_id","16","21"
"comm_confirm_grp[1]/comm_details","1","37"
"comm_confirm_grp[1]/comm_confirm","1","37"
"u5_iden_grp[1]/u5_id","462","38"
"u5_iden_grp[1]/u5_fullname","462","38"
"u5_iden_grp[1]/u5_age","462","38"
"u5_iden_grp[1]/u5_ct_id","462","38"
"u5_iden_grp[1]/u5_ct_fullname","462","38"
"uf9","2","144"
"consent_grp[1]/consent","1","146"
"consented_grp[1]/ub0","15","147"
"consented_grp[1]/ub1_age_sel","4","148"
"consented_grp[1]/ub1_dob_dmy","19","166"
"consented_grp[1]/ub5","8","185"
"consented_grp[1]/ub6","2","193"
"consented_grp[1]/ub9","23","195"
"consented_grp[1]/br1","8","218"
"consented_grp[1]/br2","1","226"
"consented_grp[1]/br3","8","228"
"consented_grp[1]/ec1","15","236"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","61","247"
"consented_grp[1]/ec2_grp[1]/ec2_label","61","247"
"consented_grp[1]/ec2_grp[1]/ec2a","61","247"
"consented_grp[1]/ec2_grp[1]/ec2b","61","247"
"consented_grp[1]/ec2_grp[1]/ec2c","61","247"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","45","306"
"consented_grp[1]/ec3_grp[1]/ec3a","45","306"
"consented_grp[1]/ec3_grp[1]/ec3b","45","306"
"consented_grp[1]/ec5_grp[1]/ec5","131","350"
"consented_grp[1]/ec5_grp[1]/ec5_label","131","350"
"consented_grp[1]/ec5_grp[1]/ec5a","131","350"
"consented_grp[1]/ec5_grp[1]/ec5b","131","350"
"consented_grp[1]/ec5_grp[1]/ec5c","131","350"
"consented_grp[1]/ec5_grp[1]/ec5d","131","350"
"consented_grp[1]/ec5_grp[1]/ec5e","131","350"
"consented_grp[1]/ec5_grp[1]/ec5f","131","350"
"consented_grp[1]/ec6_grp[1]/ec6_note","91","471"
"consented_grp[1]/ec6_grp[1]/ec6","91","471"
"consented_grp[1]/ec7","12","557"
"consented_grp[1]/ec8","8","562"
"consented_grp[1]/ec9","6","573"
"consented_grp[1]/ec10","8","577"
"consented_grp[1]/ec11","19","586"
"consented_grp[1]/ec12","38","598"
"consented_grp[1]/ec13","5","641"
"consented_grp[1]/ec14","4","644"
"consented_grp[1]/ec15","54","648"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","210","698"
"consented_grp[1]/ucd2_grp[1]/ucd2a","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2b","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2c","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2d","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2e","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2f","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2g","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2h","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2i","210","698"
"consented_grp[1]/ucd2_grp[1]/ucb2j","210","698"
"consented_grp[1]/ucd3","29","841"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","33","866"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","33","866"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","33","866"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","33","866"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","33","866"
"consented_grp[1]/ucf_grp[1]/ucf5","14","894"
"consented_grp[1]/ucf_grp[1]/ucf7b","6","908"
"consented_grp[1]/ucf_grp[1]/ucf9b","3","914"
"consented_grp[1]/ucf_grp[1]/ucf13","6","917"
"consented_grp[1]/ucf_grp[1]/ucf14","17","923"
"consented_grp[1]/ucf_grp[1]/ucf15","12","940"
"consented_grp[1]/ucf_grp[1]/ucf16","3","952"
"consented_grp[1]/ucf_grp[1]/ucf17","26","955"
"consented_grp[1]/ucf_grp[1]/ucf18","7","981"
"consented_grp[1]/ucf_grp[1]/ucf19","68","987"
"consented_grp[1]/im2","15","1056"
"consented_grp[1]/im3","18","1070"
"consented_grp[1]/ca1","36","1083"
"consented_grp[1]/ca14","5","1124"
"consented_grp[1]/ca16","7","1129"
"consented_grp[1]/ca17","4","1136"
"consented_grp[1]/gps_backup","17","1140"
"comments","653","1157"
