"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","3"
"enum_id","9","6"
"enum_confirm_grp[1]/enum_details","6","15"
"enum_confirm_grp[1]/enum_confirm","6","15"
"community_id","37","21"
"comm_confirm_grp[1]/comm_details","5","58"
"comm_confirm_grp[1]/comm_confirm","5","58"
"hhid_grp[1]/hhid_instruction","36","63"
"hhid_grp[1]/hhid_struct_num","36","63"
"hhid_grp[1]/hhid_hh_num","36","63"
"hhid_confirm_grp[1]/hhid_details","17","99"
"hhid_confirm_grp[1]/hhid_confirm","17","99"
"consent_grp[1]/consent_instr","239","117"
"consent_grp[1]/consent","239","117"
"consented_grp[1]/hh_note","15","355"
"consented_grp[1]/hhm_cnt","6","370"
"consented_grp[1]/rooster_note","36","376"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","86","412"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","86","412"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","86","412"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","498"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","501"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","21","503"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_y","49","524"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","14","572"
"consented_grp[1]/hhm_rpt[1]/ed4","15","586"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","5","601"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","5","601"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","38","606"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","38","606"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","38","606"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","644"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","648"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","8","651"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","57","659"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","5","716"
"consented_grp[1]/hhm_rpt[2]/ed4","13","721"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","734"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","734"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","38","739"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","38","739"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","38","739"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","16","777"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","8","793"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","4","801"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","33","805"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","4","838"
"consented_grp[1]/hhm_rpt[3]/ed4","10","842"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","18","852"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","3","871"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","3","874"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","41","877"
"consented_grp[1]/hhm_rpt[3]/ed9","23","918"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","20","941"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","24","956"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","49","985"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","16","1033"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","22","1050"
"consented_grp[1]/hhm_rpt[3]/ed15","86","1072"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","6","1158"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","6","1158"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","1165"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","1165"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","1165"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","5","1189"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","3","1194"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","10","1197"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","49","1206"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","4","1255"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","34","1259"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","34","1259"
"consented_grp[1]/hhm_ch_intro","23","1293"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","9","1316"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","8","1325"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","5","1333"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","13","1339"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","8","1351"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl19","32","1359"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","7","1391"
