"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","8","4"
"enum_confirm_grp[1]/enum_details","5","13"
"enum_confirm_grp[1]/enum_confirm","5","13"
"community_id","11","17"
"comm_confirm_grp[1]/comm_details","1","29"
"comm_confirm_grp[1]/comm_confirm","1","29"
"iw_iden_grp[1]/iw_id","74","30"
"iw_iden_grp[1]/iw_fullname","74","30"
"iw_iden_grp[1]/iw_age","74","30"
"wm8","2","104"
"wm9_grp[1]/wm9a","4","106"
"wm9_grp[1]/consent","4","106"
"consented_grp[1]/wb3_age_sel","14","110"
"consented_grp[1]/wb3_dob_dmy","69","119"
"consented_grp[1]/wb5","4","171"
"consented_grp[1]/wb14_grp[1]/wb14_note","23","173"
"consented_grp[1]/wb14_grp[1]/wb14","23","173"
"consented_grp[1]/wb15","24","180"
"consented_grp[1]/wb16_grp[1]/wb16a","28","204"
"consented_grp[1]/wb16_grp[1]/wb16_note","28","204"
"consented_grp[1]/wb16_grp[1]/wb16b","28","204"
"consented_grp[1]/wb17a","13","231"
"consented_grp[1]/wb17b","3","242"
"consented_grp[1]/wb18","4","244"
"consented_grp[1]/mt1","4","247"
"consented_grp[1]/mt2","26","250"
"consented_grp[1]/mt3","15","275"
"consented_grp[1]/mt4","3","289"
"consented_grp[1]/mt9","3","291"
"consented_grp[1]/mt11","7","293"
"consented_grp[1]/mt12","34","298"
"consented_grp[1]/cm1","4","331"
"consented_grp[1]/cm2","34","334"
"consented_grp[1]/cm2_grp[1]/cm3","17","367"
"consented_grp[1]/cm2_grp[1]/cm4","17","367"
"consented_grp[1]/cm5","6","383"
"consented_grp[1]/cm5_grp[1]/cm6","8","388"
"consented_grp[1]/cm5_grp[1]/cm7","8","388"
"consented_grp[1]/cm8","6","395"
"consented_grp[1]/cm8_grp[1]/cm9","57","400"
"consented_grp[1]/cm8_grp[1]/cm10","57","400"
"consented_grp[1]/cm12","75","428"
"consented_grp[1]/bh0","4","514"
"consented_grp[1]/bh_rpt[1]/bh1","40","515"
"consented_grp[1]/bh_rpt[1]/bh2","10","544"
"consented_grp[1]/bh_rpt[1]/bh3","7","555"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","9","557"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","111","565"
"consented_grp[1]/bh_rpt[1]/bh5","7","673"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","22","675"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","22","675"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","22","675"
"consented_grp[1]/bh_rpt[1]/bh10","5","690"
"consented_grp[1]/bh_rpt[2]/bh1","13","693"
"consented_grp[1]/bh_rpt[2]/bh2","8","702"
"consented_grp[1]/bh_rpt[2]/bh3","6","707"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","710"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","34","712"
"consented_grp[1]/bh_rpt[2]/bh5","6","743"
"consented_grp[1]/bh_rpt[2]/bh6","10","746"
"consented_grp[1]/bh_rpt[2]/bh7","5","750"
"consented_grp[1]/bh_rpt[2]/bh10","7","752"
"consented_grp[1]/bh_rpt[3]/bh1","57","754"
"consented_grp[1]/bh_rpt[3]/bh2","3","870"
"consented_grp[1]/bh_rpt[3]/bh3","3","871"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","874"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","42","875"
"consented_grp[1]/bh_rpt[3]/bh5","3","916"
"consented_grp[1]/bh_rpt[3]/bh6","5","918"
"consented_grp[1]/bh_rpt[3]/bh7","6","922"
"consented_grp[1]/bh_rpt[3]/bh10","3","927"
"consented_grp[1]/bh_rpt[4]/bh1","31","928"
"consented_grp[1]/bh_rpt[4]/bh2","7","958"
"consented_grp[1]/bh_rpt[4]/bh3","10","965"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","3","973"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","19","975"
"consented_grp[1]/bh_rpt[4]/bh5","7","994"
"consented_grp[1]/bh_rpt[4]/bh6","6","1000"
"consented_grp[1]/bh_rpt[4]/bh7","4","1005"
"consented_grp[1]/bh_rpt[4]/bh8","26","1007"
"consented_grp[1]/bh_rpt[4]/bh10","3","1032"
"consented_grp[1]/bh_rpt[5]/bh1","14","1034"
"consented_grp[1]/bh_rpt[5]/bh2","3","1047"
"consented_grp[1]/bh_rpt[5]/bh3","3","1050"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","3","1052"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","26","1053"
"consented_grp[1]/bh_rpt[5]/bh5","3","1078"
"consented_grp[1]/bh_rpt[5]/bh6","7","1080"
"consented_grp[1]/bh_rpt[5]/bh7","3","1087"
"consented_grp[1]/bh_rpt[5]/bh8","11","1089"
"consented_grp[1]/bh_rpt[5]/bh10","3","1099"
"consented_grp[1]/bh_rpt[6]/bh1","13","1100"
"consented_grp[1]/bh_rpt[6]/bh2","3","1111"
"consented_grp[1]/bh_rpt[6]/bh3","3","1112"
"consented_grp[1]/bh_rpt[6]/bh4_age_sel","3","1114"
"consented_grp[1]/bh_rpt[6]/bh4_dob_dmy","22","1116"
"consented_grp[1]/bh_rpt[6]/bh5","3","1137"
"consented_grp[1]/bh_rpt[6]/bh6","5","1139"
"consented_grp[1]/bh_rpt[6]/bh7","3","1144"
"consented_grp[1]/bh_rpt[6]/bh8","11","1146"
"consented_grp[1]/bh_rpt[6]/bh10","5","1154"
"consented_grp[1]/bh_rpt[7]/bh1","23","1156"
"consented_grp[1]/bh_rpt[7]/bh2","6","1175"
"consented_grp[1]/bh_rpt[7]/bh3","5","1176"
"consented_grp[1]/bh_rpt[7]/bh4_age_sel","4","1179"
"consented_grp[1]/bh_rpt[7]/bh4_dob_dmy","31","1181"
"consented_grp[1]/bh_rpt[7]/bh5","5","1209"
"consented_grp[1]/bh_rpt[7]/bh6","11","1211"
"consented_grp[1]/bh_rpt[7]/bh7","5","1218"
"consented_grp[1]/bh_rpt[7]/bh8","49","1220"
"consented_grp[1]/bh_rpt[7]/bh10","5","1247"
"consented_grp[1]/cp1_grp[1]/cp1_note","6","1294"
"consented_grp[1]/cp1_grp[1]/cp1","6","1294"
"consented_grp[1]/cp2_grp[1]/cp2_note","8","1298"
"consented_grp[1]/cp2_grp[1]/cp2","8","1298"
"consented_grp[1]/cp4","4","1304"
"consented_grp[1]/un7","8","1308"
"consented_grp[1]/ma1","10","1314"
"consented_grp[1]/ma2","8","1323"
"consented_grp[1]/ma3","12","1329"
"consented_grp[1]/ma7","12","1340"
"consented_grp[1]/ma8b","91","1351"
"consented_grp[1]/ma11b","79","1440"
"consented_grp[1]/af_grp[1]/af2","7","1517"
"consented_grp[1]/af_grp[1]/af3","28","1520"
"consented_grp[1]/af_grp[1]/af4","5","1522"
"consented_grp[1]/af_grp[1]/af6b","14","1524"
"consented_grp[1]/af_grp[1]/af8b","7","1536"
"consented_grp[1]/af_grp[1]/af9","5","1540"
"consented_grp[1]/af_grp[1]/af10","4","1554"
"consented_grp[1]/af_grp[1]/af11","2","1557"
"consented_grp[1]/af_grp[1]/af12","3","1559"
"consented_grp[1]/ls1_grp[1]/ls_note","13","1561"
"consented_grp[1]/ls1_grp[1]/ls1","13","1561"
"consented_grp[1]/ls2_grp[1]/ls2_note","5","1573"
"consented_grp[1]/ls2_grp[1]/ls2","5","1573"
"consented_grp[1]/ls3","27","1576"
"consented_grp[1]/ls4","3","1602"
"consented_grp[1]/survey_language","3","1604"
"consented_grp[1]/survey_accomp","18","1606"
"consented_grp[1]/comment","15","1612"
"consented_grp[1]/age_correct_info","26","8840"
