"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","12","9"
"comm_confirm_grp[1]/comm_details","2","22"
"comm_confirm_grp[1]/comm_confirm","2","22"
"u5_iden_grp[1]/u5_id","66","23"
"u5_iden_grp[1]/u5_fullname","66","23"
"u5_iden_grp[1]/u5_age","66","23"
"u5_iden_grp[1]/u5_ct_id","66","23"
"u5_iden_grp[1]/u5_ct_fullname","66","23"
"uf9","2","89"
"consent_grp[1]/consent","2","91"
"consented_grp[1]/ub0","1","93"
"consented_grp[1]/ub1_age_sel","3","94"
"consented_grp[1]/ub1_dob_dmy","21","97"
"consented_grp[1]/ub5","2","117"
"consented_grp[1]/ub6","2","119"
"consented_grp[1]/ub9","2","121"
"consented_grp[1]/br1","2","123"
"consented_grp[1]/br2","2","125"
"consented_grp[1]/br3","1","127"
"consented_grp[1]/ec1","2","129"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","6","131"
"consented_grp[1]/ec2_grp[1]/ec2_label","6","131"
"consented_grp[1]/ec2_grp[1]/ec2a","6","131"
"consented_grp[1]/ec2_grp[1]/ec2b","6","131"
"consented_grp[1]/ec2_grp[1]/ec2c","6","131"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","15","137"
"consented_grp[1]/ec3_grp[1]/ec3a","15","137"
"consented_grp[1]/ec3_grp[1]/ec3b","15","137"
"consented_grp[1]/ec5_grp[1]/ec5","13","152"
"consented_grp[1]/ec5_grp[1]/ec5_label","13","152"
"consented_grp[1]/ec5_grp[1]/ec5a","13","152"
"consented_grp[1]/ec5_grp[1]/ec5b","13","152"
"consented_grp[1]/ec5_grp[1]/ec5c","13","152"
"consented_grp[1]/ec5_grp[1]/ec5d","13","152"
"consented_grp[1]/ec5_grp[1]/ec5e","13","152"
"consented_grp[1]/ec5_grp[1]/ec5f","13","152"
"consented_grp[1]/ec6_grp[1]/ec6_note","4","165"
"consented_grp[1]/ec6_grp[1]/ec6","4","165"
"consented_grp[1]/ec7","2","168"
"consented_grp[1]/ec8","3","170"
"consented_grp[1]/ec9","3","184"
