"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","11","2"
"enum_confirm_grp[1]/enum_details","6","13"
"enum_confirm_grp[1]/enum_confirm","6","13"
"community_id","6","20"
"comm_confirm_grp[1]/comm_details","10","26"
"comm_confirm_grp[1]/comm_confirm","10","26"
"hhid_grp[1]/hhid_instruction","5","36"
"hhid_grp[1]/hhid_struct_num","5","36"
"hhid_grp[1]/hhid_hh_num","5","36"
"hhid_confirm_grp[1]/hhid_details","3","41"
"hhid_confirm_grp[1]/hhid_confirm","3","41"
"consent_grp[1]/consent_instr","143","42"
"consent_grp[1]/consent","143","42"
"consented_grp[1]/hh_note","3","194"
"consented_grp[1]/hhm_cnt","3","195"
"consented_grp[1]/rooster_note","3","197"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","199"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","199"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","20","199"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","219"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","6","221"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","5","227"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","21","231"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","7","252"
"consented_grp[1]/hhm_rpt[1]/ed4","7","255"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","3","262"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","3","262"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","263"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","263"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","263"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","280"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","7","283"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","291"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","26","292"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","83","309"
"consented_grp[1]/hhm_rpt[2]/ed4","8","390"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","13","404"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","13","404"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","35","406"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","35","406"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","35","406"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","3","436"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","3","438"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","440"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","11","441"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","3","451"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","12","453"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","12","453"
"consented_grp[1]/hhm_ch_intro","2","511"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","1","513"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","514"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","1","516"
