"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","9","11"
"comm_confirm_grp[1]/comm_details","1","20"
"comm_confirm_grp[1]/comm_confirm","1","20"
"u5_iden_grp[1]/u5_id","102","21"
"u5_iden_grp[1]/u5_fullname","102","21"
"u5_iden_grp[1]/u5_age","102","21"
"u5_iden_grp[1]/u5_ct_id","102","21"
"u5_iden_grp[1]/u5_ct_fullname","102","21"
"gm1_a","11","123"
"gm1_b","3","134"
"gm2_rpt[1]/gm2_grp[1]/gm3","2","137"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","139"
"gm2_rpt[1]/gm2_grp[1]/gm5","7","141"
"gm2_rpt[1]/gm2_grp[1]/gm6","4","148"
"gm2_rpt[1]/gm2_grp[1]/gm7","5","153"
"gmobs1","7","157"
"gmobs2","1","164"
"an8","15","166"
"an9","5","176"
"an11_grp[1]/an11_b","17","178"
"an11_grp[1]/an11","17","178"
"an12","5","191"
"an13","8","195"
"an15","4","203"
