"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","9","4"
"enum_confirm_grp[1]/enum_details","1","13"
"enum_confirm_grp[1]/enum_confirm","1","13"
"community_id","49","14"
"comm_confirm_grp[1]/comm_details","5","62"
"comm_confirm_grp[1]/comm_confirm","5","62"
"hhid_grp[1]/hhid_instruction","8","69"
"hhid_grp[1]/hhid_struct_num","8","69"
"hhid_grp[1]/hhid_hh_num","8","69"
"hhid_confirm_grp[1]/hhid_details","4","77"
"hhid_confirm_grp[1]/hhid_confirm","4","77"
"consent_grp[1]/consent_instr","4","81"
"consent_grp[1]/consent","4","81"
"consented_grp[1]/hh_note","2","86"
"consented_grp[1]/hhm_cnt","3","87"
"consented_grp[1]/rooster_note","2","91"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","124","93"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","124","93"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","124","93"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","217"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","218"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","7","220"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","4","225"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","10","227"
"consented_grp[1]/hhm_rpt[1]/ed4","11","234"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","6","242"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","5","243"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","4","245"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","5","247"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","23","248"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","23","248"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","36","252"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","36","252"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","36","252"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","284"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","6","287"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","289"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","23","291"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","3","312"
"consented_grp[1]/hhm_rpt[2]/ed4","6","314"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","5","318"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","5","321"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","4","325"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","4","328"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","19","330"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","19","330"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","349"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","25","349"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","25","349"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","3","373"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","3","375"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","3","377"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","16","379"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","2","395"
"consented_grp[1]/hhm_rpt[3]/ed4","3","397"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","3","400"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","401"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","4","403"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","4","405"
"consented_grp[1]/hhm_rpt[3]/ed9","5","409"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","2","412"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","3","414"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","3","416"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","4","419"
"consented_grp[1]/hhm_rpt[3]/ed15","7","422"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","11","427"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","11","427"
"consented_grp[1]/hhm_ch_intro","6","439"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","4","441"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","1","448"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","3","450"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","1","451"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","2","452"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","1","454"
"consented_grp[1]/u5_rpt[1]/u5_note","15","455"
"consented_grp[1]/hc_grp[1]/hc1a","40","467"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","23","539"
"consented_grp[1]/hc_grp[1]/hc1b","2","614"
"consented_grp[1]/hc_grp[1]/hc2","2","616"
"consented_grp[1]/hc_grp[1]/hc3","9","618"
"consented_grp[1]/hc_grp[1]/hc4","50","623"
"consented_grp[1]/hc_grp[1]/hc5","5","677"
"consented_grp[1]/hc_grp[1]/hc6","7","682"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","55","690"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","55","690"
