"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","7","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","8","9"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","33","18"
"u5_iden_grp[1]/u5_fullname","33","18"
"u5_iden_grp[1]/u5_age","33","18"
"u5_iden_grp[1]/u5_ct_id","33","18"
"u5_iden_grp[1]/u5_ct_fullname","33","18"
"uf9","1","51"
"consent_grp[1]/consent","1","53"
"consented_grp[1]/ub0","1","54"
"consented_grp[1]/ub1_age_sel","5","55"
"consented_grp[1]/ub1_dob_dmy","9","59"
"consented_grp[1]/ub5","2","69"
"consented_grp[1]/ub9","2","71"
"consented_grp[1]/br1","2","73"
"consented_grp[1]/ec1","2","75"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","20","77"
"consented_grp[1]/ec2_grp[1]/ec2_label","20","77"
"consented_grp[1]/ec2_grp[1]/ec2a","20","77"
"consented_grp[1]/ec2_grp[1]/ec2b","20","77"
"consented_grp[1]/ec2_grp[1]/ec2c","20","77"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","18","97"
"consented_grp[1]/ec3_grp[1]/ec3a","18","97"
"consented_grp[1]/ec3_grp[1]/ec3b","18","97"
"consented_grp[1]/ec7","2","114"
"consented_grp[1]/ec8","1","116"
"consented_grp[1]/ec9","7","117"
"consented_grp[1]/ec10","5","125"
"consented_grp[1]/ec11","2","130"
"consented_grp[1]/ec12","2","132"
"consented_grp[1]/ec13","2","134"
"consented_grp[1]/ec14","6","136"
"consented_grp[1]/ec15","3","142"
"consented_grp[1]/bd_grp[1]/bd2","2","145"
"consented_grp[1]/bd_grp[1]/bd3","1","147"
"consented_grp[1]/bd_grp[1]/bd4","13","148"
"consented_grp[1]/bd_grp[1]/bd5","3","161"
"consented_grp[1]/bd_grp[1]/bd6","5","165"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","42","170"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","42","170"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","42","170"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","42","170"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","42","170"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","42","170"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","11","209"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","11","209"
"consented_grp[1]/bd_grp[1]/bd7e1","8","223"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","3","231"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","3","231"
"consented_grp[1]/bd_grp[1]/bd8","1","234"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","235"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","6","236"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","2","238"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","6","244"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","4","249"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","9","253"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","3","262"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","1","265"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","1","266"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","2","268"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","2","269"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","3","271"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","2","274"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","6","276"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","2","282"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","2","284"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","2","286"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","1","288"
"consented_grp[1]/im2","4","289"
"consented_grp[1]/im5","2","293"
"consented_grp[1]/im6_note","1","295"
"consented_grp[1]/im6_rpt[1]/im6","1","296"
"consented_grp[1]/im6_rpt[1]/im6a","10","298"
"consented_grp[1]/im6_rpt[2]/im6","5","305"
"consented_grp[1]/im6_rpt[2]/im6a","7","309"
"consented_grp[1]/im6_rpt[3]/im6","3","320"
"consented_grp[1]/im6_rpt[3]/im6a","10","322"
"consented_grp[1]/im6_rpt[4]/im6","1","332"
"consented_grp[1]/im6_rpt[4]/im6a","6","333"
"consented_grp[1]/im6_rpt[5]/im6","3","340"
"consented_grp[1]/im6_rpt[5]/im6a","6","342"
"consented_grp[1]/im6_rpt[6]/im6","1","349"
"consented_grp[1]/im6_rpt[6]/im6a","8","350"
"consented_grp[1]/im6_rpt[7]/im6","5","358"
"consented_grp[1]/im6_rpt[8]/im6","4","361"
"consented_grp[1]/im6_rpt[7]/im6a","12","364"
"consented_grp[1]/im6_rpt[8]/im6a","7","379"
"consented_grp[1]/im6_rpt[9]/im6","3","387"
"consented_grp[1]/im6_rpt[9]/im6a","8","389"
"consented_grp[1]/im6_rpt[10]/im6","3","396"
"consented_grp[1]/im6_rpt[10]/im6a","7","398"
"consented_grp[1]/im6_rpt[11]/im6","3","407"
"consented_grp[1]/im6_rpt[11]/im6a","8","410"
"consented_grp[1]/im6_rpt[12]/im6","2","418"
"consented_grp[1]/im6_rpt[12]/im6a","7","419"
"consented_grp[1]/im6_rpt[13]/im6","2","426"
"consented_grp[1]/im6_rpt[13]/im6a","7","428"
"consented_grp[1]/im6_rpt[14]/im6","4","434"
"consented_grp[1]/im6_rpt[15]/im6","2","438"
"consented_grp[1]/ca1","20","440"
"consented_grp[1]/ca14","9","460"
"consented_grp[1]/ca16","17","467"
"consented_grp[1]/ca15","10","478"
"consented_grp[1]/ca17","10","495"
"consented_grp[1]/ca20","6","506"
"consented_grp[1]/ca21","5","511"
"consented_grp[1]/ca22","6","516"
"consented_grp[1]/ca31","12","522"
"consented_grp[1]/gps_backup","54","535"
"comments","5","588"
