"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","11","3"
"enum_confirm_grp[1]/enum_details","2","14"
"enum_confirm_grp[1]/enum_confirm","2","14"
"community_id","16","15"
"comm_confirm_grp[1]/comm_details","3","31"
"comm_confirm_grp[1]/comm_confirm","3","31"
"iw_iden_grp[1]/iw_id","104","35"
"iw_iden_grp[1]/iw_fullname","104","35"
"iw_iden_grp[1]/iw_age","104","35"
"wm8","8","88"
"wm9_grp[1]/wm9a","140","91"
"wm9_grp[1]/consent","140","91"
"consented_grp[1]/wb3_age_sel","8","230"
"consented_grp[1]/wb4_age_est","32","234"
"consented_grp[1]/wb5","10","237"
"consented_grp[1]/wb5_grp[1]/wb6","5","243"
"consented_grp[1]/wb5_grp[1]/wb6a","6","246"
"consented_grp[1]/wb5_grp[1]/wb6b","6","250"
"consented_grp[1]/wb5_grp[1]/wb7","5","252"
"consented_grp[1]/wb5_grp[1]/wb9","11","255"
"consented_grp[1]/wb5_grp[1]/wb10a","11","262"
"consented_grp[1]/wb5_grp[1]/wb10","11","266"
"consented_grp[1]/wb5_grp[1]/wb10b","9","273"
"consented_grp[1]/wb5_grp[1]/wb11","7","291"
"consented_grp[1]/wb5_grp[1]/wb12","3","295"
"consented_grp[1]/wb5_grp[1]/wb12a","4","297"
"consented_grp[1]/wb5_grp[1]/wb12b","3","299"
"consented_grp[1]/wb15","66","301"
"consented_grp[1]/wb16_grp[1]/wb16a","58","349"
"consented_grp[1]/wb16_grp[1]/wb16_note","58","349"
"consented_grp[1]/wb16_grp[1]/wb16b","58","349"
"consented_grp[1]/wb17a","9","402"
"consented_grp[1]/wb17b","9","407"
"consented_grp[1]/wb18","11","412"
"consented_grp[1]/mt1","69","419"
"consented_grp[1]/mt2","10","487"
"consented_grp[1]/mt3","7","496"
"consented_grp[1]/mt4","12","502"
"consented_grp[1]/mt9","25","513"
"consented_grp[1]/mt11","13","536"
"consented_grp[1]/mt12","23","546"
"consented_grp[1]/cm1","9","565"
"consented_grp[1]/cm8","8","574"
"consented_grp[1]/cm12","11","579"
"consented_grp[1]/cp1_grp[1]/cp1_note","8","589"
"consented_grp[1]/cp1_grp[1]/cp1","8","589"
"consented_grp[1]/cp2_grp[1]/cp2_note","12","595"
"consented_grp[1]/cp2_grp[1]/cp2","12","595"
"consented_grp[1]/cp4","6","605"
"consented_grp[1]/un7","44","609"
"consented_grp[1]/ma1","56","634"
"consented_grp[1]/ma5","40","644"
"consented_grp[1]/af_grp[1]/af2","13","657"
"consented_grp[1]/af_grp[1]/af3","4","691"
"consented_grp[1]/af_grp[1]/af4","4","694"
"consented_grp[1]/af_grp[1]/af6b","4","697"
"consented_grp[1]/af_grp[1]/af8b","4","700"
"consented_grp[1]/af_grp[1]/af9","5","702"
"consented_grp[1]/af_grp[1]/af10","10","707"
"consented_grp[1]/af_grp[1]/af11","6","716"
"consented_grp[1]/af_grp[1]/af12","7","721"
"consented_grp[1]/ls1_grp[1]/ls_note","30","727"
"consented_grp[1]/ls1_grp[1]/ls1","30","727"
"consented_grp[1]/ls2_grp[1]/ls2_note","35","754"
"consented_grp[1]/ls2_grp[1]/ls2","35","754"
"consented_grp[1]/ls3","13","788"
"consented_grp[1]/ls4","15","799"
"consented_grp[1]/survey_language","7","813"
"consented_grp[1]/survey_accomp","4","818"
"consented_grp[1]/comment","15","821"
