"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","9","3"
"enum_confirm_grp[1]/enum_details","3","11"
"enum_confirm_grp[1]/enum_confirm","3","11"
"community_id","34","13"
"comm_confirm_grp[1]/comm_details","12","28"
"comm_confirm_grp[1]/comm_confirm","12","28"
"u5_iden_grp[1]/u5_id","538","29"
"u5_iden_grp[1]/u5_fullname","538","29"
"u5_iden_grp[1]/u5_age","538","29"
"u5_iden_grp[1]/u5_ct_id","538","29"
"u5_iden_grp[1]/u5_ct_fullname","538","29"
"u5_check","22","560"
"gm1_a","4","620"
"gmobs1","3","625"
"gmobs2","3","628"
"an8","26","632"
"an9","4","658"
"an11_grp[1]/an11_b","11","662"
"an11_grp[1]/an11","11","662"
"an12","2","673"
"an13","10","675"
"an15","12","686"
