"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","9","3"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","9","14"
"comm_confirm_grp[1]/comm_details","5","22"
"comm_confirm_grp[1]/comm_confirm","5","22"
"iw_iden_grp[1]/iw_id","34","24"
"iw_iden_grp[1]/iw_fullname","34","24"
"iw_iden_grp[1]/iw_age","34","24"
"wm8","2","61"
"wm9_grp[1]/wm9b","3","63"
"wm9_grp[1]/consent","3","63"
"consented_grp[1]/wb3_age_sel","3","66"
"consented_grp[1]/wb3_dob_dmy","6","68"
"consented_grp[1]/wb4_age_est","4","75"
"consented_grp[1]/wb5","32","79"
"consented_grp[1]/wb5_grp[1]/wb6","2","112"
"consented_grp[1]/wb5_grp[1]/wb6a","4","114"
"consented_grp[1]/wb5_grp[1]/wb6b","2","118"
"consented_grp[1]/wb5_grp[1]/wb7","2","119"
"consented_grp[1]/wb5_grp[1]/wb10a","9","122"
"consented_grp[1]/wb5_grp[1]/wb10b","4","131"
"consented_grp[1]/wb5_grp[1]/wb12a","5","134"
"consented_grp[1]/wb5_grp[1]/wb12b","3","141"
"consented_grp[1]/wb15","20","144"
"consented_grp[1]/wb16_grp[1]/wb16a","10","164"
"consented_grp[1]/wb16_grp[1]/wb16_note","10","164"
"consented_grp[1]/wb16_grp[1]/wb16b","10","164"
"consented_grp[1]/wb17a","4","174"
"consented_grp[1]/wb17b","2","177"
"consented_grp[1]/wb18","4","179"
"consented_grp[1]/mt1","20","181"
"consented_grp[1]/wb19","21","192"
"consented_grp[1]/mt2","11","224"
"consented_grp[1]/mt3","2","234"
"consented_grp[1]/mt4","2","237"
"consented_grp[1]/mt9","1","239"
"consented_grp[1]/mt11","2","240"
"consented_grp[1]/mt12","2","242"
"consented_grp[1]/cm1","3","245"
"consented_grp[1]/cm2","6","248"
"consented_grp[1]/cm2_grp[1]/cm3","22","254"
"consented_grp[1]/cm2_grp[1]/cm4","22","254"
"consented_grp[1]/cm5","10","266"
"consented_grp[1]/cm5_grp[1]/cm6","10","287"
"consented_grp[1]/cm5_grp[1]/cm7","10","287"
"consented_grp[1]/cm8","8","297"
"consented_grp[1]/cm12","2","305"
"consented_grp[1]/bh0","1","308"
"consented_grp[1]/bh_rpt[1]/bh1","16","309"
"consented_grp[1]/bh_rpt[1]/bh2","4","325"
"consented_grp[1]/bh_rpt[1]/bh3","2","329"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","8","331"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","11","339"
"consented_grp[1]/bh_rpt[1]/bh5","3","348"
"consented_grp[1]/bh_rpt[1]/bh6","20","353"
"consented_grp[1]/bh_rpt[1]/bh7","3","373"
"consented_grp[1]/bh_rpt[1]/bh10","2","377"
"consented_grp[1]/bh_rpt[2]/bh1","16","378"
"consented_grp[1]/bh_rpt[2]/bh2","2","394"
"consented_grp[1]/bh_rpt[2]/bh3","1","396"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","397"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","60","399"
"consented_grp[1]/bh_rpt[2]/bh5","3","459"
"consented_grp[1]/bh_rpt[2]/bh6","17","461"
"consented_grp[1]/bh_rpt[2]/bh7","7","478"
"consented_grp[1]/bh_rpt[2]/bh10","2","485"
"consented_grp[1]/bh_rpt[3]/bh1","47","487"
"consented_grp[1]/bh_rpt[3]/bh2","2","534"
"consented_grp[1]/bh_rpt[3]/bh3","2","537"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","1","539"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","15","540"
