"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","5","11"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"u5_iden_grp[1]/u5_id","45","17"
"u5_iden_grp[1]/u5_fullname","45","17"
"u5_iden_grp[1]/u5_age","45","17"
"u5_iden_grp[1]/u5_ct_id","45","17"
"u5_iden_grp[1]/u5_ct_fullname","45","17"
"uf9","1","62"
"consent_grp[1]/consent","2","63"
"consented_grp[1]/ub0","1","65"
"consented_grp[1]/ub1_age_sel","6","66"
"consented_grp[1]/ub1_dob_dmy","10","72"
"consented_grp[1]/ub5","4","82"
"consented_grp[1]/ub9","1","86"
"consented_grp[1]/br1","3","87"
"consented_grp[1]/br2","2","90"
"consented_grp[1]/br3","1","91"
"consented_grp[1]/ec1","2","93"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","7","94"
"consented_grp[1]/ec2_grp[1]/ec2_label","7","94"
"consented_grp[1]/ec2_grp[1]/ec2a","7","94"
"consented_grp[1]/ec2_grp[1]/ec2b","7","94"
"consented_grp[1]/ec2_grp[1]/ec2c","7","94"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","11","102"
"consented_grp[1]/ec3_grp[1]/ec3a","11","102"
"consented_grp[1]/ec3_grp[1]/ec3b","11","102"
"consented_grp[1]/ec7","2","112"
"consented_grp[1]/ec8","1","114"
"consented_grp[1]/ec9","2","116"
"consented_grp[1]/ec10","2","117"
"consented_grp[1]/ec11","11","120"
"consented_grp[1]/ec12","3","131"
"consented_grp[1]/ec13","3","134"
"consented_grp[1]/ec14","5","137"
"consented_grp[1]/ec15","4","142"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","36","147"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","36","147"
"consented_grp[1]/ucd2_grp[1]/ucd2a","36","147"
"consented_grp[1]/ucd2_grp[1]/ucb2b","36","147"
"consented_grp[1]/ucd2_grp[1]/ucb2c","36","147"
"consented_grp[1]/ucd2_grp[1]/ucb2d","36","147"
