"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","6"
"enum_id","5","8"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","10","13"
"comm_confirm_grp[1]/comm_details","1","23"
"comm_confirm_grp[1]/comm_confirm","1","23"
"u5_iden_grp[1]/u5_id","95","25"
"u5_iden_grp[1]/u5_fullname","95","25"
"u5_iden_grp[1]/u5_age","95","25"
"u5_iden_grp[1]/u5_ct_id","95","25"
"u5_iden_grp[1]/u5_ct_fullname","95","25"
"uf9","2","119"
"consent_grp[1]/consent","2","121"
"consented_grp[1]/ub0","1","123"
"consented_grp[1]/ub1_age_sel","5","124"
"consented_grp[1]/ub1_dob_dmy","13","129"
"consented_grp[1]/ub5","8","142"
"consented_grp[1]/ub9","3","151"
"consented_grp[1]/br1","7","154"
"consented_grp[1]/br2","4","160"
"consented_grp[1]/br3","16","165"
"consented_grp[1]/ec1","3","180"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","15","183"
"consented_grp[1]/ec2_grp[1]/ec2_label","15","183"
"consented_grp[1]/ec2_grp[1]/ec2a","15","183"
"consented_grp[1]/ec2_grp[1]/ec2b","15","183"
"consented_grp[1]/ec2_grp[1]/ec2c","15","183"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","12","198"
"consented_grp[1]/ec3_grp[1]/ec3a","12","198"
"consented_grp[1]/ec3_grp[1]/ec3b","12","198"
"consented_grp[1]/ec7","4","210"
"consented_grp[1]/ec8","2","214"
"consented_grp[1]/ec9","4","216"
"consented_grp[1]/ec10","14","221"
"consented_grp[1]/ec11","12","234"
"consented_grp[1]/ec12","9","243"
"consented_grp[1]/ec13","7","247"
"consented_grp[1]/ec14","8","250"
"consented_grp[1]/ec15","13","256"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","56","265"
"consented_grp[1]/ucd2_grp[1]/ucd2a","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2b","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2c","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2d","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2e","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2f","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2g","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2h","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2i","56","265"
"consented_grp[1]/ucd2_grp[1]/ucb2j","56","265"
"consented_grp[1]/ucd3","24","339"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","8","363"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","8","363"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","8","363"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","8","363"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","8","363"
"consented_grp[1]/ucf_grp[1]/ucf5","2","371"
"consented_grp[1]/ucf_grp[1]/ucf7a","5","373"
"consented_grp[1]/ucf_grp[1]/ucf9a","5","375"
"consented_grp[1]/ucf_grp[1]/ucf11","2","383"
"consented_grp[1]/ucf_grp[1]/ucf12","5","385"
"consented_grp[1]/ucf_grp[1]/ucf14","15","390"
"consented_grp[1]/ucf_grp[1]/ucf15","6","405"
"consented_grp[1]/ucf_grp[1]/ucf16","7","411"
"consented_grp[1]/ucf_grp[1]/ucf17","17","418"
"consented_grp[1]/ucf_grp[1]/ucf18","7","435"
"consented_grp[1]/ucf_grp[1]/ucf19","15","442"
"consented_grp[1]/bd_grp[1]/bd2","4","457"
"consented_grp[1]/bd_grp[1]/bd3","5","460"
"consented_grp[1]/bd_grp[1]/bd4","13","465"
"consented_grp[1]/bd_grp[1]/bd5","4","478"
"consented_grp[1]/bd_grp[1]/bd6","7","482"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","21","489"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","21","489"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","21","489"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","21","489"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","21","489"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","21","489"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","8","510"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","8","510"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","12","518"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","12","518"
"consented_grp[1]/bd_grp[1]/bd8","2","530"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","3","532"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","7","535"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","11","542"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","16","545"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","11","570"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","5","581"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","10","586"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","23","596"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","11","619"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","6","630"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","12","636"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h2","5","648"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","9","654"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","8","663"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","8","671"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","6","679"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","7","685"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","10","692"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","4","702"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","12","706"
"consented_grp[1]/im2","4","718"
"consented_grp[1]/im5","6","722"
"consented_grp[1]/im6_note","1","728"
"consented_grp[1]/im6_rpt[1]/im6","4","729"
"consented_grp[1]/im6_rpt[1]/im6a","24","733"
"consented_grp[1]/im6_rpt[2]/im6","2","757"
"consented_grp[1]/im6_rpt[2]/im6a","13","759"
"consented_grp[1]/im6_rpt[3]/im6","3","773"
"consented_grp[1]/im6_rpt[3]/im6a","20","776"
"consented_grp[1]/im6_rpt[4]/im6","2","796"
"consented_grp[1]/im6_rpt[4]/im6a","17","798"
"consented_grp[1]/im6_rpt[5]/im6","2","815"
"consented_grp[1]/im6_rpt[5]/im6a","11","817"
"consented_grp[1]/im6_rpt[6]/im6","4","828"
"consented_grp[1]/im6_rpt[6]/im6a","12","832"
"consented_grp[1]/im6_rpt[7]/im6","6","844"
"consented_grp[1]/im6_rpt[7]/im6a","14","849"
"consented_grp[1]/im6_rpt[8]/im6","1","864"
"consented_grp[1]/im6_rpt[8]/im6a","7","865"
"consented_grp[1]/im6_rpt[9]/im6","2","872"
"consented_grp[1]/im6_rpt[9]/im6a","7","874"
"consented_grp[1]/im6_rpt[10]/im6","6","881"
"consented_grp[1]/im6_rpt[10]/im6a","8","887"
"consented_grp[1]/im6_rpt[11]/im6","4","896"
"consented_grp[1]/im6_rpt[11]/im6a","23","900"
"consented_grp[1]/im6_rpt[12]/im6","3","923"
"consented_grp[1]/im6_rpt[12]/im6a","12","927"
"consented_grp[1]/im6_rpt[13]/im6","2","939"
"consented_grp[1]/im6_rpt[13]/im6a","14","941"
"consented_grp[1]/im6_rpt[14]/im6","4","954"
"consented_grp[1]/im6_rpt[14]/im6a","13","958"
"consented_grp[1]/im6_rpt[15]/im6","6","971"
"consented_grp[1]/im6_rpt[15]/im6a","21","977"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","17","997"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","17","997"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","17","997"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","17","997"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","17","997"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","17","997"
"consented_grp[1]/im8_im27_grp[1]/im9","3","1016"
"consented_grp[1]/ca1","8","1019"
"consented_grp[1]/ca14","2","1027"
"consented_grp[1]/ca16","2","1029"
"consented_grp[1]/ca17","2","1031"
"consented_grp[1]/ca31","20","1033"
"consented_grp[1]/gps_backup","270","1053"
"comments","6","1323"
