"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","10"
"enum_id","9","12"
"enum_confirm_grp[1]/enum_details","1","21"
"enum_confirm_grp[1]/enum_confirm","1","21"
"community_id","18","22"
"comm_confirm_grp[1]/comm_details","1","39"
"comm_confirm_grp[1]/comm_confirm","1","39"
"u5_iden_grp[1]/u5_id","77","41"
"u5_iden_grp[1]/u5_fullname","77","41"
"u5_iden_grp[1]/u5_age","77","41"
"u5_iden_grp[1]/u5_ct_id","77","41"
"u5_iden_grp[1]/u5_ct_fullname","77","41"
"uf9","4","108"
"consent_grp[1]/consent","4","111"
"consented_grp[1]/ub0","12","113"
"consented_grp[1]/ub1_age_sel","7","124"
"consented_grp[1]/ub1_dob_dmy","8","131"
"consented_grp[1]/ub5","20","138"
"consented_grp[1]/ub9","9","156"
"consented_grp[1]/br1","18","165"
"consented_grp[1]/br2","15","183"
"consented_grp[1]/br3","27","198"
"consented_grp[1]/ec1","11","206"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","34","215"
"consented_grp[1]/ec2_grp[1]/ec2_label","34","215"
"consented_grp[1]/ec2_grp[1]/ec2a","34","215"
"consented_grp[1]/ec2_grp[1]/ec2b","34","215"
"consented_grp[1]/ec2_grp[1]/ec2c","34","215"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","42","244"
"consented_grp[1]/ec3_grp[1]/ec3a","42","244"
"consented_grp[1]/ec3_grp[1]/ec3b","42","244"
"consented_grp[1]/ec7","3","286"
"consented_grp[1]/ec8","1","289"
"consented_grp[1]/ec9","3","291"
"consented_grp[1]/ec10","15","293"
"consented_grp[1]/ec11","4","308"
"consented_grp[1]/ec12","7","312"
"consented_grp[1]/ec13","4","319"
"consented_grp[1]/ec14","3","323"
"consented_grp[1]/ec15","3","325"
"consented_grp[1]/bd_grp[1]/bd2","7","329"
"consented_grp[1]/bd_grp[1]/bd3","2","335"
"consented_grp[1]/bd_grp[1]/bd4","9","337"
"consented_grp[1]/bd_grp[1]/bd5","6","346"
"consented_grp[1]/bd_grp[1]/bd6","10","352"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","36","362"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","36","362"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","36","362"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","36","362"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","36","362"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","36","362"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","11","399"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","11","399"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","15","404"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","15","404"
"consented_grp[1]/bd_grp[1]/bd8","11","419"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","431"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","4","432"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","435"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","4","437"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","2","441"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","2","443"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","2","445"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","5","447"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","3","452"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","5","456"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","4","461"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","7","465"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","4","472"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","3","476"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","5","479"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","11","484"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","12","494"
"consented_grp[1]/im2","8","504"
"consented_grp[1]/im5","2","512"
"consented_grp[1]/im6_note","1","514"
"consented_grp[1]/im6_rpt[1]/im6","2","515"
"consented_grp[1]/im6_rpt[1]/im6a","23","518"
"consented_grp[1]/im6_rpt[2]/im6","2","541"
"consented_grp[1]/im6_rpt[2]/im6a","9","543"
"consented_grp[1]/im6_rpt[3]/im6","5","552"
"consented_grp[1]/im6_rpt[3]/im6a","15","555"
"consented_grp[1]/im6_rpt[4]/im6","2","571"
"consented_grp[1]/im6_rpt[4]/im6a","10","573"
"consented_grp[1]/im6_rpt[5]/im6","3","583"
"consented_grp[1]/im6_rpt[5]/im6a","9","586"
"consented_grp[1]/im6_rpt[6]/im6","3","593"
"consented_grp[1]/im6_rpt[6]/im6a","6","596"
"consented_grp[1]/im6_rpt[7]/im6","5","602"
"consented_grp[1]/im6_rpt[8]/im6","2","607"
"consented_grp[1]/im6_rpt[9]/im6","1","609"
"consented_grp[1]/im6_rpt[10]/im6","3","610"
"consented_grp[1]/im6_rpt[11]/im6","1","611"
"consented_grp[1]/im6_rpt[12]/im6","5","613"
"consented_grp[1]/im6_rpt[13]/im6","1","618"
"consented_grp[1]/im6_rpt[14]/im6","1","619"
"consented_grp[1]/im6_rpt[15]/im6","2","621"
"consented_grp[1]/ca1","8","622"
"consented_grp[1]/ca14","13","630"
"consented_grp[1]/ca16","10","643"
"consented_grp[1]/ca17","19","653"
"consented_grp[1]/ca18","16","671"
"consented_grp[1]/ca31","20","686"
"comments","12","706"
