"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","11","8"
"comm_confirm_grp[1]/comm_details","1","20"
"comm_confirm_grp[1]/comm_confirm","1","20"
"hhid","16","21"
"hh_confirm_grp[1]/hh_details","2","36"
"hh_confirm_grp[1]/hh_confirm","2","36"
"Permission[1]/wm9a","52","38"
"Permission[1]/iw_consent","52","38"
"consented_grp[1]/wb3_age_sel","2","90"
"consented_grp[1]/wb3_dob_dmy","18","92"
"consented_grp[1]/age_correct_info","12","101"
"consented_grp[1]/wb5","7","122"
"consented_grp[1]/wb5_grp[1]/wb6","12","129"
"consented_grp[1]/wb5_grp[1]/wb6a","2","141"
"consented_grp[1]/wb5_grp[1]/wb6b","2","143"
"consented_grp[1]/wb5_grp[1]/wb7","2","144"
"consented_grp[1]/wb15","14","147"
"consented_grp[1]/mt2","6","160"
"consented_grp[1]/mt3","9","166"
"consented_grp[1]/mt4","6","176"
"consented_grp[1]/mt9","5","181"
"consented_grp[1]/mt11","5","187"
"consented_grp[1]/mt12","20","192"
"consented_grp[1]/cm1","2","211"
"consented_grp[1]/cm2","3","214"
"consented_grp[1]/cm2_grp[1]/cm3","3","217"
"consented_grp[1]/cm2_grp[1]/cm4","3","217"
"consented_grp[1]/cm5","1","220"
"consented_grp[1]/cm8","1","221"
"consented_grp[1]/cm12","1","223"
"consented_grp[1]/bh0","1","224"
"consented_grp[1]/bh_rpt[1]/bh1","10","225"
"consented_grp[1]/bh_rpt[1]/bh2","3","234"
"consented_grp[1]/bh_rpt[1]/bh3","1","238"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","3","239"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","14","242"
"consented_grp[1]/bh_rpt[1]/bh5","2","256"
"consented_grp[1]/bh_rpt[1]/bh6","3","258"
"consented_grp[1]/bh_rpt[1]/bh7","26","262"
"consented_grp[1]/bh_rpt[1]/bh8","13","288"
"consented_grp[1]/bh_rpt[1]/bh10","2","301"
"consented_grp[1]/bh_rpt[2]/bh1","11","303"
"consented_grp[1]/bh_rpt[2]/bh2","3","308"
"consented_grp[1]/bh_rpt[2]/bh3","1","317"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","318"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","14","320"
"consented_grp[1]/bh_rpt[2]/bh5","2","334"
"consented_grp[1]/bh_rpt[2]/bh6","2","336"
"consented_grp[1]/bh_rpt[2]/bh7","2","339"
"consented_grp[1]/bh_rpt[2]/bh8","14","340"
"consented_grp[1]/bh_rpt[2]/bh10","2","355"
"consented_grp[1]/bh_rpt[3]/bh1","12","356"
"consented_grp[1]/bh_rpt[3]/bh2","2","368"
"consented_grp[1]/bh_rpt[3]/bh3","1","370"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","1","372"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","9","373"
"consented_grp[1]/bh_rpt[3]/bh5","2","381"
"consented_grp[1]/bh_rpt[3]/bh6","2","383"
"consented_grp[1]/bh_rpt[3]/bh7","2","385"
"consented_grp[1]/bh_rpt[3]/bh8","8","387"
"consented_grp[1]/bh_rpt[3]/bh10","2","395"
"consented_grp[1]/db2","13","396"
"consented_grp[1]/mn_rpt[1]/mn2","4","409"
"consented_grp[1]/mn_rpt[1]/mn4_grp[1]/mn4_a","6","414"
"consented_grp[1]/mn_rpt[1]/mn4_grp[1]/mn4_b","6","414"
"consented_grp[1]/mn_rpt[1]/mn8","4","420"
"consented_grp[1]/mn_rpt[1]/mn16","3","424"
"consented_grp[1]/mn_rpt[1]/mn19","19","427"
"consented_grp[1]/mn_rpt[1]/mn20","3","446"
"consented_grp[1]/mn_rpt[1]/mn21","3","448"
"consented_grp[1]/mn_rpt[1]/mn23","7","451"
"consented_grp[1]/mn_rpt[1]/mn33","5","458"
"consented_grp[1]/mn_rpt[1]/mn34_grp[1]/mn34_a","5","463"
"consented_grp[1]/mn_rpt[1]/mn34_grp[1]/mn34_b","5","463"
"consented_grp[1]/mn_rpt[1]/mn36","3","468"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","3","471"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","19","472"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","19","472"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","8","494"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","8","494"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","17","502"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","17","502"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","17","502"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","17","502"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","17","502"
