"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","7"
"enum_id","32","8"
"enum_confirm_grp[1]/enum_details","1","40"
"enum_confirm_grp[1]/enum_confirm","1","40"
"community_id","5","41"
"comm_confirm_grp[1]/comm_details","1","46"
"comm_confirm_grp[1]/comm_confirm","1","46"
"iw_iden_grp[1]/iw_id","25","47"
"iw_iden_grp[1]/iw_fullname","25","47"
"iw_iden_grp[1]/iw_age","25","47"
"wm8","1","73"
"wm9_grp[1]/wm9b","6","74"
"wm9_grp[1]/consent","6","74"
"consented_grp[1]/wb3_age_sel","4","80"
"consented_grp[1]/wb3_dob_y","5","84"
"consented_grp[1]/wb5","4","88"
"consented_grp[1]/wb14_grp[1]/wb14_note","1","90"
"consented_grp[1]/wb14_grp[1]/wb14","1","90"
"consented_grp[1]/wb5_grp[1]/wb6","3","93"
"consented_grp[1]/wb5_grp[1]/wb6a","6","96"
"consented_grp[1]/wb5_grp[1]/wb6b","1","102"
"consented_grp[1]/wb5_grp[1]/wb7","2","103"
"consented_grp[1]/wb5_grp[1]/wb9","1","105"
"consented_grp[1]/wb5_grp[1]/wb10a","2","106"
"consented_grp[1]/wb5_grp[1]/wb10b","1","108"
"consented_grp[1]/wb5_grp[1]/wb11","28","109"
"consented_grp[1]/wb5_grp[1]/wb12a","1","137"
"consented_grp[1]/wb5_grp[1]/wb12b","1","138"
"consented_grp[1]/wb15","64","139"
"consented_grp[1]/wb16_grp[1]/wb16a","13","203"
"consented_grp[1]/wb16_grp[1]/wb16_note","13","203"
"consented_grp[1]/wb16_grp[1]/wb16b","13","203"
"consented_grp[1]/wb17a","3","216"
"consented_grp[1]/wb17b","2","219"
"consented_grp[1]/wb18","3","221"
"consented_grp[1]/mt1","2","224"
"consented_grp[1]/mt2","1","226"
"consented_grp[1]/mt3","3","227"
"consented_grp[1]/mt4","3","231"
"consented_grp[1]/mt9","1","234"
"consented_grp[1]/mt11","3","236"
"consented_grp[1]/mt12","21","239"
"consented_grp[1]/cm1","3","260"
"consented_grp[1]/cm2","2","262"
"consented_grp[1]/cm2_grp[1]/cm3","6","264"
"consented_grp[1]/cm2_grp[1]/cm4","6","264"
"consented_grp[1]/cm5","3","270"
"consented_grp[1]/cm5_grp[1]/cm6","3","272"
"consented_grp[1]/cm5_grp[1]/cm7","3","272"
"consented_grp[1]/cm8","2","276"
"consented_grp[1]/cm12","1","278"
"consented_grp[1]/bh0","1","280"
"consented_grp[1]/bh_rpt[1]/bh1","9","281"
"consented_grp[1]/bh_rpt[1]/bh2","1","289"
"consented_grp[1]/bh_rpt[1]/bh3","4","291"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","3","295"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","8","297"
"consented_grp[1]/bh_rpt[1]/bh5","7","303"
"consented_grp[1]/bh_rpt[1]/bh6","3","312"
"consented_grp[1]/bh_rpt[1]/bh7","2","315"
"consented_grp[1]/bh_rpt[1]/bh8","9","317"
"consented_grp[1]/bh_rpt[1]/bh10","1","327"
"consented_grp[1]/bh_rpt[2]/bh1","11","328"
"consented_grp[1]/bh_rpt[2]/bh2","2","339"
"consented_grp[1]/bh_rpt[2]/bh3","2","341"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","343"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","11","345"
"consented_grp[1]/bh_rpt[2]/bh5","2","356"
"consented_grp[1]/bh_rpt[2]/bh6","3","359"
"consented_grp[1]/bh_rpt[2]/bh7","1","361"
"consented_grp[1]/bh_rpt[2]/bh8","3","363"
"consented_grp[1]/bh_rpt[2]/bh10","1","366"
"consented_grp[1]/db2","13","367"
"consented_grp[1]/db4_b","6","380"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","13","386"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","2","398"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","38","401"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","38","401"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","14","439"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","13","453"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","13","453"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","13","453"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","13","453"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","13","453"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","2","466"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","8","467"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","5","476"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","4","481"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","2","484"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","486"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","15","488"
