"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","4","3"
"enum_id","8","7"
"enum_confirm_grp[1]/enum_details","1","15"
"enum_confirm_grp[1]/enum_confirm","1","15"
"community_id","7","16"
"comm_confirm_grp[1]/comm_details","1","23"
"comm_confirm_grp[1]/comm_confirm","1","23"
"hhid_grp[1]/hhid_instruction","8","24"
"hhid_grp[1]/hhid_struct_num","8","24"
"hhid_grp[1]/hhid_hh_num","8","24"
"hhid_confirm_grp[1]/hhid_details","2","32"
"hhid_confirm_grp[1]/hhid_confirm","2","32"
"consent_grp[1]/consent_instr","299","34"
"consent_grp[1]/consent","299","34"
"consented_grp[1]/hh_note","5","333"
"consented_grp[1]/hhm_cnt","8","336"
"consented_grp[1]/rooster_note","8","342"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","54","348"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","54","348"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","54","348"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","400"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","5","403"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","7","405"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","6","407"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","7","412"
"consented_grp[1]/hhm_rpt[1]/ed4","7","418"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","4","423"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","4","423"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","28","425"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","28","425"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","28","425"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","449"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","4","452"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","454"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","16","455"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","8","470"
"consented_grp[1]/hhm_rpt[2]/ed4","7","477"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","8","483"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","4","488"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","5","490"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","5","492"
"consented_grp[1]/hhm_rpt[2]/ed9","5","497"
"consented_grp[1]/hhm_rpt[2]/ed15","7","500"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","4","504"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","4","504"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","40","506"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","40","506"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","40","506"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","7","544"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","4","548"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","5","550"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","31","554"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","9","584"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","5","587"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","5","587"
"consented_grp[1]/hhm_ch_intro","4","590"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","6","592"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","7","596"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","9","599"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","14","602"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","19","608"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl19","23","622"
"consented_grp[1]/u5_rpt[1]/u5_note","71","629"
"consented_grp[1]/hc_grp[1]/hc1a","10","698"
"consented_grp[1]/hc_grp[1]/hc1b","10","704"
"consented_grp[1]/hc_grp[1]/hc2","6","711"
