"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","5","10"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"u5_iden_grp[1]/u5_id","75","17"
"u5_iden_grp[1]/u5_fullname","75","17"
"u5_iden_grp[1]/u5_age","75","17"
"u5_iden_grp[1]/u5_ct_id","75","17"
"u5_iden_grp[1]/u5_ct_fullname","75","17"
"gm1_a","2","93"
"gmobs1","2","94"
"gmobs2","2","96"
"an8","9","98"
"an9","4","107"
"an11_grp[1]/an11_b","6","111"
"an11_grp[1]/an11","6","111"
"an12","3","117"
"an13","1","119"
"an15","1","121"
