"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","8"
"enum_id","13","9"
"enum_confirm_grp[1]/enum_details","2","22"
"enum_confirm_grp[1]/enum_confirm","2","22"
"community_id","14","24"
"comm_confirm_grp[1]/comm_details","4","38"
"comm_confirm_grp[1]/comm_confirm","4","38"
"u5_iden_grp[1]/u5_id","117","42"
"u5_iden_grp[1]/u5_fullname","117","42"
"u5_iden_grp[1]/u5_age","117","42"
"u5_iden_grp[1]/u5_ct_id","117","42"
"u5_iden_grp[1]/u5_ct_fullname","117","42"
"uf9","3","158"
"consent_grp[1]/consent","3","162"
"consented_grp[1]/ub0","4","165"
"consented_grp[1]/ub1_age_sel","6","169"
"consented_grp[1]/ub1_dob_dmy","65","174"
"consented_grp[1]/ub5","12","239"
"consented_grp[1]/ub8b","9","242"
"consented_grp[1]/ub9","8","250"
"consented_grp[1]/ub6","8","264"
"consented_grp[1]/br1","9","276"
"consented_grp[1]/br2","14","285"
"consented_grp[1]/ec1","25","298"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","38","323"
"consented_grp[1]/ec2_grp[1]/ec2_label","38","323"
"consented_grp[1]/ec2_grp[1]/ec2a","38","323"
"consented_grp[1]/ec2_grp[1]/ec2b","38","323"
"consented_grp[1]/ec2_grp[1]/ec2c","38","323"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","38","361"
"consented_grp[1]/ec3_grp[1]/ec3a","38","361"
"consented_grp[1]/ec3_grp[1]/ec3b","38","361"
"consented_grp[1]/ec5_grp[1]/ec5","67","399"
"consented_grp[1]/ec5_grp[1]/ec5_label","67","399"
"consented_grp[1]/ec5_grp[1]/ec5a","67","399"
"consented_grp[1]/ec5_grp[1]/ec5b","67","399"
"consented_grp[1]/ec5_grp[1]/ec5c","67","399"
"consented_grp[1]/ec5_grp[1]/ec5d","67","399"
"consented_grp[1]/ec5_grp[1]/ec5e","67","399"
"consented_grp[1]/ec5_grp[1]/ec5f","67","399"
"consented_grp[1]/ec6_grp[1]/ec6_note","39","466"
"consented_grp[1]/ec6_grp[1]/ec6","39","466"
"consented_grp[1]/ec7","10","505"
"consented_grp[1]/ec8","9","515"
"consented_grp[1]/ec9","6","524"
"consented_grp[1]/ec10","15","530"
"consented_grp[1]/ec11","9","545"
"consented_grp[1]/ec12","6","554"
"consented_grp[1]/ec13","7","560"
"consented_grp[1]/ec14","10","567"
"consented_grp[1]/ec15","17","577"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","107","594"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","107","594"
"consented_grp[1]/ucd2_grp[1]/ucd2a","107","594"
