"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","13","3"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","24","17"
"comm_confirm_grp[1]/comm_details","2","41"
"comm_confirm_grp[1]/comm_confirm","2","41"
"hhid_grp[1]/hhid_instruction","11","43"
"hhid_grp[1]/hhid_struct_num","11","43"
"hhid_grp[1]/hhid_hh_num","11","43"
"hhid_confirm_grp[1]/hhid_details","9","51"
"hhid_confirm_grp[1]/hhid_confirm","9","51"
"consent_grp[1]/consent_instr","5","53"
"consent_grp[1]/consent","5","53"
"consented_grp[1]/hh_note","1","68"
"consented_grp[1]/hhm_cnt","58","69"
"consented_grp[1]/rooster_note","2","127"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","26","129"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","26","129"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","26","129"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","3","155"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","6","157"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","82","158"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","31","245"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","4","272"
"consented_grp[1]/hhm_rpt[1]/ed4","17","281"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","12","298"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","12","298"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","57","309"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","57","309"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","57","309"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","1","366"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","1","367"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","1","369"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","39","370"
