"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","7","11"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"iw_iden_grp[1]/iw_id","42","19"
"iw_iden_grp[1]/iw_fullname","42","19"
"iw_iden_grp[1]/iw_age","42","19"
"wm8","2","61"
"wm9_grp[1]/wm9b","2","63"
"wm9_grp[1]/consent","2","63"
"consented_grp[1]/wb3_age_sel","4","65"
"consented_grp[1]/wb3_dob_dmy","17","68"
"consented_grp[1]/age_correct_info","3","77"
"consented_grp[1]/wb5","3","88"
"consented_grp[1]/wb5_grp[1]/wb6","3","91"
"consented_grp[1]/wb5_grp[1]/wb6a","7","94"
"consented_grp[1]/wb5_grp[1]/wb6b","2","102"
"consented_grp[1]/wb5_grp[1]/wb7","1","104"
"consented_grp[1]/wb5_grp[1]/wb9","2","105"
"consented_grp[1]/wb5_grp[1]/wb10a","1","107"
"consented_grp[1]/wb5_grp[1]/wb10b","1","108"
"consented_grp[1]/wb5_grp[1]/wb11","1","110"
"consented_grp[1]/wb5_grp[1]/wb12a","1","111"
"consented_grp[1]/wb5_grp[1]/wb12b","1","112"
"consented_grp[1]/wb15","53","113"
"consented_grp[1]/wb18","2","166"
"consented_grp[1]/mt1","2","168"
"consented_grp[1]/mt2","9","170"
"consented_grp[1]/mt3","18","180"
"consented_grp[1]/mt4","4","197"
"consented_grp[1]/mt9","6","201"
"consented_grp[1]/mt11","2","207"
"consented_grp[1]/mt12","7","210"
"consented_grp[1]/cm1","5","217"
"consented_grp[1]/cm2","28","222"
"consented_grp[1]/cm2_grp[1]/cm3","4","250"
"consented_grp[1]/cm2_grp[1]/cm4","4","250"
"consented_grp[1]/cm5","2","254"
"consented_grp[1]/cm8","2","256"
"consented_grp[1]/cm12","2","258"
"consented_grp[1]/bh0","1","260"
"consented_grp[1]/bh_rpt[1]/bh1","9","262"
"consented_grp[1]/bh_rpt[1]/bh2","2","270"
"consented_grp[1]/bh_rpt[1]/bh3","1","273"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","274"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","13","276"
"consented_grp[1]/bh_rpt[1]/bh5","2","289"
"consented_grp[1]/bh_rpt[1]/bh6","3","291"
"consented_grp[1]/bh_rpt[1]/bh7","2","294"
"consented_grp[1]/bh_rpt[1]/bh8","7","296"
"consented_grp[1]/bh_rpt[1]/bh10","2","303"
"consented_grp[1]/cp1_grp[1]/cp1_note","5","305"
"consented_grp[1]/cp1_grp[1]/cp1","5","305"
"consented_grp[1]/cp2_grp[1]/cp2_note","6","310"
"consented_grp[1]/cp2_grp[1]/cp2","6","310"
"consented_grp[1]/cp4","4","317"
"consented_grp[1]/un7","10","321"
"consented_grp[1]/un8_grp[1]/un8","15","331"
"consented_grp[1]/un8_grp[1]/un8_units","15","331"
"consented_grp[1]/ma1","20","346"
"consented_grp[1]/ma2","26","365"
"consented_grp[1]/ma3","8","392"
"consented_grp[1]/ma7","26","400"
"consented_grp[1]/ma8b","101","426"
"consented_grp[1]/ma11b","39","526"
"consented_grp[1]/af_grp[1]/af2","6","566"
"consented_grp[1]/af_grp[1]/af3","2","572"
"consented_grp[1]/af_grp[1]/af4","3","574"
"consented_grp[1]/af_grp[1]/af6b","2","577"
"consented_grp[1]/af_grp[1]/af8b","2","579"
"consented_grp[1]/af_grp[1]/af9","1","580"
"consented_grp[1]/af_grp[1]/af10","1","582"
"consented_grp[1]/af_grp[1]/af11","2","583"
"consented_grp[1]/af_grp[1]/af12","13","585"
"consented_grp[1]/ls1_grp[1]/ls_note","11","597"
"consented_grp[1]/ls1_grp[1]/ls1","11","597"
"consented_grp[1]/ls2_grp[1]/ls2_note","6","609"
"consented_grp[1]/ls2_grp[1]/ls2","6","609"
"consented_grp[1]/ls3","8","615"
"consented_grp[1]/ls4","5","623"
"consented_grp[1]/survey_language","2","628"
"consented_grp[1]/survey_accomp","3","630"
"consented_grp[1]/comment","1095","634"
