"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","9","3"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","18","13"
"comm_confirm_grp[1]/comm_details","1","31"
"comm_confirm_grp[1]/comm_confirm","1","31"
"iw_iden_grp[1]/iw_id","80","32"
"iw_iden_grp[1]/iw_fullname","80","32"
"iw_iden_grp[1]/iw_age","80","32"
"wm8","2","112"
"wm9_grp[1]/wm9b","7","114"
"wm9_grp[1]/consent","7","114"
"consented_grp[1]/wb3_age_sel","4","121"
"consented_grp[1]/wb3_dob_y","8","125"
"consented_grp[1]/wb5","3","132"
"consented_grp[1]/wb5_grp[1]/wb6","2","136"
"consented_grp[1]/wb5_grp[1]/wb6a","3","137"
"consented_grp[1]/wb5_grp[1]/wb6b","2","140"
"consented_grp[1]/wb5_grp[1]/wb7","3","143"
"consented_grp[1]/wb5_grp[1]/wb10a","15","145"
"consented_grp[1]/wb5_grp[1]/wb10b","1","161"
"consented_grp[1]/wb5_grp[1]/wb12a","2","162"
"consented_grp[1]/wb5_grp[1]/wb12b","1","164"
"consented_grp[1]/wb15","18","165"
"consented_grp[1]/wb16_grp[1]/wb16a","40","183"
"consented_grp[1]/wb16_grp[1]/wb16_note","40","183"
"consented_grp[1]/wb16_grp[1]/wb16b","40","183"
"consented_grp[1]/wb17a","7","223"
"consented_grp[1]/wb17b","2","229"
"consented_grp[1]/wb18","14","232"
"consented_grp[1]/mt1","16","245"
"consented_grp[1]/mt2","16","261"
"consented_grp[1]/mt3","16","277"
"consented_grp[1]/mt4","11","293"
"consented_grp[1]/mt9","10","304"
"consented_grp[1]/mt11","4","315"
"consented_grp[1]/mt12","19","319"
"consented_grp[1]/cm1","4","337"
"consented_grp[1]/cm2","2","341"
"consented_grp[1]/cm2_grp[1]/cm3","6","343"
"consented_grp[1]/cm2_grp[1]/cm4","6","343"
"consented_grp[1]/cm5","5","349"
"consented_grp[1]/cm5_grp[1]/cm6","4","354"
"consented_grp[1]/cm5_grp[1]/cm7","4","354"
"consented_grp[1]/cm8","4","358"
"consented_grp[1]/cm12","9","362"
"consented_grp[1]/bh0","1","371"
"consented_grp[1]/bh_rpt[1]/bh1","15","372"
"consented_grp[1]/bh_rpt[1]/bh2","5","387"
"consented_grp[1]/bh_rpt[1]/bh3","2","392"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","394"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","21","396"
"consented_grp[1]/bh_rpt[1]/bh5","2","417"
"consented_grp[1]/bh_rpt[1]/bh6","26","419"
"consented_grp[1]/bh_rpt[1]/bh7","3","446"
"consented_grp[1]/bh_rpt[1]/bh10","8","449"
"consented_grp[1]/bh_rpt[2]/bh1","23","458"
"consented_grp[1]/bh_rpt[2]/bh2","2","481"
"consented_grp[1]/bh_rpt[2]/bh3","2","483"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","484"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","15","486"
"consented_grp[1]/bh_rpt[2]/bh5","3","501"
"consented_grp[1]/bh_rpt[2]/bh6","5","504"
"consented_grp[1]/bh_rpt[2]/bh7","5","509"
"consented_grp[1]/bh_rpt[2]/bh10","4","512"
"consented_grp[1]/bh_rpt[3]/bh1","13","518"
"consented_grp[1]/bh_rpt[3]/bh2","1","531"
"consented_grp[1]/bh_rpt[3]/bh3","2","532"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","534"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","27","536"
"consented_grp[1]/bh_rpt[3]/bh5","4","563"
"consented_grp[1]/bh_rpt[3]/bh6","7","565"
"consented_grp[1]/bh_rpt[3]/bh7","5","568"
"consented_grp[1]/bh_rpt[3]/bh8","8","578"
"consented_grp[1]/bh_rpt[3]/bh10","2","586"
"consented_grp[1]/cp1_grp[1]/cp1_note","8","588"
"consented_grp[1]/cp1_grp[1]/cp1","8","588"
"consented_grp[1]/cp2_grp[1]/cp2_note","14","596"
"consented_grp[1]/cp2_grp[1]/cp2","14","596"
"consented_grp[1]/cp4","11","610"
"consented_grp[1]/un7","15","621"
"consented_grp[1]/un8_grp[1]/un8","22","636"
"consented_grp[1]/un8_grp[1]/un8_units","22","636"
"consented_grp[1]/ma1","5","658"
"consented_grp[1]/ma2","6","664"
"consented_grp[1]/ma3","50","669"
"consented_grp[1]/ma7","12","716"
"consented_grp[1]/ma4","9","722"
"consented_grp[1]/ma8a","97","740"
"consented_grp[1]/ma11a","21","837"
"consented_grp[1]/af_grp[1]/af2","7","857"
"consented_grp[1]/af_grp[1]/af3","5","864"
"consented_grp[1]/af_grp[1]/af4","17","869"
"consented_grp[1]/af_grp[1]/af6b","9","886"
"consented_grp[1]/af_grp[1]/af8b","2","895"
"consented_grp[1]/af_grp[1]/af9","6","897"
"consented_grp[1]/af_grp[1]/af10","8","903"
"consented_grp[1]/af_grp[1]/af11","8","911"
"consented_grp[1]/af_grp[1]/af12","13","919"
"consented_grp[1]/ls1_grp[1]/ls_note","109","931"
"consented_grp[1]/ls1_grp[1]/ls1","109","931"
"consented_grp[1]/ls2_grp[1]/ls2_note","95","1041"
"consented_grp[1]/ls2_grp[1]/ls2","95","1041"
"consented_grp[1]/ls3","33","1136"
"consented_grp[1]/ls4","23","1169"
"consented_grp[1]/survey_language","4","1191"
"consented_grp[1]/survey_accomp","7","1194"
"consented_grp[1]/comment","15","1196"
