"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","9"
"enum_id","6","11"
"enum_confirm_grp[1]/enum_details","1","16"
"enum_confirm_grp[1]/enum_confirm","1","16"
"community_id","7","18"
"comm_confirm_grp[1]/comm_details","1","25"
"comm_confirm_grp[1]/comm_confirm","1","25"
"iw_iden_grp[1]/iw_id","50","26"
"iw_iden_grp[1]/iw_fullname","50","26"
"iw_iden_grp[1]/iw_age","50","26"
"wm8","3","76"
"wm9_grp[1]/wm9b","2","79"
"wm9_grp[1]/consent","2","79"
"consented_grp[1]/wb3_age_sel","3","81"
"consented_grp[1]/wb3_dob_dmy","34","84"
"consented_grp[1]/wb5","8","117"
"consented_grp[1]/wb14_grp[1]/wb14_note","9","125"
"consented_grp[1]/wb14_grp[1]/wb14","9","125"
"consented_grp[1]/wb15","24","134"
"consented_grp[1]/wb16_grp[1]/wb16a","25","158"
"consented_grp[1]/wb16_grp[1]/wb16_note","25","158"
"consented_grp[1]/wb16_grp[1]/wb16b","25","158"
"consented_grp[1]/wb17a","21","183"
"consented_grp[1]/wb17b","17","204"
"consented_grp[1]/wb18","10","210"
"consented_grp[1]/mt1","6","231"
"consented_grp[1]/mt2","8","237"
"consented_grp[1]/mt3","13","243"
"consented_grp[1]/mt4","5","254"
"consented_grp[1]/mt9","4","263"
"consented_grp[1]/mt11","8","267"
"consented_grp[1]/mt12","3","275"
"consented_grp[1]/cm1","4","278"
"consented_grp[1]/cm2","2","282"
"consented_grp[1]/cm2_grp[1]/cm3","68","283"
"consented_grp[1]/cm2_grp[1]/cm4","68","283"
"consented_grp[1]/cm5","2","351"
"consented_grp[1]/cm8","5","354"
"consented_grp[1]/cm12","3","358"
"consented_grp[1]/bh0","1","361"
"consented_grp[1]/bh_rpt[1]/bh1","14","363"
"consented_grp[1]/bh_rpt[1]/bh2","8","376"
"consented_grp[1]/bh_rpt[1]/bh3","3","385"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","3","387"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","20","390"
"consented_grp[1]/bh_rpt[1]/bh5","4","410"
"consented_grp[1]/bh_rpt[1]/bh6","7","414"
"consented_grp[1]/bh_rpt[1]/bh7","3","420"
"consented_grp[1]/bh_rpt[1]/bh8","17","423"
"consented_grp[1]/bh_rpt[1]/bh10","24","431"
"consented_grp[1]/bh_rpt[2]/bh1","18","464"
"consented_grp[1]/bh_rpt[2]/bh2","2","482"
"consented_grp[1]/bh_rpt[2]/bh3","3","484"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","487"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","19","489"
"consented_grp[1]/bh_rpt[2]/bh5","3","508"
"consented_grp[1]/bh_rpt[2]/bh6","6","510"
"consented_grp[1]/bh_rpt[2]/bh7","3","516"
"consented_grp[1]/bh_rpt[2]/bh8","115","519"
"consented_grp[1]/bh_rpt[2]/bh10","4","634"
"consented_grp[1]/bh_rpt[3]/bh1","19","638"
"consented_grp[1]/bh_rpt[3]/bh2","2","657"
"consented_grp[1]/bh_rpt[3]/bh3","2","659"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","661"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","29","664"
"consented_grp[1]/bh_rpt[3]/bh5","2","692"
"consented_grp[1]/bh_rpt[3]/bh6","4","694"
"consented_grp[1]/bh_rpt[3]/bh7","3","698"
"consented_grp[1]/bh_rpt[3]/bh8","14","701"
"consented_grp[1]/bh_rpt[3]/bh10","3","715"
"consented_grp[1]/cp1_grp[1]/cp1_note","9","719"
"consented_grp[1]/cp1_grp[1]/cp1","9","719"
"consented_grp[1]/cp2_grp[1]/cp2_note","13","727"
"consented_grp[1]/cp2_grp[1]/cp2","13","727"
"consented_grp[1]/cp4","29","741"
"consented_grp[1]/un7","30","769"
"consented_grp[1]/un8_grp[1]/un8","17","800"
"consented_grp[1]/un8_grp[1]/un8_units","17","800"
"consented_grp[1]/ma1","10","817"
"consented_grp[1]/ma2","6","827"
"consented_grp[1]/ma3","11","833"
"consented_grp[1]/ma4","9","844"
"consented_grp[1]/ma7","5","853"
"consented_grp[1]/ma8b","100","858"
"consented_grp[1]/ma11b","9","958"
"consented_grp[1]/af_grp[1]/af2","3","967"
"consented_grp[1]/af_grp[1]/af3","3","970"
"consented_grp[1]/af_grp[1]/af4","2","973"
"consented_grp[1]/af_grp[1]/af6b","2","975"
"consented_grp[1]/af_grp[1]/af8b","1","977"
"consented_grp[1]/af_grp[1]/af9","1","978"
"consented_grp[1]/af_grp[1]/af10","1","979"
"consented_grp[1]/af_grp[1]/af11","1","981"
"consented_grp[1]/af_grp[1]/af12","21","982"
"consented_grp[1]/ls1_grp[1]/ls_note","9","1003"
"consented_grp[1]/ls1_grp[1]/ls1","9","1003"
"consented_grp[1]/ls2_grp[1]/ls2_note","5","1011"
"consented_grp[1]/ls2_grp[1]/ls2","5","1011"
"consented_grp[1]/ls3","20","1017"
"consented_grp[1]/ls4","19","1036"
"consented_grp[1]/survey_language","3","1055"
"consented_grp[1]/survey_accomp","5","1058"
"consented_grp[1]/comment","6","1063"
