"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","14"
"enum_id","7","16"
"enum_confirm_grp[1]/enum_details","2","21"
"enum_confirm_grp[1]/enum_confirm","2","21"
"community_id","17","23"
"comm_confirm_grp[1]/comm_details","2","38"
"comm_confirm_grp[1]/comm_confirm","2","38"
"hhid","32","39"
"hh_confirm_grp[1]/hh_details","47","54"
"hh_confirm_grp[1]/hh_confirm","47","54"
"consent_grp[1]/consent_instr","24","74"
"consent_grp[1]/consent","24","74"
"consented_grp[1]/hh_note","2","119"
"consented_grp[1]/hhm_cnt","29","120"
"consented_grp[1]/rooster_note","5","147"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","37","148"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","37","148"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","37","148"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","7","180"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","5","185"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","8","188"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","4","190"
"consented_grp[1]/hhm_rpt[1]/ed4","14","193"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","4","195"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","9","198"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","9","198"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","88","200"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","88","200"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","88","200"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","8","244"
