"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","128"
"enum_id","9","129"
"enum_confirm_grp[1]/enum_details","1","139"
"enum_confirm_grp[1]/enum_confirm","1","139"
"community_id","8","140"
"comm_confirm_grp[1]/comm_details","5","148"
"comm_confirm_grp[1]/comm_confirm","5","148"
"iw_iden_grp[1]/iw_id","164","149"
"iw_iden_grp[1]/iw_fullname","164","149"
"iw_iden_grp[1]/iw_age","164","149"
"wm8","13","241"
"wm9_grp[1]/wm9a","8","248"
"wm9_grp[1]/consent","13","248"
"consented_grp[1]/wb3_age_sel","51","253"
"consented_grp[1]/wb4_age_est","9","295"
"consented_grp[1]/wb5","13","301"
"consented_grp[1]/wb14_grp[1]/wb14_note","7","306"
"consented_grp[1]/wb14_grp[1]/wb14","7","306"
"consented_grp[1]/wb15","98","311"
"consented_grp[1]/wb16_grp[1]/wb16a","19","385"
"consented_grp[1]/wb16_grp[1]/wb16_note","19","385"
"consented_grp[1]/wb16_grp[1]/wb16b","19","385"
"consented_grp[1]/wb17a","9","397"
"consented_grp[1]/wb17b","10","401"
"consented_grp[1]/wb18","6","407"
"consented_grp[1]/mt1","24","409"
"consented_grp[1]/mt2","17","414"
"consented_grp[1]/mt3","12","416"
"consented_grp[1]/mt4","15","418"
"consented_grp[1]/mt9","33","421"
"consented_grp[1]/mt11","10","431"
"consented_grp[1]/mt12","19","443"
"consented_grp[1]/cm1","26","456"
"consented_grp[1]/cm2","25","475"
"consented_grp[1]/cm2_grp[1]/cm3","37","491"
"consented_grp[1]/cm2_grp[1]/cm4","37","491"
"consented_grp[1]/cm5","24","508"
"consented_grp[1]/cm8","19","518"
"consented_grp[1]/cm12","9","533"
"consented_grp[1]/bh0","15","539"
"consented_grp[1]/bh_rpt[1]/bh1","48","541"
"consented_grp[1]/bh_rpt[1]/bh2","8","580"
"consented_grp[1]/bh_rpt[1]/bh3","5","584"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","7","586"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","53","590"
"consented_grp[1]/bh_rpt[1]/bh5","12","590"
"consented_grp[1]/bh_rpt[1]/bh6","30","614"
"consented_grp[1]/bh_rpt[1]/bh7","21","623"
"consented_grp[1]/bh_rpt[1]/bh8","78","635"
"consented_grp[1]/bh_rpt[1]/bh10","51","654"
"consented_grp[1]/bh_rpt[2]/bh1","65","658"
"consented_grp[1]/bh_rpt[2]/bh2","7","672"
"consented_grp[1]/bh_rpt[2]/bh3","3","676"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","678"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","20","681"
"consented_grp[1]/bh_rpt[2]/bh5","4","700"
"consented_grp[1]/bh_rpt[2]/bh6","43","702"
"consented_grp[1]/bh_rpt[2]/bh7","5","738"
"consented_grp[1]/bh_rpt[2]/bh8","32","742"
"consented_grp[1]/bh_rpt[2]/bh10","11","769"
"consented_grp[1]/bh_rpt[3]/bh1","18","777"
"consented_grp[1]/bh_rpt[3]/bh2","6","789"
"consented_grp[1]/bh_rpt[3]/bh3","4","793"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","17","797"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","96","807"
"consented_grp[1]/bh_rpt[3]/bh5","5","909"
"consented_grp[1]/bh_rpt[3]/bh6","8","912"
"consented_grp[1]/bh_rpt[3]/bh7","4","915"
"consented_grp[1]/bh_rpt[3]/bh8","16","918"
"wm9_grp[1]/wm9b","5","1104"
"consented_grp[1]/wb3_dob_dmy","88","1110"
"consented_grp[1]/age_correct_info","32","1132"
"consented_grp[1]/wb5_grp[1]/wb6","3","1260"
"consented_grp[1]/wb5_grp[1]/wb6a","2","1263"
"consented_grp[1]/wb5_grp[1]/wb6b","2","1265"
"consented_grp[1]/wb5_grp[1]/wb7","3","1267"
"consented_grp[1]/wb5_grp[1]/wb9","10","1270"
"consented_grp[1]/wb5_grp[1]/wb10a","7","1277"
"consented_grp[1]/wb5_grp[1]/wb10","2","1282"
"consented_grp[1]/wb5_grp[1]/wb10b","2","1289"
"consented_grp[1]/wb5_grp[1]/wb11","5","1291"
"consented_grp[1]/wb5_grp[1]/wb12","5","1296"
"consented_grp[1]/wb5_grp[1]/wb12a","8","1298"
"consented_grp[1]/wb5_grp[1]/wb12b","3","1301"
"consented_grp[1]/db2","12","1707"
"consented_grp[1]/db4_a","4","1718"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","28","1723"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","15","1750"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","14","1766"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","14","1766"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","59","1779"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","54","1839"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","54","1839"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","54","1839"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","54","1839"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","54","1839"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","22","1892"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","17","1914"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","2","1931"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","15","1933"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","2","1948"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","9","1950"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","27","1958"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","11","1986"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","10","1997"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn22","46","2007"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","16","2053"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","2","2069"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","67","2070"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","3","2137"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","23","2140"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","10","2163"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","11","2173"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","11","2173"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","9","2183"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","3","2192"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","57","2195"
