"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","2","2"
"enum_confirm_grp[1]/enum_details","1","4"
"enum_confirm_grp[1]/enum_confirm","1","4"
"community_id","10","5"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"u5_iden_grp[1]/u5_id","81","17"
"u5_iden_grp[1]/u5_fullname","81","17"
"u5_iden_grp[1]/u5_age","81","17"
"u5_iden_grp[1]/u5_ct_id","81","17"
"u5_iden_grp[1]/u5_ct_fullname","81","17"
"gm1_a","2","98"
"gmobs1","2","100"
"gmobs2","2","103"
"an8","6","105"
"an9","3","111"
"an11_grp[1]/an11_b","6","114"
"an11_grp[1]/an11","6","114"
"an12","31","120"
"an13","6","151"
"an15","3","157"
