"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","5","4"
"enum_id","10","7"
"enum_confirm_grp[1]/enum_details","6","14"
"enum_confirm_grp[1]/enum_confirm","6","14"
"community_id","65","18"
"comm_confirm_grp[1]/comm_details","32","35"
"comm_confirm_grp[1]/comm_confirm","32","35"
"hhid_grp[1]/hhid_instruction","117","54"
"hhid_grp[1]/hhid_struct_num","117","54"
"hhid_grp[1]/hhid_hh_num","117","54"
"hhid_confirm_grp[1]/hhid_details","11","115"
"hhid_confirm_grp[1]/hhid_confirm","11","115"
"consent_grp[1]/consent_instr","43","229"
"consent_grp[1]/consent","43","229"
"consented_grp[1]/hh_note","4","272"
"consented_grp[1]/hhm_cnt","307","274"
"consented_grp[1]/rooster_note","7","578"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","21","582"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","21","582"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","21","582"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","5","649"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","652"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","146","655"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","39","800"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","7","838"
"consented_grp[1]/hhm_rpt[1]/ed4","11","844"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","10","854"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","9","863"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","4","868"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","5","871"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","9","875"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","9","875"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","40","883"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","40","883"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","40","883"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","922"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","4","924"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","927"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","37","931"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","9","966"
"consented_grp[1]/hhm_rpt[2]/ed4","16","974"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","9","989"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","4","997"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","4","1000"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","20","1003"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","15","1022"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","15","1022"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","66","1036"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","66","1036"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","66","1036"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","9","1099"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","4","1108"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","38","1110"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl6_age_est","37","1147"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","15","1182"
"consented_grp[1]/hhm_rpt[3]/ed4","9","1196"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","4","1203"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","17","1207"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","3","1221"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","12","1224"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","28","1231"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","28","1231"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","36","1235"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","36","1235"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","36","1235"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","4","1295"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","5","1298"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","27","1302"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","250","1325"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl6_age_est","21","1578"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","9","1598"
"consented_grp[1]/hhm_rpt[4]/ed4","9","1606"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","6","1615"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","7","1620"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","3","1625"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","3","1628"
"consented_grp[1]/hhm_rpt[4]/ed9","14","1630"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","5","1643"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","6","1647"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","49","1652"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","7","1700"
"consented_grp[1]/hhm_rpt[4]/ed15","12","1706"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","6","1718"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","7","1723"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","7","1729"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","7","1729"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","48","1735"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","48","1735"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","48","1735"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","5","1777"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","3","1781"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","12","1784"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","57","1795"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","5","1851"
"consented_grp[1]/hhm_rpt[5]/ed4","9","1855"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a","8","1863"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5a_a","4","1869"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed5b","4","1872"
"consented_grp[1]/hhm_rpt[5]/ed5_grp[1]/ed6","6","1875"
"consented_grp[1]/hhm_rpt[5]/ed9","4","1880"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed10","4","1883"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed11a","14","1886"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed12","18","1899"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed13","6","1905"
"consented_grp[1]/hhm_rpt[5]/ed9_grp[1]/ed14","13","1923"
"consented_grp[1]/hhm_rpt[5]/ed15","36","1935"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16a","9","1969"
"consented_grp[1]/hhm_rpt[5]/ed16_grp[1]/ed16b","5","1977"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","7","1981"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","7","1981"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","32","1987"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","32","1987"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","32","1987"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl3","4","2016"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl4","7","2019"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_age_sel","18","2025"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl5_dob_dmy","64","2042"
"consented_grp[1]/hhm_rpt[6]/hhmemb_info[1]/hl7","10","2105"
"consented_grp[1]/hhm_rpt[6]/ed4","27","2114"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5a","17","2139"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5a_a","6","2155"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed5b","11","2158"
"consented_grp[1]/hhm_rpt[6]/ed5_grp[1]/ed6","7","2168"
"consented_grp[1]/hhm_rpt[6]/ed9","8","2174"
"consented_grp[1]/hhm_rpt[6]/ed9_grp[1]/ed10","4","2181"
