"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","6"
"enum_id","7","7"
"enum_confirm_grp[1]/enum_details","2","12"
"enum_confirm_grp[1]/enum_confirm","2","12"
"community_id","8","13"
"comm_confirm_grp[1]/comm_details","2","19"
"comm_confirm_grp[1]/comm_confirm","2","19"
"u5_iden_grp[1]/u5_id","41","21"
"u5_iden_grp[1]/u5_fullname","41","21"
"u5_iden_grp[1]/u5_age","41","21"
"u5_iden_grp[1]/u5_ct_id","41","21"
"u5_iden_grp[1]/u5_ct_fullname","41","21"
"uf9","3","58"
"consent_grp[1]/consent","3","60"
"consented_grp[1]/ub0","3","62"
"consented_grp[1]/ub1_age_sel","3","64"
"consented_grp[1]/ub1_dob_dmy","17","66"
"consented_grp[1]/age_correct_info","12","79"
"consented_grp[1]/ub5","3","94"
"consented_grp[1]/ub9","7","96"
"consented_grp[1]/br1","3","103"
"consented_grp[1]/ec1","4","104"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","15","107"
"consented_grp[1]/ec2_grp[1]/ec2_label","15","107"
"consented_grp[1]/ec2_grp[1]/ec2a","15","107"
"consented_grp[1]/ec2_grp[1]/ec2b","15","107"
"consented_grp[1]/ec2_grp[1]/ec2c","15","107"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","25","116"
"consented_grp[1]/ec3_grp[1]/ec3a","25","116"
"consented_grp[1]/ec3_grp[1]/ec3b","25","116"
"consented_grp[1]/ec7","4","137"
"consented_grp[1]/ec8","4","140"
"consented_grp[1]/ec9","8","143"
"consented_grp[1]/ec10","7","150"
"consented_grp[1]/ec11","6","152"
"consented_grp[1]/ec12","3","159"
"consented_grp[1]/ec13","4","161"
"consented_grp[1]/ec14","5","164"
"consented_grp[1]/ec15","5","166"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","32","169"
"consented_grp[1]/ucd2_grp[1]/ucd2a","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2b","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2c","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2d","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2e","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2f","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2g","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2h","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2i","32","169"
"consented_grp[1]/ucd2_grp[1]/ucb2j","32","169"
"consented_grp[1]/ucd3","3","195"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","13","197"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","13","197"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","13","197"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","13","197"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","13","197"
"consented_grp[1]/ucf_grp[1]/ucf5","3","206"
"consented_grp[1]/ucf_grp[1]/ucf7b","3","208"
