"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","8","3"
"enum_confirm_grp[1]/enum_details","2","10"
"enum_confirm_grp[1]/enum_confirm","2","10"
"community_id","10","12"
"comm_confirm_grp[1]/comm_details","1","22"
"comm_confirm_grp[1]/comm_confirm","1","22"
"u5_iden_grp[1]/u5_id","125","23"
"u5_iden_grp[1]/u5_fullname","125","23"
"u5_iden_grp[1]/u5_age","125","23"
"u5_iden_grp[1]/u5_ct_id","125","23"
"u5_iden_grp[1]/u5_ct_fullname","125","23"
"uf9","2","148"
"consent_grp[1]/uf10a","20","150"
"consent_grp[1]/consent","20","150"
"consented_grp[1]/ub0","2","168"
"consented_grp[1]/ub1_age_sel","4","169"
"consented_grp[1]/ub1_dob_dmy","19","171"
"consented_grp[1]/ub5","3","189"
"consented_grp[1]/ub6","3","191"
"consented_grp[1]/ub9","3","193"
"consented_grp[1]/br1","3","194"
"consented_grp[1]/br2","4","196"
"consented_grp[1]/ec1","7","198"
"consented_grp[1]/br3","9","201"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","17","212"
"consented_grp[1]/ec2_grp[1]/ec2_label","17","212"
"consented_grp[1]/ec2_grp[1]/ec2a","17","212"
"consented_grp[1]/ec2_grp[1]/ec2b","17","212"
"consented_grp[1]/ec2_grp[1]/ec2c","17","212"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","28","228"
"consented_grp[1]/ec3_grp[1]/ec3a","28","228"
"consented_grp[1]/ec3_grp[1]/ec3b","28","228"
"consented_grp[1]/ec5_grp[1]/ec5","21","255"
"consented_grp[1]/ec5_grp[1]/ec5_label","21","255"
"consented_grp[1]/ec5_grp[1]/ec5a","21","255"
"consented_grp[1]/ec5_grp[1]/ec5b","21","255"
"consented_grp[1]/ec5_grp[1]/ec5c","21","255"
"consented_grp[1]/ec5_grp[1]/ec5d","21","255"
"consented_grp[1]/ec5_grp[1]/ec5e","21","255"
"consented_grp[1]/ec5_grp[1]/ec5f","21","255"
"consented_grp[1]/ec6_grp[1]/ec6_note","14","275"
"consented_grp[1]/ec6_grp[1]/ec6","14","275"
"consented_grp[1]/ec7","3","288"
"consented_grp[1]/ec8","3","291"
"consented_grp[1]/ec9","6","293"
"consented_grp[1]/ec10","3","298"
"consented_grp[1]/ec11","9","300"
"consented_grp[1]/ec12","5","308"
"consented_grp[1]/ec13","8","312"
"consented_grp[1]/ec14","2","319"
"consented_grp[1]/ec15","5","320"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","54","324"
"consented_grp[1]/ucd2_grp[1]/ucd2a","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2b","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2c","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2d","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2e","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2f","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2g","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2h","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2i","54","324"
"consented_grp[1]/ucd2_grp[1]/ucb2j","54","324"
"consented_grp[1]/ucd3","6","377"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","10","382"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","10","382"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","10","382"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","10","382"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","10","382"
"consented_grp[1]/ucf_grp[1]/ucf5","3","391"
"consented_grp[1]/ucf_grp[1]/ucf7b","3","393"
"consented_grp[1]/ucf_grp[1]/ucf9b","2","394"
"consented_grp[1]/ucf_grp[1]/ucf13","7","396"
"consented_grp[1]/ucf_grp[1]/ucf14","15","401"
"consented_grp[1]/ucf_grp[1]/ucf15","8","411"
"consented_grp[1]/ucf_grp[1]/ucf16","4","422"
"consented_grp[1]/ucf_grp[1]/ucf17","4","426"
"consented_grp[1]/ucf_grp[1]/ucf18","3","429"
"consented_grp[1]/ucf_grp[1]/ucf19","5","430"
"consented_grp[1]/im2","3","434"
"consented_grp[1]/im5","3","436"
"consented_grp[1]/im6_note","2","438"
"consented_grp[1]/im6_rpt[1]/im6","28","439"
"consented_grp[1]/im6_rpt[1]/im6a","22","466"
"consented_grp[1]/im6_rpt[2]/im6","3","487"
"consented_grp[1]/im6_rpt[2]/im6a","35","489"
"consented_grp[1]/im6_rpt[3]/im6","4","523"
"consented_grp[1]/im6_rpt[3]/im6a","25","526"
"consented_grp[1]/im6_rpt[4]/im6","3","550"
"consented_grp[1]/im6_rpt[4]/im6a","17","552"
"consented_grp[1]/im6_rpt[5]/im6","3","568"
"consented_grp[1]/im6_rpt[5]/im6a","17","570"
"consented_grp[1]/im6_rpt[6]/im6","3","586"
"consented_grp[1]/im6_rpt[6]/im6a","19","588"
"consented_grp[1]/im6_rpt[7]/im6","6","606"
"consented_grp[1]/im6_rpt[7]/im6a","53","611"
"consented_grp[1]/im6_rpt[8]/im6","6","644"
"consented_grp[1]/im6_rpt[8]/im6a","31","647"
"consented_grp[1]/im6_rpt[9]/im6","4","698"
"consented_grp[1]/im6_rpt[9]/im6a","11","701"
"consented_grp[1]/im6_rpt[10]/im6","5","710"
"consented_grp[1]/im6_rpt[10]/im6a","11","713"
"consented_grp[1]/im6_rpt[11]/im6","10","721"
"consented_grp[1]/im6_rpt[11]/im6a","13","730"
"consented_grp[1]/im6_rpt[12]/im6","2","742"
"consented_grp[1]/im6_rpt[12]/im6a","11","743"
"consented_grp[1]/im6_rpt[13]/im6","4","754"
"consented_grp[1]/im6_rpt[13]/im6a","16","756"
"consented_grp[1]/im6_rpt[14]/im6","8","771"
"consented_grp[1]/im6_rpt[14]/im6a","15","778"
"consented_grp[1]/im6_rpt[15]/im6","3","793"
"consented_grp[1]/im6_rpt[15]/im6a","18","794"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","5","812"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","5","812"
