"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","8","3"
"enum_confirm_grp[1]/enum_details","2","11"
"enum_confirm_grp[1]/enum_confirm","2","11"
"community_id","13","13"
"comm_confirm_grp[1]/comm_details","2","26"
"comm_confirm_grp[1]/comm_confirm","2","26"
"u5_iden_grp[1]/u5_id","148","28"
"u5_iden_grp[1]/u5_fullname","148","28"
"u5_iden_grp[1]/u5_age","148","28"
"u5_iden_grp[1]/u5_ct_id","148","28"
"u5_iden_grp[1]/u5_ct_fullname","148","28"
"uf9","4","176"
"consent_grp[1]/consent","4","180"
"consented_grp[1]/ub0","12","184"
"consented_grp[1]/ub1_age_sel","8","196"
"consented_grp[1]/ub1_dob_dmy","17","203"
"consented_grp[1]/ub5","8","220"
"consented_grp[1]/ub6","4","228"
"consented_grp[1]/ub9","6","232"
"consented_grp[1]/br1","8","238"
"consented_grp[1]/br2","28","246"
"consented_grp[1]/ec1","18","274"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","39","292"
"consented_grp[1]/ec2_grp[1]/ec2_label","39","292"
"consented_grp[1]/ec2_grp[1]/ec2a","39","292"
"consented_grp[1]/ec2_grp[1]/ec2b","39","292"
"consented_grp[1]/ec2_grp[1]/ec2c","39","292"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","63","331"
"consented_grp[1]/ec3_grp[1]/ec3a","63","331"
"consented_grp[1]/ec3_grp[1]/ec3b","63","331"
"consented_grp[1]/ec5_grp[1]/ec5","127","395"
"consented_grp[1]/ec5_grp[1]/ec5_label","127","395"
"consented_grp[1]/ec5_grp[1]/ec5a","127","395"
"consented_grp[1]/ec5_grp[1]/ec5b","127","395"
"consented_grp[1]/ec5_grp[1]/ec5c","127","395"
"consented_grp[1]/ec5_grp[1]/ec5d","127","395"
"consented_grp[1]/ec5_grp[1]/ec5e","127","395"
"consented_grp[1]/ec5_grp[1]/ec5f","127","395"
"consented_grp[1]/ec6_grp[1]/ec6_note","41","521"
"consented_grp[1]/ec6_grp[1]/ec6","41","521"
"consented_grp[1]/ec7","15","563"
"consented_grp[1]/ec8","2","577"
"consented_grp[1]/ec9","11","580"
"consented_grp[1]/ec10","14","591"
"consented_grp[1]/ec11","18","605"
"consented_grp[1]/ec12","23","623"
"consented_grp[1]/ec13","12","646"
"consented_grp[1]/ec14","29","658"
"consented_grp[1]/ec15","14","687"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","152","701"
"consented_grp[1]/ucd2_grp[1]/ucd2a","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2b","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2c","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2d","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2e","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2f","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2g","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2h","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2i","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2j","152","701"
"consented_grp[1]/ucd2_grp[1]/ucb2k","152","701"
"consented_grp[1]/ucd3","43","854"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","33","896"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","33","896"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","33","896"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","33","896"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","33","896"
"consented_grp[1]/ucf_grp[1]/ucf5","13","930"
"consented_grp[1]/ucf_grp[1]/ucf7b","6","942"
"consented_grp[1]/ucf_grp[1]/ucf9b","7","948"
"consented_grp[1]/ucf_grp[1]/ucf13","9","955"
"consented_grp[1]/ucf_grp[1]/ucf14","16","964"
"consented_grp[1]/ucf_grp[1]/ucf15","20","980"
"consented_grp[1]/ucf_grp[1]/ucf16","21","998"
"consented_grp[1]/ucf_grp[1]/ucf17","162","1011"
"consented_grp[1]/ucf_grp[1]/ucf18","11","1183"
"consented_grp[1]/ucf_grp[1]/ucf19","30","1194"
"consented_grp[1]/im2","15","1224"
"consented_grp[1]/im5","6","1239"
"consented_grp[1]/im6_note","2","1245"
"consented_grp[1]/im6_rpt[1]/im6","19","1247"
"consented_grp[1]/im6_rpt[1]/im6a","91","1267"
"consented_grp[1]/im6_rpt[2]/im6","2","1358"
"consented_grp[1]/im6_rpt[2]/im6a","12","1360"
"consented_grp[1]/im6_rpt[3]/im6","16","1372"
"consented_grp[1]/im6_rpt[3]/im6a","15","1387"
"consented_grp[1]/im6_rpt[4]/im6","2","1402"
"consented_grp[1]/im6_rpt[4]/im6a","14","1404"
"consented_grp[1]/im6_rpt[5]/im6","3","1418"
"consented_grp[1]/im6_rpt[5]/im6a","13","1421"
"consented_grp[1]/im6_rpt[6]/im6","11","1434"
"consented_grp[1]/im6_rpt[6]/im6a","20","1445"
"consented_grp[1]/im6_rpt[7]/im6","10","1457"
"consented_grp[1]/im6_rpt[7]/im6a","44","1464"
"consented_grp[1]/im6_rpt[8]/im6","5","1480"
"consented_grp[1]/im6_rpt[8]/im6a","20","1482"
"consented_grp[1]/im6_rpt[9]/im6","7","1493"
"consented_grp[1]/im6_rpt[9]/im6a","34","1495"
"consented_grp[1]/im6_rpt[10]/im6","11","1515"
"consented_grp[1]/im6_rpt[10]/im6a","22","1518"
"consented_grp[1]/im6_rpt[11]/im6","8","1531"
"consented_grp[1]/im6_rpt[11]/im6a","42","1535"
"consented_grp[1]/im6_rpt[12]/im6","3","1666"
"consented_grp[1]/im6_rpt[12]/im6a","24","1669"
"consented_grp[1]/im6_rpt[13]/im6","3","1693"
"consented_grp[1]/im6_rpt[13]/im6a","14","1695"
"consented_grp[1]/im6_rpt[14]/im6","10","1709"
"consented_grp[1]/im6_rpt[15]/im6","2","1720"
"consented_grp[1]/ca1","13","1722"
"consented_grp[1]/ca14","2","1734"
"consented_grp[1]/ca16","4","1736"
"consented_grp[1]/ca17","10","1739"
"consented_grp[1]/ca18","16","1740"
"comments","27","1758"
